school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1210,天津师范大学,2025,云南,专科批,历史类,（02）,,484,33564,
1331,河北交通职业技术学院,2025,云南,专科批,历史类,（01）,,409,63518,
1336,唐山幼儿师范高等专科学校,2025,云南,专科批,历史类,（01）,,420,41104,
1379,河北轨道运输职业技术学院,2025,云南,专科批,历史类,（01）,,423,37042,
1386,河北化工医药职业技术学院,2025,云南,专科批,历史类,（01）,,387,75888,
1390,石家庄幼儿师范高等专科学校,2025,云南,专科批,历史类,,,340,73470,
1436,临汾职业技术学院,2025,云南,专科批,历史类,（01）,,384,81096,
1441,山西林业职业技术学院,2025,云南,专科批,历史类,（01）,,384,79742,
1448,忻州职业技术学院,2025,云南,专科批,历史类,（01）,,415,61528,
1517,包头轻工职业技术学院,2025,云南,专科批,历史类,（01）,,359,92734,
1527,乌兰察布医学高等专科学校,2025,云南,专科批,历史类,（01）,,413,64539,
2145,盘锦职业技术学院,2025,云南,专科批,历史类,（01）,,265,106208,
2147,沈阳城市建设学院,2025,云南,专科批,历史类,（02）,,304,107238,
2151,大连职业技术学院,2025,云南,专科批,历史类,（01）,,292,103557,
2176,辽宁生态工程职业学院,2025,云南,专科批,历史类,（01）,,306,106208,
2180,渤海船舶职业学院,2025,云南,专科批,历史类,（01）,,335,69499,
2199,辽宁民族师范高等专科学校,2025,云南,专科批,历史类,（01）,,346,70503,
2239,长春金融高等专科学校,2025,云南,专科批,历史类,（01）,,352,62472,
2342,黑龙江农业工程职业学院,2025,云南,专科批,历史类,（01）,,345,77841,
2346,黑龙江农垦职业学院,2025,云南,专科批,历史类,（01）,,287,104647,
2359,大兴安岭职业学院,2025,云南,专科批,历史类,（01）,,292,104231,
2376,伊春职业学院,2025,云南,专科批,历史类,（01）,,382,74907,
3117,上海旅游高等专科学校,2025,云南,专科批,历史类,,,432,43360,
3123,上海工商职业技术学院,2025,云南,专科批,历史类,（01）,,387,80645,
3130,上海行健职业学院,2025,云南,专科批,历史类,（01）,,419,53989,
3132,上海交通职业技术学院,2025,云南,专科批,历史类,（01）,,429,52029,
3161,上海农林职业技术学院,2025,云南,专科批,历史类,（01）,,435,40197,
3200,徐州幼儿师范高等专科学校,2025,云南,专科批,历史类,（01）,,441,53989,
3223,连云港职业技术学院,2025,云南,专科批,历史类,（01）,,473,38838,
3251,江苏城市职业学院,2025,云南,专科批,历史类,（01）,,448,36584,
3266,常州机电职业技术学院,2025,云南,专科批,历史类,（01）,,461,41104,
3282,镇江市高等专科学校,2025,云南,专科批,历史类,（01）,,423,52029,
3294,苏州卫生职业技术学院,2025,云南,专科批,历史类,（01）,,471,37506,
3328,浙江机电职业技术大学,2025,云南,专科批,历史类,（01）,,452,45219,
3336,台州科技职业学院,2025,云南,专科批,历史类,,,363,72438,
3346,浙江纺织服装职业技术学院,2025,云南,专科批,历史类,（01）,,406,71493,
3366,温州商学院,2025,云南,专科批,历史类,（02）,,291,94641,
3368,浙江安防职业技术学院,2025,云南,专科批,历史类,（01）,,442,53510,
3378,杭州职业技术大学,2025,云南,专科批,历史类,,,498,24086,
3379,浙江商业职业技术学院,2025,云南,专科批,历史类,（01）,,452,32728,
3420,安徽第二医学院,2025,云南,专科批,历史类,（01）,,473,37953,
3425,合肥幼儿师范高等专科学校,2025,云南,专科批,历史类,（01）,,416,46701,
3459,桐城师范高等专科学校,2025,云南,专科批,历史类,（01）,,424,53989,
3513,漳州职业技术学院,2025,云南,专科批,历史类,（01）,,461,37042,
3529,黎明职业大学,2025,云南,专科批,历史类,（01）,,434,54506,
3531,湄洲湾职业技术学院,2025,云南,专科批,历史类,（01）,,333,81554,
3553,福建电力职业技术学院,2025,云南,专科批,历史类,（01）,,440,49536,
3571,厦门城市职业学院,2025,云南,专科批,历史类,（01）,,448,48612,
3617,江西医学高等专科学校,2025,云南,专科批,历史类,,,431,52998,
3635,江西应用技术职业学院,2025,云南,专科批,历史类,（01）,,422,44764,
3642,宜春职业技术学院,2025,云南,专科批,历史类,（01）,,352,50496,
3654,抚州医药学院,2025,云南,专科批,历史类,,,448,42450,
3678,江西机电职业技术学院,2025,云南,专科批,历史类,（01）,,375,72438,
3679,南昌健康职业技术学院,2025,云南,专科批,历史类,（01）,,412,60501,
3682,江西航空职业技术学院,2025,云南,专科批,历史类,（01）,,394,69499,
3693,赣南卫生健康职业学院,2025,云南,专科批,历史类,,,395,44764,
3693,赣南卫生健康职业学院,2025,云南,专科批,历史类,（03）,,309,106558,
4123,鹤壁职业技术学院,2025,云南,专科批,历史类,,,288,102028,
4125,郑州旅游职业学院,2025,云南,专科批,历史类,（01）,,299,101251,
4175,河南医学高等专科学校,2025,云南,专科批,历史类,（01）,,456,45219,
4181,三门峡职业技术学院,2025,云南,专科批,历史类,,,333,90727,
4184,河南推拿职业学院,2025,云南,专科批,历史类,（01）,,433,58000,
4190,濮阳职业技术学院,2025,云南,专科批,历史类,（01）,,343,98289,
4191,信阳职业技术学院,2025,云南,专科批,历史类,（01）,,385,76830,
4196,安阳职业技术学院,2025,云南,专科批,历史类,（01）,,386,54506,
4238,湖北职业技术学院,2025,云南,专科批,历史类,（01）,,406,52998,
4269,武汉民政职业学院,2025,云南,专科批,历史类,（01）,,447,36584,
4293,宜昌科技职业学院,2025,云南,专科批,历史类,（01）,,340,99233,
4397,湖南汽车工程职业大学,2025,云南,专科批,历史类,（01）,,387,76353,
4481,东莞职业技术学院,2025,云南,专科批,历史类,（01）,,428,49998,
4523,广西水利电力职业技术学院,2025,云南,专科批,历史类,（01）,,349,96365,
4532,广西信息职业技术学院,2025,云南,专科批,历史类,（01）,,287,105463,
4556,广西体育高等专科学校,2025,云南,专科批,历史类,（01）,,473,38838,
4609,海南外国语职业学院,2025,云南,专科批,历史类,（01）,,338,45723,
4611,海南经贸职业技术学院,2025,云南,专科批,历史类,（01）,,379,79261,
4638,三亚护理职业学院,2025,云南,专科批,历史类,,,180,112406,
5017,重庆工业职业技术大学,2025,云南,专科批,历史类,（01）,,464,41104,
5019,重庆工贸职业技术学院,2025,云南,专科批,历史类,（01）,,438,55518,
5045,重庆财经职业学院,2025,云南,专科批,历史类,（01）,,454,33157,
5055,重庆化工职业学院,2025,云南,专科批,历史类,（01）,,408,67497,
5060,重庆护理职业学院,2025,云南,专科批,历史类,（01）,,288,77841,
5068,重庆工信职业学院,2025,云南,专科批,历史类,（01）,,415,51506,
5097,重庆幼儿师范高等专科学校,2025,云南,专科批,历史类,（01）,,460,44764,
5136,四川水利职业技术学院,2025,云南,专科批,历史类,（01）,,436,41104,
5178,乐山职业技术学院,2025,云南,专科批,历史类,（01）,,456,46701,
5178,乐山职业技术学院,2025,云南,专科批,历史类,（02）,,436,56485,
5183,四川铁道职业学院,2025,云南,专科批,历史类,（01）,,478,32728,
5231,贵阳职业技术学院,2025,云南,专科批,历史类,,,427,21889,
5242,毕节职业技术学院,2025,云南,专科批,历史类,（01）,,374,80198,
5326,昆明工业职业技术学院,2025,云南,专科批,历史类,（01）,,416,53989,
5326,昆明工业职业技术学院,2025,云南,专科批,历史类,（03）,,283,109970,
5326,昆明工业职业技术学院,2025,云南,专科批,历史类,（02）,,401,73948,
5326,昆明工业职业技术学院,2025,云南,专科批,历史类,,,379,71948,
5326,昆明工业职业技术学院,2025,云南,专科批,历史类,（04）,,431,53989,
5336,云南能源职业技术学院,2025,云南,专科批,历史类,（01）,,381,56485,
5347,云南林业职业技术学院,2025,云南,专科批,历史类,,,411,39292,
5347,云南林业职业技术学院,2025,云南,专科批,历史类,（05）,,360,61984,
5351,曲靖健康医学院,2025,云南,专科批,历史类,,,439,35255,
5365,云南旅游职业学院,2025,云南,专科批,历史类,（01）,,399,50496,
5370,云南财经职业学院,2025,云南,专科批,历史类,（01）,,422,49536,
5371,昆明铁道职业技术学院,2025,云南,专科批,历史类,（01）,,474,28212,
5393,云南工业信息职业学院,2025,云南,专科批,历史类,（01）,,310,106208,
5410,西藏职业技术学院,2025,云南,专科批,历史类,（01）,,361,91950,
5410,西藏职业技术学院,2025,云南,专科批,历史类,（02）,,283,109970,
5410,西藏职业技术学院,2025,云南,专科批,历史类,（03）,,278,81096,
6154,西安城市建设职业学院,2025,云南,专科批,历史类,（01）,,283,109970,
,南京机电职业技术学院,2025,云南,专科批,历史类,,,461,42895,
3113,华东师范大学,2025,云南,本科批A段,历史类,（99）,,609,1407,
3113,华东师范大学,2025,云南,本科批A段,历史类,（L99政）,,610,1333,
3240,南京师范大学,2025,云南,本科批A段,历史类,（99）,,599,2302,
4213,华中师范大学,2025,云南,本科批A段,历史类,（99）,,586,1333,
1108,北京科技大学,2025,云南,本科批B段,历史类,（01）,,604,1553,
1110,北京化工大学,2025,云南,本科批B段,历史类,（01）,,602,2020,
1119,北京林业大学,2025,云南,本科批B段,历史类,（01）,,597,1914,
1120,北京中医药大学,2025,云南,本科批B段,历史类,（01）,,612,767,
1122,首都师范大学,2025,云南,本科批B段,历史类,（01）,,604,1732,
1124,北京语言大学,2025,云南,本科批B段,历史类,（03）,,601,2021,
1125,中国传媒大学,2025,云南,本科批B段,历史类,,,598,1553,
1126,中央财经大学,2025,云南,本科批B段,历史类,,,583,278,
1127,对外经济贸易大学,2025,云南,本科批B段,历史类,（01）,,620,428,
1127,对外经济贸易大学,2025,云南,本科批B段,历史类,（02）,,616,984,
1128,北京物资学院,2025,云南,本科批B段,历史类,（01）,,550,10904,
1129,首都经济贸易大学,2025,云南,本科批B段,历史类,,,572,2112,
1133,北京体育大学,2025,云南,本科批B段,历史类,,,537,1553,
1133,北京体育大学,2025,云南,本科批B段,历史类,（03）,,608,1485,
1136,中央美术学院,2025,云南,本科批B段,历史类,（01）,,576,984,
1137,中央戏剧学院,2025,云南,本科批B段,历史类,（01）,,582,2816,
1140,中央民族大学,2025,云南,本科批B段,历史类,,,568,984,
1142,华北电力大学（北京）,2025,云南,本科批B段,历史类,（02）,,580,4592,
1143,北京信息科技大学,2025,云南,本科批B段,历史类,（01）,,592,2916,
1144,中华女子学院,2025,云南,本科批B段,历史类,,,545,6424,
1148,北京联合大学,2025,云南,本科批B段,历史类,,,549,4893,
1150,中国劳动关系学院,2025,云南,本科批B段,历史类,,,537,3705,
1162,北京外国语大学,2025,云南,本科批B段,历史类,（01）,,610,325,
1162,北京外国语大学,2025,云南,本科批B段,历史类,（02）,,619,811,
1165,首都体育学院,2025,云南,本科批B段,历史类,（01）,,556,9185,
1172,北京石油化工学院,2025,云南,本科批B段,历史类,（01）,,531,14556,
1204,天津工业大学,2025,云南,本科批B段,历史类,（01）,,567,3165,
1205,中国民航大学,2025,云南,本科批B段,历史类,（01）,,581,2020,
1205,中国民航大学,2025,云南,本科批B段,历史类,（02）,,584,4152,
1207,天津农学院,2025,云南,本科批B段,历史类,（01）,,519,16448,
1209,天津中医药大学,2025,云南,本科批B段,历史类,（01）,,558,6068,
1210,天津师范大学,2025,云南,本科批B段,历史类,（01）,,568,5209,
1210,天津师范大学,2025,云南,本科批B段,历史类,（04）,,582,4152,
1211,天津职业技术师范大学,2025,云南,本科批B段,历史类,（01）,,533,11180,
1213,天津商业大学,2025,云南,本科批B段,历史类,,,548,9402,
1215,天津美术学院,2025,云南,本科批B段,历史类,（01）,,495,17367,
1230,天津外国语大学滨海外事学院,2025,云南,本科批B段,历史类,（01）,,466,27096,
1231,天津商业大学宝德学院,2025,云南,本科批B段,历史类,,,471,28212,
1238,天津仁爱学院,2025,云南,本科批B段,历史类,（02）,,506,24844,
1301,河北大学,2025,云南,本科批B段,历史类,（01）,,570,4285,
1302,河北工程大学,2025,云南,本科批B段,历史类,（01）,,539,13954,
1304,华北电力大学（保定）,2025,云南,本科批B段,历史类,（02）,,585,3857,
1312,河北师范大学,2025,云南,本科批B段,历史类,（02）,,570,6424,
1312,河北师范大学,2025,云南,本科批B段,历史类,（01）,,574,5721,
1313,廊坊师范学院,2025,云南,本科批B段,历史类,（01）,,520,18713,
1315,邢台学院,2025,云南,本科批B段,历史类,（01）,,540,13404,
1315,邢台学院,2025,云南,本科批B段,历史类,（02）,,513,22249,
1316,石家庄铁道大学,2025,云南,本科批B段,历史类,,,581,4152,
1322,河北金融学院,2025,云南,本科批B段,历史类,,,515,13403,
1323,北华航天工业学院,2025,云南,本科批B段,历史类,（01）,,523,16779,
1324,防灾科技学院,2025,云南,本科批B段,历史类,（01）,,521,17367,
1342,石家庄铁道大学四方学院,2025,云南,本科批B段,历史类,（01）,,511,23330,
1349,东北大学秦皇岛分校,2025,云南,本科批B段,历史类,（02）,,598,2303,
1365,河北环境工程学院,2025,云南,本科批B段,历史类,（01）,,499,27096,
1380,河北中医药大学,2025,云南,本科批B段,历史类,（01）,,580,4735,
1402,中北大学,2025,云南,本科批B段,历史类,（01）,,558,8092,
1404,山西农业大学,2025,云南,本科批B段,历史类,（01）,,519,18065,
1404,山西农业大学,2025,云南,本科批B段,历史类,（02）,,526,17696,
1405,山西医科大学,2025,云南,本科批B段,历史类,（01）,,526,16144,
1405,山西医科大学,2025,云南,本科批B段,历史类,（02）,,537,14556,
1406,长治医学院,2025,云南,本科批B段,历史类,,,524,5209,
1407,山西师范大学,2025,云南,本科批B段,历史类,（01）,,550,10144,
1407,山西师范大学,2025,云南,本科批B段,历史类,（02）,,567,7026,
1408,太原师范学院,2025,云南,本科批B段,历史类,,,530,13100,
1408,太原师范学院,2025,云南,本科批B段,历史类,（04）,,525,17696,
1408,太原师范学院,2025,云南,本科批B段,历史类,（03）,,543,12804,
1410,晋中学院,2025,云南,本科批B段,历史类,（01）,,513,15821,
1410,晋中学院,2025,云南,本科批B段,历史类,（02）,,533,15518,
1411,长治学院,2025,云南,本科批B段,历史类,,,514,16448,
1411,长治学院,2025,云南,本科批B段,历史类,（03）,,530,16779,
1413,山西财经大学,2025,云南,本科批B段,历史类,（01）,,560,5914,
1413,山西财经大学,2025,云南,本科批B段,历史类,（02）,,543,11946,
1426,运城学院,2025,云南,本科批B段,历史类,（01）,,502,24843,
1430,太原工业学院,2025,云南,本科批B段,历史类,（01）,,517,21194,
1431,吕梁学院,2025,云南,本科批B段,历史类,（01）,,507,21889,
1431,吕梁学院,2025,云南,本科批B段,历史类,（04）,,509,24086,
1431,吕梁学院,2025,云南,本科批B段,历史类,（03）,,527,17696,
1431,吕梁学院,2025,云南,本科批B段,历史类,（02）,,500,27471,
1438,山西传媒学院,2025,云南,本科批B段,历史类,（01）,,523,14864,
1442,太原学院,2025,云南,本科批B段,历史类,,,453,24463,
1501,内蒙古大学,2025,云南,本科批B段,历史类,,,564,4893,
1501,内蒙古大学,2025,云南,本科批B段,历史类,（03）,,569,6067,
1503,内蒙古工业大学,2025,云南,本科批B段,历史类,（01）,,501,27096,
1509,内蒙古财经大学,2025,云南,本科批B段,历史类,（01）,,523,16144,
1513,内蒙古科技大学包头师范学院,2025,云南,本科批B段,历史类,（01）,,529,16780,
2105,沈阳理工大学,2025,云南,本科批B段,历史类,（01）,,532,15197,
2112,大连海事大学,2025,云南,本科批B段,历史类,（01）,,597,1333,
2119,沈阳师范大学,2025,云南,本科批B段,历史类,（01）,,477,16448,
2121,鞍山师范学院,2025,云南,本科批B段,历史类,,,509,20482,
2122,大连外国语大学,2025,云南,本科批B段,历史类,,,555,5913,
2129,沈阳大学,2025,云南,本科批B段,历史类,（01）,,524,18415,
2131,辽宁师范大学,2025,云南,本科批B段,历史类,（01）,,553,8092,
2131,辽宁师范大学,2025,云南,本科批B段,历史类,（02）,,552,10410,
2134,大连民族大学,2025,云南,本科批B段,历史类,,,502,15821,
2136,辽宁师范大学海华学院,2025,云南,本科批B段,历史类,（02）,,488,31913,
2162,大连东软信息学院,2025,云南,本科批B段,历史类,（01）,,429,50496,
