school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
100,南京工程学院,2025,内蒙,本科批,历史类,,,538,5172,
101,太原科技大学,2025,内蒙,本科批,历史类,,,552,4584,
103,湖南工程学院,2025,内蒙,本科批,历史类,,,546,5172,
104,河南科技大学,2025,内蒙,本科批,历史类,,,528,3485,
105,西北工业大学,2025,内蒙,本科批,历史类,,,631,431,
107,哈尔滨工业大学,2025,内蒙,本科批,历史类,,,635,370,
109,重庆师范大学,2025,内蒙,本科批,历史类,,,569,3359,
110,乐山师范学院,2025,内蒙,本科批,历史类,,,490,11038,
112,邯郸学院,2025,内蒙,本科批,历史类,,,504,9451,
116,北华航天工业学院,2025,内蒙,本科批,历史类,,,450,10554,
119,北京航空航天大学,2025,内蒙,本科批,历史类,,,644,199,
124,烟台南山学院,2025,内蒙,本科批,历史类,,,446,16745,
126,长沙理工大学,2025,内蒙,本科批,历史类,,,585,2115,
127,常州大学,2025,内蒙,本科批,历史类,,,533,4658,
128,大连医科大学,2025,内蒙,本科批,历史类,,,580,2646,
131,华北电力大学(保定),2025,内蒙,本科批,历史类,,,594,1669,
132,东北电力大学,2025,内蒙,本科批,历史类,,,533,6310,
134,华北电力大学(北京),2025,内蒙,本科批,历史类,,,608,1006,
137,上海海事大学,2025,内蒙,本科批,历史类,,,581,2068,
14,晋中学院,2025,内蒙,本科批,历史类,,,485,11157,
141,盐城师范学院,2025,内蒙,本科批,历史类,,,540,5666,
144,河海大学,2025,内蒙,本科批,历史类,,,604,1219,
146,江西水利电力大学,2025,内蒙,本科批,历史类,,,500,9326,
147,福建农林大学,2025,内蒙,本科批,历史类,,,559,4087,
148,中国海洋大学,2025,内蒙,本科批,历史类,,,614,563,
15,忻州师范学院,2025,内蒙,本科批,历史类,,,479,7312,
150,沈阳建筑大学,2025,内蒙,本科批,历史类,,,534,6226,
151,周口师范学院,2025,内蒙,本科批,历史类,,,484,9326,
154,云南民族大学,2025,内蒙,本科批,历史类,,,532,6310,
157,河北地质大学,2025,内蒙,本科批,历史类,,,514,7617,
159,长江师范学院,2025,内蒙,本科批,历史类,,,524,7214,
16,辽宁师范大学,2025,内蒙,本科批,历史类,,,509,6045,
160,中国地质大学(北京),2025,内蒙,本科批,历史类,,,607,1219,
161,德州学院,2025,内蒙,本科批,历史类,,,470,13551,
162,中国地质大学(武汉),2025,内蒙,本科批,历史类,,,608,859,
164,文华学院,2025,内蒙,本科批,历史类,,,465,12683,
165,山东英才学院,2025,内蒙,本科批,历史类,,,436,18135,
167,辽宁科技大学,2025,内蒙,本科批,历史类,,,513,7214,
17,西南政法大学,2025,内蒙,本科批,历史类,,,598,1486,
170,北京科技大学,2025,内蒙,本科批,历史类,,,612,793,
175,枣庄学院,2025,内蒙,本科批,历史类,,,515,8156,
176,西安交通工程学院,2025,内蒙,本科批,历史类,,,439,16205,
18,西北政法大学,2025,内蒙,本科批,历史类,,,563,563,
182,东北大学秦皇岛分校,2025,内蒙,本科批,历史类,,,619,820,
186,哈尔滨工业大学(深圳),2025,内蒙,本科批,历史类,,,627,397,
187,电子科技大学,2025,内蒙,本科批,历史类,,,621,613,
19,中国政法大学,2025,内蒙,本科批,历史类,,,619,27,
190,吉林工商学院,2025,内蒙,本科批,历史类,,,494,7117,
191,贵州民族大学,2025,内蒙,本科批,历史类,,,506,5666,
192,南京工业大学,2025,内蒙,本科批,历史类,,,573,2827,
193,陇东学院,2025,内蒙,本科批,历史类,,,482,11683,
196,吉林警察学院,2025,内蒙,本科批,历史类,,,525,6432,
197,山东理工大学,2025,内蒙,本科批,历史类,,,532,5172,
198,沈阳理工大学,2025,内蒙,本科批,历史类,,,524,7012,
199,北京理工大学,2025,内蒙,本科批,历史类,,,639,270,
20,中南财经政法大学,2025,内蒙,本科批,历史类,,,607,563,
201,长春理工大学,2025,内蒙,本科批,历史类,,,496,3359,
202,中北大学,2025,内蒙,本科批,历史类,,,543,3855,
208,广东金融学院,2025,内蒙,本科批,历史类,,,550,4087,
21,大连民族大学,2025,内蒙,本科批,历史类,,,526,4087,
210,北京化工大学,2025,内蒙,本科批,历史类,,,610,894,
211,青岛科技大学,2025,内蒙,本科批,历史类,,,558,3627,
217,上海应用技术大学,2025,内蒙,本科批,历史类,,,528,4911,
218,哈尔滨信息工程学院,2025,内蒙,本科批,历史类,,,456,15378,
219,天津工业大学,2025,内蒙,本科批,历史类,,,557,1814,
222,西安医学院,2025,内蒙,本科批,历史类,,,506,8971,
223,郑州轻工业大学,2025,内蒙,本科批,历史类,,,522,6622,
227,南昌工学院,2025,内蒙,本科批,历史类,,,436,14602,
228,景德镇陶瓷大学,2025,内蒙,本科批,历史类,,,512,6226,
229,天津科技大学,2025,内蒙,本科批,历史类,,,551,2827,
231,西安邮电大学,2025,内蒙,本科批,历史类,,,571,2287,
237,西南交通大学,2025,内蒙,本科批,历史类,,,606,1057,
238,大连交通大学,2025,内蒙,本科批,历史类,,,544,3558,
24,上海财经大学,2025,内蒙,本科批,历史类,,,636,330,
241,兰州交通大学,2025,内蒙,本科批,历史类,,,554,3267,
243,北京交通大学,2025,内蒙,本科批,历史类,,,619,643,
244,石家庄铁道大学,2025,内蒙,本科批,历史类,,,541,2353,
246,伊犁师范大学,2025,内蒙,本科批,历史类,,,461,13173,
25,中央财经大学,2025,内蒙,本科批,历史类,,,621,199,
250,大连海事大学,2025,内蒙,本科批,历史类,,,590,1303,
252,山东交通学院,2025,内蒙,本科批,历史类,,,513,7617,
253,武汉理工大学,2025,内蒙,本科批,历史类,,,596,1182,
26,东北财经大学,2025,内蒙,本科批,历史类,,,564,1434,
260,中央美术学院,2025,内蒙,本科批,历史类,,,537,2068,
269,中国传媒大学,2025,内蒙,本科批,历史类,,,617,539,
27,江西财经大学,2025,内蒙,本科批,历史类,,,589,1219,
271,浙江传媒学院,2025,内蒙,本科批,历史类,,,575,1868,
273,中央戏剧学院,2025,内蒙,本科批,历史类,,,595,1814,
274,上海戏剧学院,2025,内蒙,本科批,历史类,,,552,2165,
276,北京外国语大学,2025,内蒙,本科批,历史类,,,611,254,
277,上海外国语大学,2025,内蒙,本科批,历史类,,,588,754,
278,长安大学,2025,内蒙,本科批,历史类,,,596,1530,
279,中山大学,2025,内蒙,本科批,历史类,,,631,177,
281,北京语言大学,2025,内蒙,本科批,历史类,,,510,1530,
282,南京大学,2025,内蒙,本科批,历史类,,,657,51,
283,东南大学,2025,内蒙,本科批,历史类,,,641,254,
284,大连理工大学,2025,内蒙,本科批,历史类,,,612,859,
285,西安交通大学,2025,内蒙,本科批,历史类,,,647,160,
286,中国人民大学,2025,内蒙,本科批,历史类,,,661,15,
287,东华大学,2025,内蒙,本科批,历史类,,,606,1219,
288,江南大学,2025,内蒙,本科批,历史类,,,567,963,
289,四川大学,2025,内蒙,本科批,历史类,,,636,254,
29,西安财经大学,2025,内蒙,本科批,历史类,,,569,2770,
290,重庆大学,2025,内蒙,本科批,历史类,,,590,312,
291,东北大学,2025,内蒙,本科批,历史类,,,614,754,
292,浙江大学,2025,内蒙,本科批,历史类,,,659,51,
293,三峡大学,2025,内蒙,本科批,历史类,,,536,4355,
294,清华大学,2025,内蒙,本科批,历史类,,,681,12,
295,燕山大学,2025,内蒙,本科批,历史类,,,565,3007,
296,兰州大学,2025,内蒙,本科批,历史类,,,613,539,
297,吉林大学,2025,内蒙,本科批,历史类,,,614,228,
298,厦门大学,2025,内蒙,本科批,历史类,,,635,119,
299,江苏大学,2025,内蒙,本科批,历史类,,,586,2287,
3,中央民族大学,2025,内蒙,本科批,历史类,,,530,563,
300,山东大学,2025,内蒙,本科批,历史类,,,620,228,
301,湖南大学,2025,内蒙,本科批,历史类,,,625,431,
302,南开大学,2025,内蒙,本科批,历史类,,,648,119,
303,天津大学,2025,内蒙,本科批,历史类,,,635,370,
304,北京大学,2025,内蒙,本科批,历史类,,,675,12,
305,武汉大学,2025,内蒙,本科批,历史类,,,652,85,
306,济南大学,2025,内蒙,本科批,历史类,,,570,2531,
307,北京师范大学,2025,内蒙,本科批,历史类,,,650,92,
308,复旦大学,2025,内蒙,本科批,历史类,,,665,16,
309,同济大学,2025,内蒙,本科批,历史类,,,645,177,
