school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1001,清华大学,2023,北京,本科批,综合改革,,,686,4760,56
1001,清华大学,2024,北京,本科批,综合改革,,,691,4470,158
1002,北京大学,2023,北京,本科批,综合改革,,,683,4944,167
1002,北京大学,2024,北京,本科批,综合改革,,,679,5199,94
1003,复旦大学,2023,北京,本科批,综合改革,,,657,6861,91
1003,复旦大学,2024,北京,本科批,综合改革,,,660,6606,189
1004,上海交通大学,2023,北京,本科批,综合改革,,,664,6281,65
1004,上海交通大学,2024,北京,本科批,综合改革,,,659,6690,160
1005,浙江大学,2023,北京,本科批,综合改革,,,660,6606,34
1005,浙江大学,2024,北京,本科批,综合改革,,,650,7494,178
1006,南京大学,2023,北京,本科批,综合改革,,,654,7125,63
1006,南京大学,2024,北京,本科批,综合改革,,,649,7589,115
1007,中国科学技术大学,2023,北京,本科批,综合改革,,,645,7981,159
1007,中国科学技术大学,2024,北京,本科批,综合改革,,,646,7881,52
1008,华中科技大学,2023,北京,本科批,综合改革,,,636,8940,102
1008,华中科技大学,2024,北京,本科批,综合改革,,,635,9053,134
1009,武汉大学,2023,北京,本科批,综合改革,,,629,9764,90
1009,武汉大学,2024,北京,本科批,综合改革,,,628,9888,57
1010,中山大学,2023,北京,本科批,综合改革,,,632,9402,114
1010,中山大学,2024,北京,本科批,综合改革,,,634,9168,106
1011,西安交通大学,2023,北京,本科批,综合改革,,,620,10937,68
1011,西安交通大学,2024,北京,本科批,综合改革,,,620,10937,30
1012,北京航空航天大学,2023,北京,本科批,综合改革,,,626,10140,112
1012,北京航空航天大学,2024,北京,本科批,综合改革,,,625,10269,194
1013,同济大学,2023,北京,本科批,综合改革,,,616,11503,58
1013,同济大学,2024,北京,本科批,综合改革,,,616,11503,148
1014,北京理工大学,2023,北京,本科批,综合改革,,,624,10399,81
1014,北京理工大学,2024,北京,本科批,综合改革,,,613,11946,29
1015,哈尔滨工业大学,2023,北京,本科批,综合改革,,,613,11946,133
1015,哈尔滨工业大学,2024,北京,本科批,综合改革,,,618,11216,54
1016,天津大学,2023,北京,本科批,综合改革,,,609,12563,139
1016,天津大学,2024,北京,本科批,综合改革,,,614,11796,56
1017,东南大学,2023,北京,本科批,综合改革,,,612,12097,102
1017,东南大学,2024,北京,本科批,综合改革,,,617,11358,17
1018,厦门大学,2023,北京,本科批,综合改革,,,607,12884,119
1018,厦门大学,2024,北京,本科批,综合改革,,,614,11796,85
1019,华南理工大学,2023,北京,本科批,综合改革,,,602,13722,128
1019,华南理工大学,2024,北京,本科批,综合改革,,,606,13047,184
1020,北京师范大学,2023,北京,本科批,综合改革,,,603,13550,29
1020,北京师范大学,2024,北京,本科批,综合改革,,,599,14251,89
1021,电子科技大学,2023,北京,本科批,综合改革,,,601,13896,135
1021,电子科技大学,2024,北京,本科批,综合改革,,,603,13550,188
1022,中南大学,2023,北京,本科批,综合改革,,,600,14072,117
1022,中南大学,2024,北京,本科批,综合改革,,,605,13213,179
1023,山东大学,2023,北京,本科批,综合改革,,,600,14072,146
1023,山东大学,2024,北京,本科批,综合改革,,,591,15763,110
1024,大连理工大学,2023,北京,本科批,综合改革,,,589,16165,185
1024,大连理工大学,2024,北京,本科批,综合改革,,,592,15565,22
1025,重庆大学,2023,北京,本科批,综合改革,,,590,15963,75
1025,重庆大学,2024,北京,本科批,综合改革,,,587,16578,170
1026,吉林大学,2023,北京,本科批,综合改革,,,585,17001,146
1026,吉林大学,2024,北京,本科批,综合改革,,,583,17435,200
1027,湖南大学,2023,北京,本科批,综合改革,,,584,17216,83
1027,湖南大学,2024,北京,本科批,综合改革,,,587,16578,47
1028,中国农业大学,2023,北京,本科批,综合改革,,,590,15963,106
1028,中国农业大学,2024,北京,本科批,综合改革,,,588,16370,35
1029,华东师范大学,2023,北京,本科批,综合改革,,,584,17216,82
1029,华东师范大学,2024,北京,本科批,综合改革,,,588,16370,151
1030,西北工业大学,2023,北京,本科批,综合改革,,,583,17435,71
1030,西北工业大学,2024,北京,本科批,综合改革,,,579,18336,142
2001,苏州大学,2023,北京,本科批,综合改革,,,575,19284,25
2001,苏州大学,2024,北京,本科批,综合改革,,,574,19529,25
2002,武汉理工大学,2023,北京,本科批,综合改革,,,573,19777,191
2002,武汉理工大学,2024,北京,本科批,综合改革,,,574,19529,197
2003,西南交通大学,2023,北京,本科批,综合改革,,,571,20281,194
2003,西南交通大学,2024,北京,本科批,综合改革,,,566,21601,184
2004,暨南大学,2023,北京,本科批,综合改革,,,566,21601,167
2004,暨南大学,2024,北京,本科批,综合改革,,,570,20539,157
2005,郑州大学,2023,北京,本科批,综合改革,,,559,23593,28
2005,郑州大学,2024,北京,本科批,综合改革,,,555,24813,174
2006,南京师范大学,2023,北京,本科批,综合改革,,,557,24195,135
2006,南京师范大学,2024,北京,本科批,综合改革,,,560,23297,112
2007,合肥工业大学,2023,北京,本科批,综合改革,,,559,23593,76
2007,合肥工业大学,2024,北京,本科批,综合改革,,,553,25446,199
2008,华中师范大学,2023,北京,本科批,综合改革,,,554,25127,152
2008,华中师范大学,2024,北京,本科批,综合改革,,,561,23006,121
2009,上海大学,2023,北京,本科批,综合改革,,,551,26095,58
2009,上海大学,2024,北京,本科批,综合改革,,,558,23892,34
2010,西北大学,2023,北京,本科批,综合改革,,,545,28145,19
2010,西北大学,2024,北京,本科批,综合改革,,,544,28502,152
3001,深圳大学,2023,北京,本科批,综合改革,,,537,31131,20
3001,深圳大学,2024,北京,本科批,综合改革,,,545,28145,44
3002,浙江工业大学,2023,北京,本科批,综合改革,,,532,33156,136
3002,浙江工业大学,2024,北京,本科批,综合改革,,,537,31131,21
3003,江苏大学,2023,北京,本科批,综合改革,,,525,36214,91
3003,江苏大学,2024,北京,本科批,综合改革,,,533,32741,178
3004,河南大学,2023,北京,本科批,综合改革,,,523,37138,69
3004,河南大学,2024,北京,本科批,综合改革,,,523,37138,44
3005,扬州大学,2023,北京,本科批,综合改革,,,524,36673,140
3005,扬州大学,2024,北京,本科批,综合改革,,,519,39058,62
3006,青岛大学,2023,北京,本科批,综合改革,,,512,42661,171
3006,青岛大学,2024,北京,本科批,综合改革,,,521,38086,109
4001,中原工学院,2023,北京,本科批,综合改革,,,501,49004,40
4001,中原工学院,2024,北京,本科批,综合改革,,,503,47784,42
4002,广东技术师范大学,2023,北京,本科批,综合改革,,,500,49626,193
4002,广东技术师范大学,2024,北京,本科批,综合改革,,,495,52853,63
4003,成都工业学院,2023,北京,本科批,综合改革,,,495,52853,130
4003,成都工业学院,2024,北京,本科批,综合改革,,,497,51538,153
5001,黄河科技学院,2023,北京,本科批,综合改革,,,459,83198,156
5001,黄河科技学院,2024,北京,本科批,综合改革,,,455,87500,196
