school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1171,民政职业大学,2025,吉林,专科批次,历史类,,,384,20451,
1183,北京汇佳职业学院,2025,吉林,专科批次,历史类,,,339,25015,
1184,北京科技经营管理学院,2025,吉林,专科批次,历史类,,,318,23421,
1221,天津天狮学院,2025,吉林,专科批次,历史类,,,371,22886,
1223,天津城市建设管理职业技术学院,2025,吉林,专科批次,历史类,,,363,23529,
1224,天津生物工程职业技术学院,2025,吉林,专科批次,历史类,,,372,21618,
1225,天津海运职业学院,2025,吉林,专科批次,历史类,,,386,20652,
1230,天津渤海职业技术学院,2025,吉林,专科批次,历史类,,,381,18751,
1232,天津机电职业技术学院,2025,吉林,专科批次,历史类,,,406,13899,
1233,天津现代职业技术学院,2025,吉林,专科批次,历史类,,,418,15982,
1235,天津轻工职业技术学院,2025,吉林,专科批次,历史类,,,388,20123,
1236,天津商务职业学院,2025,吉林,专科批次,历史类,,,388,15398,
1237,天津国土资源和房屋职业学院,2025,吉林,专科批次,历史类,,,351,23239,
1240,天津交通职业学院,2025,吉林,专科批次,历史类,,,400,18373,
1241,天津工业职业学院,2025,吉林,专科批次,历史类,,,383,20551,
1242,天津石油职业技术学院,2025,吉林,专科批次,历史类,,,393,20026,
1243,天津城市职业学院,2025,吉林,专科批次,历史类,,,364,22041,
1244,天津铁道职业技术学院,2025,吉林,专科批次,历史类,,,444,14642,
1256,天津市职业大学,2025,吉林,专科批次,历史类,,,452,12678,
1259,天津滨海汽车工程职业学院,2025,吉林,专科批次,历史类,,,215,26796,
1345,邢台医学院,2025,吉林,专科批次,历史类,,,421,17189,
1346,石家庄医学高等专科学校,2025,吉林,专科批次,历史类,,,274,18858,
1347,石家庄人民医学高等专科学校,2025,吉林,专科批次,历史类,,,368,20652,
1348,石家庄幼儿师范高等专科学校,2025,吉林,专科批次,历史类,,,265,25015,
1349,廊坊卫生职业学院,2025,吉林,专科批次,历史类,,,385,21066,
1350,唐山幼儿师范高等专科学校,2025,吉林,专科批次,历史类,,,382,21298,
1351,沧州医学高等专科学校,2025,吉林,专科批次,历史类,,,430,14158,
1353,邯郸职业技术学院,2025,吉林,专科批次,历史类,,,363,21179,
1355,张家口职业技术学院,2025,吉林,专科批次,历史类,,,320,26043,
1357,河北软件职业技术学院,2025,吉林,专科批次,历史类,,,382,21833,
1366,宣化科技职业学院,2025,吉林,专科批次,历史类,,,361,23792,
1368,承德护理职业学院,2025,吉林,专科批次,历史类,,,416,15526,
1370,保定幼儿师范高等专科学校,2025,吉林,专科批次,历史类,,,351,23959,
1371,河北建材职业技术学院,2025,吉林,专科批次,历史类,,,331,25015,
1374,河北能源职业技术学院,2025,吉林,专科批次,历史类,,,301,27670,
1375,石家庄铁路职业技术学院,2025,吉林,专科批次,历史类,,,437,15275,
1376,保定职业技术学院,2025,吉林,专科批次,历史类,,,392,20765,
1377,秦皇岛职业技术学院,2025,吉林,专科批次,历史类,,,398,19120,
1380,唐山职业技术学院,2025,吉林,专科批次,历史类,,,400,17307,
1381,衡水职业技术学院,2025,吉林,专科批次,历史类,,,380,22041,
1382,唐山工业职业技术大学,2025,吉林,专科批次,历史类,,,391,19456,
1384,河北旅游职业学院,2025,吉林,专科批次,历史类,,,295,27014,
1386,河北交通职业技术学院,2025,吉林,专科批次,历史类,,,390,20971,
1387,河北化工医药职业技术学院,2025,吉林,专科批次,历史类,,,395,20123,
1388,石家庄信息工程职业学院,2025,吉林,专科批次,历史类,,,391,19346,
1389,河北对外经贸职业学院,2025,吉林,专科批次,历史类,,,328,24612,
1393,廊坊职业技术学院,2025,吉林,专科批次,历史类,,,338,24863,
1395,石家庄邮电职业技术学院,2025,吉林,专科批次,历史类,,,450,10395,
1398,石家庄理工职业学院,2025,吉林,专科批次,历史类,,,256,28724,
1399,石家庄科技信息职业学院,2025,吉林,专科批次,历史类,,,294,27791,
1430,朔州师范高等专科学校,2025,吉林,专科批次,历史类,,,337,24205,
1453,临汾职业技术学院,2025,吉林,专科批次,历史类,,,380,20551,
1454,山西职业技术学院,2025,吉林,专科批次,历史类,,,372,20765,
1467,忻州职业技术学院,2025,吉林,专科批次,历史类,,,345,24774,
1527,包头铁道职业技术学院,2025,吉林,专科批次,历史类,,,442,14887,
1531,满洲里俄语职业学院,2025,吉林,专科批次,历史类,,,310,25630,
1532,赤峰工业职业技术学院,2025,吉林,专科批次,历史类,,,314,26604,
1535,扎兰屯职业学院,2025,吉林,专科批次,历史类,,,304,25839,
1536,兴安职业技术大学,2025,吉林,专科批次,历史类,,,323,22886,
1547,通辽职业学院,2025,吉林,专科批次,历史类,,,371,22886,
1553,赤峰应用技术职业学院,2025,吉林,专科批次,历史类,,,349,24359,
1554,内蒙古交通职业技术学院,2025,吉林,专科批次,历史类,,,365,21925,
2145,辽宁轻工职业学院,2025,吉林,专科批次,历史类,,,325,21513,
2152,朝阳师范学院,2025,吉林,专科批次,历史类,,,412,15020,
2153,抚顺师范高等专科学校,2025,吉林,专科批次,历史类,,,363,23627,
2155,铁岭师范高等专科学校,2025,吉林,专科批次,历史类,,,368,21179,
2156,阜新高等专科学校,2025,吉林,专科批次,历史类,,,382,21723,
2158,辽宁省交通高等专科学校,2025,吉林,专科批次,历史类,,,394,14642,
2159,辽宁民族师范高等专科学校,2025,吉林,专科批次,历史类,,,388,19584,
2161,营口职业技术学院,2025,吉林,专科批次,历史类,,,378,20765,
2162,大连职业技术学院,2025,吉林,专科批次,历史类,,,365,22799,
2163,抚顺职业技术学院,2025,吉林,专科批次,历史类,,,357,22323,
2164,辽宁农业职业技术学院,2025,吉林,专科批次,历史类,,,390,20652,
2166,盘锦职业技术学院,2025,吉林,专科批次,历史类,,,380,21179,
2167,辽宁传媒学院,2025,吉林,专科批次,历史类,,,316,26796,
2171,大连枫叶职业技术学院,2025,吉林,专科批次,历史类,,,250,28243,
2174,辽宁地质工程职业学院,2025,吉林,专科批次,历史类,,,342,24774,
2176,大连航运职业技术学院,2025,吉林,专科批次,历史类,,,301,26242,
2177,大连装备制造职业技术学院,2025,吉林,专科批次,历史类,,,354,24359,
