school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1001,清华大学,2023,四川,本科批,物理类,,,689,9168,47
1001,清华大学,2024,四川,本科批,物理类,,,688,9284,64
1001,清华大学,2023,四川,本科批,历史类,,,685,3374,24
1001,清华大学,2024,四川,本科批,历史类,,,692,3089,99
1002,北京大学,2023,四川,本科批,物理类,,,679,10399,11
1002,北京大学,2024,四川,本科批,物理类,,,680,10269,122
1002,北京大学,2023,四川,本科批,历史类,,,688,3249,70
1002,北京大学,2024,四川,本科批,历史类,,,683,3460,68
1003,复旦大学,2023,四川,本科批,物理类,,,666,12251,162
1003,复旦大学,2024,四川,本科批,物理类,,,663,12723,164
1003,复旦大学,2023,四川,本科批,历史类,,,664,4397,17
1003,复旦大学,2024,四川,本科批,历史类,,,664,4397,37
1004,上海交通大学,2023,四川,本科批,物理类,,,660,13213,22
1004,上海交通大学,2024,四川,本科批,物理类,,,659,13381,95
1004,上海交通大学,2023,四川,本科批,历史类,,,652,5115,140
1004,上海交通大学,2024,四川,本科批,历史类,,,658,4742,151
1005,浙江大学,2023,四川,本科批,物理类,,,656,13896,156
1005,浙江大学,2024,四川,本科批,物理类,,,662,12884,54
1005,浙江大学,2023,四川,本科批,历史类,,,659,4683,73
1005,浙江大学,2024,四川,本科批,历史类,,,658,4742,84
1006,南京大学,2023,四川,本科批,物理类,,,656,13896,195
1006,南京大学,2024,四川,本科批,物理类,,,647,15565,35
1006,南京大学,2023,四川,本科批,历史类,,,650,5245,166
1006,南京大学,2024,四川,本科批,历史类,,,650,5245,58
1007,中国科学技术大学,2023,四川,本科批,物理类,,,648,15370,199
1007,中国科学技术大学,2024,四川,本科批,物理类,,,651,14800,58
1007,中国科学技术大学,2023,四川,本科批,历史类,,,644,5657,43
1007,中国科学技术大学,2024,四川,本科批,历史类,,,653,5051,187
1008,华中科技大学,2023,四川,本科批,物理类,,,636,17880,69
1008,华中科技大学,2024,四川,本科批,物理类,,,637,17656,173
1008,华中科技大学,2023,四川,本科批,历史类,,,636,6258,90
1008,华中科技大学,2024,四川,本科批,历史类,,,637,6179,141
1009,武汉大学,2023,四川,本科批,物理类,,,636,17880,143
1009,武汉大学,2024,四川,本科批,物理类,,,631,19043,193
1009,武汉大学,2023,四川,本科批,历史类,,,634,6417,123
1009,武汉大学,2024,四川,本科批,历史类,,,628,6921,42
1010,中山大学,2023,四川,本科批,物理类,,,627,20027,153
1010,中山大学,2024,四川,本科批,物理类,,,625,20539,37
1010,中山大学,2023,四川,本科批,历史类,,,627,7009,74
1010,中山大学,2024,四川,本科批,历史类,,,635,6337,13
1011,西安交通大学,2023,四川,本科批,物理类,,,630,19284,42
1011,西安交通大学,2024,四川,本科批,物理类,,,624,20799,115
1011,西安交通大学,2023,四川,本科批,历史类,,,629,6835,71
1011,西安交通大学,2024,四川,本科批,历史类,,,630,6749,121
1012,北京航空航天大学,2023,四川,本科批,物理类,,,620,21875,155
1012,北京航空航天大学,2024,四川,本科批,物理类,,,628,19777,184
1012,北京航空航天大学,2023,四川,本科批,历史类,,,626,7098,121
1012,北京航空航天大学,2024,四川,本科批,历史类,,,628,6921,128
1013,同济大学,2023,四川,本科批,物理类,,,621,21601,30
1013,同济大学,2024,四川,本科批,物理类,,,623,21063,196
1013,同济大学,2023,四川,本科批,历史类,,,626,7098,21
1013,同济大学,2024,四川,本科批,历史类,,,615,8154,116
1014,北京理工大学,2023,四川,本科批,物理类,,,614,23593,108
1014,北京理工大学,2024,四川,本科批,物理类,,,623,21063,192
1014,北京理工大学,2023,四川,本科批,历史类,,,613,8362,57
1014,北京理工大学,2024,四川,本科批,历史类,,,616,8052,16
1015,哈尔滨工业大学,2023,四川,本科批,物理类,,,609,25127,107
1015,哈尔滨工业大学,2024,四川,本科批,物理类,,,620,21875,56
1015,哈尔滨工业大学,2023,四川,本科批,历史类,,,619,7753,106
1015,哈尔滨工业大学,2024,四川,本科批,历史类,,,615,8154,45
1016,天津大学,2023,四川,本科批,物理类,,,607,25769,18
1016,天津大学,2024,四川,本科批,物理类,,,613,23892,75
1016,天津大学,2023,四川,本科批,历史类,,,618,7851,170
1016,天津大学,2024,四川,本科批,历史类,,,608,8906,179
1017,东南大学,2023,四川,本科批,物理类,,,614,23593,191
1017,东南大学,2024,四川,本科批,物理类,,,606,26095,184
1017,东南大学,2023,四川,本科批,历史类,,,605,9249,121
1017,东南大学,2024,四川,本科批,历史类,,,609,8794,56
1018,厦门大学,2023,四川,本科批,物理类,,,603,27101,33
1018,厦门大学,2024,四川,本科批,物理类,,,603,27101,99
1018,厦门大学,2023,四川,本科批,历史类,,,613,8362,178
1018,厦门大学,2024,四川,本科批,历史类,,,608,8906,142
1019,华南理工大学,2023,四川,本科批,物理类,,,605,26426,76
1019,华南理工大学,2024,四川,本科批,物理类,,,605,26426,189
1019,华南理工大学,2023,四川,本科批,历史类,,,602,9605,134
1019,华南理工大学,2024,四川,本科批,历史类,,,610,8684,115
1020,北京师范大学,2023,四川,本科批,物理类,,,604,26762,180
1020,北京师范大学,2024,四川,本科批,物理类,,,603,27101,40
1020,北京师范大学,2023,四川,本科批,历史类,,,608,8906,119
1020,北京师范大学,2024,四川,本科批,历史类,,,601,9727,187
1021,电子科技大学,2023,四川,本科批,物理类,,,595,29976,165
1021,电子科技大学,2024,四川,本科批,物理类,,,596,29601,32
1021,电子科技大学,2023,四川,本科批,历史类,,,595,10491,102
1021,电子科技大学,2024,四川,本科批,历史类,,,605,9249,95
1022,中南大学,2023,四川,本科批,物理类,,,595,29976,139
1022,中南大学,2024,四川,本科批,物理类,,,594,30356,102
1022,中南大学,2023,四川,本科批,历史类,,,604,9366,12
1022,中南大学,2024,四川,本科批,历史类,,,596,10360,48
1023,山东大学,2023,四川,本科批,物理类,,,602,27445,47
1023,山东大学,2024,四川,本科批,物理类,,,599,28502,39
1023,山东大学,2023,四川,本科批,历史类,,,595,10491,77
1023,山东大学,2024,四川,本科批,历史类,,,591,11034,62
1024,大连理工大学,2023,四川,本科批,物理类,,,589,32331,33
1024,大连理工大学,2024,四川,本科批,物理类,,,598,28864,154
1024,大连理工大学,2023,四川,本科批,历史类,,,598,10102,128
1024,大连理工大学,2024,四川,本科批,历史类,,,590,11174,119
1025,重庆大学,2023,四川,本科批,物理类,,,598,28864,103
1025,重庆大学,2024,四川,本科批,物理类,,,595,29976,173
1025,重庆大学,2023,四川,本科批,历史类,,,587,11604,154
1025,重庆大学,2024,四川,本科批,历史类,,,597,10230,147
1026,吉林大学,2023,四川,本科批,物理类,,,586,33576,30
1026,吉林大学,2024,四川,本科批,物理类,,,594,30356,106
1026,吉林大学,2023,四川,本科批,历史类,,,591,11034,148
1026,吉林大学,2024,四川,本科批,历史类,,,591,11034,125
1027,湖南大学,2023,四川,本科批,物理类,,,583,34870,199
1027,湖南大学,2024,四川,本科批,物理类,,,585,34002,40
1027,湖南大学,2023,四川,本科批,历史类,,,588,11459,193
1027,湖南大学,2024,四川,本科批,历史类,,,592,10896,157
1028,中国农业大学,2023,四川,本科批,物理类,,,585,34002,114
1028,中国农业大学,2024,四川,本科批,物理类,,,591,31526,19
1028,中国农业大学,2023,四川,本科批,历史类,,,582,12359,128
1028,中国农业大学,2024,四川,本科批,历史类,,,591,11034,33
1029,华东师范大学,2023,四川,本科批,物理类,,,588,32741,69
1029,华东师范大学,2024,四川,本科批,物理类,,,587,33156,178
1029,华东师范大学,2023,四川,本科批,历史类,,,588,11459,56
1029,华东师范大学,2024,四川,本科批,历史类,,,588,11459,84
1030,西北工业大学,2023,四川,本科批,物理类,,,574,39058,48
1030,西北工业大学,2024,四川,本科批,物理类,,,586,33576,93
1030,西北工业大学,2023,四川,本科批,历史类,,,577,13163,141
1030,西北工业大学,2024,四川,本科批,历史类,,,580,12674,100
2001,苏州大学,2023,四川,本科批,物理类,,,570,41078,11
2001,苏州大学,2024,四川,本科批,物理类,,,579,36673,119
2001,苏州大学,2023,四川,本科批,历史类,,,575,13499,35
2001,苏州大学,2024,四川,本科批,历史类,,,580,12674,127
2002,武汉理工大学,2023,四川,本科批,物理类,,,568,42126,123
2002,武汉理工大学,2024,四川,本科批,物理类,,,577,37609,97
2002,武汉理工大学,2023,四川,本科批,历史类,,,571,14197,163
2002,武汉理工大学,2024,四川,本科批,历史类,,,571,14197,124
2003,西南交通大学,2023,四川,本科批,物理类,,,568,42126,39
2003,西南交通大学,2024,四川,本科批,物理类,,,570,41078,45
2003,西南交通大学,2023,四川,本科批,历史类,,,568,14744,171
2003,西南交通大学,2024,四川,本科批,历史类,,,565,15312,156
2004,暨南大学,2023,四川,本科批,物理类,,,567,42661,25
2004,暨南大学,2024,四川,本科批,物理类,,,572,40055,98
2004,暨南大学,2023,四川,本科批,历史类,,,566,15120,36
2004,暨南大学,2024,四川,本科批,历史类,,,564,15506,197
2005,郑州大学,2023,四川,本科批,物理类,,,564,44304,160
2005,郑州大学,2024,四川,本科批,物理类,,,555,49626,28
2005,郑州大学,2023,四川,本科批,历史类,,,557,16936,110
2005,郑州大学,2024,四川,本科批,历史类,,,558,16724,153
2006,南京师范大学,2023,四川,本科批,物理类,,,562,45435,159
2006,南京师范大学,2024,四川,本科批,物理类,,,558,47784,180
2006,南京师范大学,2023,四川,本科批,历史类,,,560,16308,176
2006,南京师范大学,2024,四川,本科批,历史类,,,553,17812,112
2007,合肥工业大学,2023,四川,本科批,物理类,,,561,46012,190
