school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
2201,吉林大学,2025,宁夏,本科批A段,历史类,,,538,1156,
3103,华东师范大学,2025,宁夏,本科批A段,历史类,,,576,387,
3501,厦门大学,2025,宁夏,本科批A段,历史类,,,560,622,
3701,山东大学,2025,宁夏,本科批A段,历史类,,,543,1009,
4212,华中师范大学,2025,宁夏,本科批A段,历史类,,,511,2028,
5211,贵州大学,2025,宁夏,本科批A段,历史类,,,488,3083,
1008,中央民族大学,2025,宁夏,本科批B段,历史类,,,546,549,
1016,北京中医药大学,2025,宁夏,本科批B段,历史类,,,542,867,
1017,北京外国语大学,2025,宁夏,本科批B段,历史类,,,548,199,
1018,中国传媒大学,2025,宁夏,本科批B段,历史类,,,521,484,
1019,中央财经大学,2025,宁夏,本科批B段,历史类,,,546,143,
1023,中华女子学院,2025,宁夏,本科批B段,历史类,,,478,3469,
1111,对外经济贸易大学,2025,宁夏,本科批B段,历史类,,,559,410,
1112,北京体育大学,2025,宁夏,本科批B段,历史类,,,528,985,
1114,华北电力大学(北京),2025,宁夏,本科批B段,历史类,,,542,916,
1121,北京工商大学,2025,宁夏,本科批B段,历史类,,,516,1842,
1124,首都经济贸易大学,2025,宁夏,本科批B段,历史类,,,538,1069,
1131,北京物资学院,2025,宁夏,本科批B段,历史类,,,495,2375,
1133,中央美术学院,2025,宁夏,本科批B段,历史类,,,523,1215,
1134,中央戏剧学院,2025,宁夏,本科批B段,历史类,,,539,1127,
1135,中国戏曲学院,2025,宁夏,本科批B段,历史类,,,529,1420,
1149,中国劳动关系学院,2025,宁夏,本科批B段,历史类,,,506,2028,
1226,天津师范大学,2025,宁夏,本科批B段,历史类,,,492,1039,
1227,天津职业技术师范大学,2025,宁夏,本科批B段,历史类,,,474,3660,
1260,天津外国语大学滨海外事学院,2025,宁夏,本科批B段,历史类,,,420,5868,
1263,天津医科大学临床医学院,2025,宁夏,本科批B段,历史类,,,441,6179,
1321,河北工程大学,2025,宁夏,本科批B段,历史类,,,510,2075,
1323,石家庄铁道大学,2025,宁夏,本科批B段,历史类,,,521,1665,
1328,河北医科大学,2025,宁夏,本科批B段,历史类,,,457,4991,
1343,河北金融学院,2025,宁夏,本科批B段,历史类,,,462,4645,
1347,张家口学院,2025,宁夏,本科批B段,历史类,,,481,3469,
1363,石家庄铁道大学四方学院,2025,宁夏,本科批B段,历史类,,,456,5062,
1383,河北环境工程学院,2025,宁夏,本科批B段,历史类,,,454,5141,
1422,山西农业大学,2025,宁夏,本科批B段,历史类,,,470,2723,
1423,山西医科大学,2025,宁夏,本科批B段,历史类,,,475,3838,
1441,太原师范学院,2025,宁夏,本科批B段,历史类,,,469,3660,
1443,晋中学院,2025,宁夏,本科批B段,历史类,,,461,4317,
