school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1008,安阳职业技术学院,2025,安徽,专科批,历史类,（001）,,338,72250,
1016,包头轻工职业技术学院,2025,安徽,专科批,历史类,（001）,,322,119702,
1053,北京科技职业大学,2025,安徽,专科批,历史类,（001）,,472,41258,
1076,毕节职业技术学院,2025,安徽,专科批,历史类,（001）,,268,121792,
1080,渤海船舶职业学院,2025,安徽,专科批,历史类,（001）,,391,88065,
1098,长春金融高等专科学校,2025,安徽,专科批,历史类,（001）,,368,79125,
1135,常州机电职业技术学院,2025,安徽,专科批,历史类,（001）,,446,45244,
1160,重庆财经职业学院,2025,安徽,专科批,历史类,（001）,,459,52356,
1176,重庆工信职业学院,2025,安徽,专科批,历史类,（001）,,412,78611,
1177,重庆工业职业技术大学,2025,安徽,专科批,历史类,（001）,,459,51836,
1180,重庆护理职业学院,2025,安徽,专科批,历史类,（001）,,287,65405,
1211,重庆幼儿师范高等专科学校,2025,安徽,专科批,历史类,（001）,,442,62797,
1215,楚雄医药高等专科学校,2025,安徽,专科批,历史类,（001）,,397,86534,
1236,大连职业技术学院,2025,安徽,专科批,历史类,（001）,,333,108726,
1262,东莞职业技术学院,2025,安徽,专科批,历史类,,,399,71230,
1276,福建电力职业技术学院,2025,安徽,专科批,历史类,（001）,,446,60741,
1386,广西水利电力职业技术学院,2025,安徽,专科批,历史类,（001）,,304,124781,
1387,广西体育高等专科学校,2025,安徽,专科批,历史类,（001）,,333,88566,
1401,广州职业技术大学,2025,安徽,专科批,历史类,（001）,,430,68052,
1495,海南经贸职业技术学院,2025,安徽,专科批,历史类,（001）,,421,42281,
1500,海南外国语职业学院,2025,安徽,专科批,历史类,（001）,,323,88566,
1501,海南卫生健康职业学院,2025,安徽,专科批,历史类,（001）,,361,87541,
1509,汉江师范学院,2025,安徽,专科批,历史类,（002）,,468,42775,
1513,杭州科技职业技术学院,2025,安徽,专科批,历史类,（001）,,461,47775,
1517,杭州职业技术大学,2025,安徽,专科批,历史类,（001）,,488,36833,
1534,河北轨道运输职业技术学院,2025,安徽,专科批,历史类,（001）,,452,44750,
1535,河北化工医药职业技术学院,2025,安徽,专科批,历史类,（001）,,428,70181,
1540,河北交通职业技术学院,2025,安徽,专科批,历史类,,,385,51307,
1544,河北科技工程职业技术大学,2025,安徽,专科批,历史类,（002）,,392,89092,
1559,河北正定师范高等专科学校,2025,安徽,专科批,历史类,（001）,,310,120604,
1588,河南医学高等专科学校,2025,安徽,专科批,历史类,（002）,,447,60178,
1598,鹤壁职业技术学院,2025,安徽,专科批,历史类,（001）,,325,115671,
1616,黑龙江农垦职业学院,2025,安徽,专科批,历史类,（001）,,289,102307,
1617,黑龙江农业工程职业学院,2025,安徽,专科批,历史类,,,382,43266,
1666,湖北职业技术学院,2025,安徽,专科批,历史类,（001）,,444,52356,
1799,江汉艺术职业学院,2025,安徽,专科批,历史类,（001）,,318,118104,
1806,江苏城市职业学院,2025,安徽,专科批,历史类,（001）,,473,45752,
1810,江苏电子信息职业学院,2025,安徽,专科批,历史类,（001）,,427,68052,
1811,江苏工程职业技术学院,2025,安徽,专科批,历史类,（001）,,451,51836,
1818,江苏经贸职业技术学院,2025,安徽,专科批,历史类,（001）,,471,39761,
1844,江西航空职业技术学院,2025,安徽,专科批,历史类,（002）,,352,104715,
1847,江西机电职业技术学院,2025,安徽,专科批,历史类,（001）,,386,83403,
1872,江西医学高等专科学校,2025,安徽,专科批,历史类,（001）,,446,58622,
1874,江西应用技术职业学院,2025,安徽,专科批,历史类,（001）,,413,51307,
1880,抚州医药学院,2025,安徽,专科批,历史类,,,410,54918,
1945,黎明职业大学,2025,安徽,专科批,历史类,（001）,,368,93295,
1949,连云港师范学院,2025,安徽,专科批,历史类,（002）,,469,44261,
1950,连云港职业技术学院,2025,安徽,专科批,历史类,（001）,,397,74308,
1971,辽宁民族师范高等专科学校,2025,安徽,专科批,历史类,（001）,,307,123463,
1974,辽宁生态工程职业学院,2025,安徽,专科批,历史类,（001）,,300,97896,
1991,临汾职业技术学院,2025,安徽,专科批,历史类,（001）,,329,115671,
2031,闽西职业技术学院,2025,安徽,专科批,历史类,（001）,,355,107440,
2040,南昌健康职业技术学院,2025,安徽,专科批,历史类,（001）,,372,89610,
2063,南京机电职业技术学院,2025,安徽,专科批,历史类,（001）,,476,32982,
2076,南京铁道职业技术学院,2025,安徽,专科批,历史类,（001）,,502,31561,
2132,盘锦职业技术学院,2025,安徽,专科批,历史类,（001）,,304,123985,
2145,齐鲁医药学院,2025,安徽,专科批,历史类,（004）,,415,56506,
2182,曲靖健康医学院,2025,安徽,专科批,历史类,（001）,,433,67520,
2200,三门峡职业技术学院,2025,安徽,专科批,历史类,（001）,,367,82377,
2208,三亚护理职业学院,2025,安徽,专科批,历史类,（001）,,180,141400,
2248,山东商务职业学院,2025,安徽,专科批,历史类,（001）,,335,106057,
2316,商丘工学院,2025,安徽,专科批,历史类,（001）,,221,139345,
2319,商丘职业技术学院,2025,安徽,专科批,历史类,（001）,,377,95309,
2320,上海邦德职业技术学院,2025,安徽,专科批,历史类,（001）,,204,137829,
2330,上海东海职业技术学院,2025,安徽,专科批,历史类,（001）,,200,130127,
2333,上海工商外国语职业学院,2025,安徽,专科批,历史类,（001）,,226,138753,
2334,上海工商职业技术学院,2025,安徽,专科批,历史类,,,202,135831,
2345,上海交通职业技术学院,2025,安徽,专科批,历史类,（001）,,437,49317,
2352,上海旅游高等专科学校,2025,安徽,专科批,历史类,（001）,,388,53385,
2356,上海南湖职业技术学院,2025,安徽,专科批,历史类,（001）,,435,61771,
2358,上海农林职业技术学院,2025,安徽,专科批,历史类,（001）,,436,53385,
2359,上海浦东职业技术学院,2025,安徽,专科批,历史类,（001）,,440,47775,
2360,上海杉达学院,2025,安徽,专科批,历史类,（004）,,436,57015,
2368,上海现代化工职业学院,2025,安徽,专科批,历史类,（001）,,412,72729,
2369,上海行健职业学院,2025,安徽,专科批,历史类,,,404,45752,
2373,上海震旦职业学院,2025,安徽,专科批,历史类,（001）,,238,100838,
2419,石家庄幼儿师范高等专科学校,2025,安徽,专科批,历史类,,,301,103771,
2475,苏州健雄职业技术学院,2025,安徽,专科批,历史类,（001）,,419,69650,
2479,苏州卫生职业技术学院,2025,安徽,专科批,历史类,（001）,,480,40761,
2493,台州科技职业学院,2025,安徽,专科批,历史类,,,205,71715,
2502,太原幼儿师范高等专科学校,2025,安徽,专科批,历史类,（001）,,305,118411,
2511,唐山幼儿师范高等专科学校,2025,安徽,专科批,历史类,（001）,,312,104715,
2571,威海职业学院,2025,安徽,专科批,历史类,（002）,,388,87541,
2586,温州商学院,2025,安徽,专科批,历史类,（002）,,407,80755,
2631,武汉民政职业学院,2025,安徽,专科批,历史类,（001）,,421,57015,
2651,西安城市建设职业学院,2025,安徽,专科批,历史类,（001）,,232,107440,
2693,西藏职业技术学院,2025,安徽,专科批,历史类,（001）,,288,128551,
2710,厦门城市职业学院,2025,安徽,专科批,历史类,（001）,,420,70714,
2734,襄阳科技职业学院,2025,安徽,专科批,历史类,（001）,,339,84473,
2736,襄阳职业技术学院,2025,安徽,专科批,历史类,,,476,42281,
2768,信阳航空职业学院,2025,安徽,专科批,历史类,（001）,,204,140608,
2773,信阳职业技术学院,2025,安徽,专科批,历史类,（001）,,335,111524,
2808,伊春职业学院,2025,安徽,专科批,历史类,（001）,,365,70714,
2813,宜昌科技职业学院,2025,安徽,专科批,历史类,（001）,,331,114170,
2816,宜春职业技术学院,2025,安徽,专科批,历史类,（001）,,407,76478,
2817,义乌工商职业技术学院,2025,安徽,专科批,历史类,（001）,,423,62298,
2836,云南财经职业学院,2025,安徽,专科批,历史类,（001）,,394,88065,
2847,云南林业职业技术学院,2025,安徽,专科批,历史类,（001）,,326,100838,
2849,云南能源职业技术学院,2025,安徽,专科批,历史类,（001）,,328,117409,
2863,枣庄职业学院,2025,安徽,专科批,历史类,,,245,54386,
2867,张家口学院,2025,安徽,专科批,历史类,（002）,,496,34845,
2872,漳州职业技术学院,2025,安徽,专科批,历史类,（001）,,425,57562,
2878,浙江安防职业技术学院,2025,安徽,专科批,历史类,（001）,,440,57015,
2884,浙江纺织服装职业技术学院,2025,安徽,专科批,历史类,,,365,74854,
2889,浙江工业职业技术学院,2025,安徽,专科批,历史类,（001）,,447,57562,
2891,浙江国际海运职业技术学院,2025,安徽,专科批,历史类,（001）,,415,76984,
2894,浙江机电职业技术大学,2025,安徽,专科批,历史类,（002）,,464,42281,
2895,浙江建设职业技术学院,2025,安徽,专科批,历史类,（002）,,446,49317,
2899,浙江经贸职业技术学院,2025,安徽,专科批,历史类,（001）,,469,40246,
2900,浙江警官职业学院,2025,安徽,专科批,历史类,,,472,45752,
2906,浙江商业职业技术学院,2025,安徽,专科批,历史类,（001）,,461,47265,
