school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1001,清华大学,2023,山东,本科批,综合改革,,,683,4944,61
1001,清华大学,2024,山东,本科批,综合改革,,,691,4470,114
1002,北京大学,2023,山东,本科批,综合改革,,,687,4701,165
1002,北京大学,2024,山东,本科批,综合改革,,,690,4526,69
1003,复旦大学,2023,山东,本科批,综合改革,,,666,6125,21
1003,复旦大学,2024,山东,本科批,综合改革,,,664,6281,183
1004,上海交通大学,2023,山东,本科批,综合改革,,,659,6690,117
1004,上海交通大学,2024,山东,本科批,综合改革,,,662,6442,189
1005,浙江大学,2023,山东,本科批,综合改革,,,655,7036,16
1005,浙江大学,2024,山东,本科批,综合改革,,,662,6442,79
1006,南京大学,2023,山东,本科批,综合改革,,,652,7307,44
1006,南京大学,2024,山东,本科批,综合改革,,,655,7036,90
1007,中国科学技术大学,2023,山东,本科批,综合改革,,,646,7881,176
1007,中国科学技术大学,2024,山东,本科批,综合改革,,,645,7981,187
1008,华中科技大学,2023,山东,本科批,综合改革,,,631,9521,50
1008,华中科技大学,2024,山东,本科批,综合改革,,,628,9888,139
1009,武汉大学,2023,山东,本科批,综合改革,,,628,9888,126
1009,武汉大学,2024,山东,本科批,综合改革,,,633,9284,22
1010,中山大学,2023,山东,本科批,综合改革,,,630,9642,173
1010,中山大学,2024,山东,本科批,综合改革,,,627,10013,38
1011,西安交通大学,2023,山东,本科批,综合改革,,,621,10800,171
1011,西安交通大学,2024,山东,本科批,综合改革,,,627,10013,63
1012,北京航空航天大学,2023,山东,本科批,综合改革,,,629,9764,154
1012,北京航空航天大学,2024,山东,本科批,综合改革,,,627,10013,114
1013,同济大学,2023,山东,本科批,综合改革,,,624,10399,150
1013,同济大学,2024,山东,本科批,综合改革,,,615,11648,161
1014,北京理工大学,2023,山东,本科批,综合改革,,,624,10399,200
1014,北京理工大学,2024,山东,本科批,综合改革,,,621,10800,188
1015,哈尔滨工业大学,2023,山东,本科批,综合改革,,,619,11076,143
1015,哈尔滨工业大学,2024,山东,本科批,综合改革,,,615,11648,23
1016,天津大学,2023,山东,本科批,综合改革,,,615,11648,139
1016,天津大学,2024,山东,本科批,综合改革,,,607,12884,199
1017,东南大学,2023,山东,本科批,综合改革,,,614,11796,164
1017,东南大学,2024,山东,本科批,综合改革,,,613,11946,24
1018,厦门大学,2023,山东,本科批,综合改革,,,608,12723,173
1018,厦门大学,2024,山东,本科批,综合改革,,,612,12097,195
1019,华南理工大学,2023,山东,本科批,综合改革,,,600,14072,123
1019,华南理工大学,2024,山东,本科批,综合改革,,,601,13896,171
1020,北京师范大学,2023,山东,本科批,综合改革,,,604,13381,21
1020,北京师范大学,2024,山东,本科批,综合改革,,,608,12723,113
1021,电子科技大学,2023,山东,本科批,综合改革,,,601,13896,110
1021,电子科技大学,2024,山东,本科批,综合改革,,,595,14988,48
1022,中南大学,2023,山东,本科批,综合改革,,,604,13381,89
1022,中南大学,2024,山东,本科批,综合改革,,,604,13381,22
1023,山东大学,2023,山东,本科批,综合改革,,,590,15963,129
1023,山东大学,2024,山东,本科批,综合改革,,,595,14988,168
1024,大连理工大学,2023,山东,本科批,综合改革,,,596,14800,57
1024,大连理工大学,2024,山东,本科批,综合改革,,,592,15565,106
1025,重庆大学,2023,山东,本科批,综合改革,,,598,14432,137
1025,重庆大学,2024,山东,本科批,综合改革,,,591,15763,69
1026,吉林大学,2023,山东,本科批,综合改革,,,582,17656,136
1026,吉林大学,2024,山东,本科批,综合改革,,,584,17216,46
1027,湖南大学,2023,山东,本科批,综合改革,,,584,17216,188
1027,湖南大学,2024,山东,本科批,综合改革,,,586,16788,67
1028,中国农业大学,2023,山东,本科批,综合改革,,,590,15963,185
1028,中国农业大学,2024,山东,本科批,综合改革,,,581,17880,164
1029,华东师范大学,2023,山东,本科批,综合改革,,,585,17001,112
1029,华东师范大学,2024,山东,本科批,综合改革,,,585,17001,88
1030,西北工业大学,2023,山东,本科批,综合改革,,,580,18107,95
1030,西北工业大学,2024,山东,本科批,综合改革,,,576,19043,174
2001,苏州大学,2023,山东,本科批,综合改革,,,580,18107,146
2001,苏州大学,2024,山东,本科批,综合改革,,,582,17656,82
2002,武汉理工大学,2023,山东,本科批,综合改革,,,568,21063,178
2002,武汉理工大学,2024,山东,本科批,综合改革,,,567,21330,49
2003,西南交通大学,2023,山东,本科批,综合改革,,,569,20799,145
2003,西南交通大学,2024,山东,本科批,综合改革,,,571,20281,175
2004,暨南大学,2023,山东,本科批,综合改革,,,563,22433,75
2004,暨南大学,2024,山东,本科批,综合改革,,,571,20281,53
2005,郑州大学,2023,山东,本科批,综合改革,,,557,24195,66
2005,郑州大学,2024,山东,本科批,综合改革,,,556,24502,108
2006,南京师范大学,2023,山东,本科批,综合改革,,,564,22152,94
2006,南京师范大学,2024,山东,本科批,综合改革,,,555,24813,125
2007,合肥工业大学,2023,山东,本科批,综合改革,,,562,22717,37
2007,合肥工业大学,2024,山东,本科批,综合改革,,,560,23297,65
2008,华中师范大学,2023,山东,本科批,综合改革,,,554,25127,113
2008,华中师范大学,2024,山东,本科批,综合改革,,,550,26426,176
2009,上海大学,2023,山东,本科批,综合改革,,,548,27101,120
2009,上海大学,2024,山东,本科批,综合改革,,,557,24195,52
2010,西北大学,2023,山东,本科批,综合改革,,,546,27793,136
2010,西北大学,2024,山东,本科批,综合改革,,,548,27101,47
3001,深圳大学,2023,山东,本科批,综合改革,,,537,31131,41
3001,深圳大学,2024,山东,本科批,综合改革,,,537,31131,45
3002,浙江工业大学,2023,山东,本科批,综合改革,,,529,34433,174
3002,浙江工业大学,2024,山东,本科批,综合改革,,,532,33156,101
3003,江苏大学,2023,山东,本科批,综合改革,,,533,32741,35
3003,江苏大学,2024,山东,本科批,综合改革,,,533,32741,14
3004,河南大学,2023,山东,本科批,综合改革,,,522,37609,174
3004,河南大学,2024,山东,本科批,综合改革,,,528,34870,14
3005,扬州大学,2023,山东,本科批,综合改革,,,514,41599,65
3005,扬州大学,2024,山东,本科批,综合改革,,,527,35312,97
3006,青岛大学,2023,山东,本科批,综合改革,,,523,37138,173
3006,青岛大学,2024,山东,本科批,综合改革,,,515,41078,139
4001,中原工学院,2023,山东,本科批,综合改革,,,499,50255,135
4001,中原工学院,2024,山东,本科批,综合改革,,,500,49626,82
4002,广东技术师范大学,2023,山东,本科批,综合改革,,,491,55586,188
4002,广东技术师范大学,2024,山东,本科批,综合改革,,,493,54203,74
4003,成都工业学院,2023,山东,本科批,综合改革,,,486,59202,152
4003,成都工业学院,2024,山东,本科批,综合改革,,,490,56291,72
5001,黄河科技学院,2023,山东,本科批,综合改革,,,459,83198,84
5001,黄河科技学院,2024,山东,本科批,综合改革,,,464,78117,14
5002,广州南方学院,2023,山东,本科批,综合改革,,,453,89733,59
5002,广州南方学院,2024,山东,本科批,综合改革,,,453,89733,54
6001,河南职业技术学院,2023,山东,本科批,综合改革,,,384,214096,94
6001,河南职业技术学院,2024,山东,本科批,综合改革,,,386,208767,142
6002,成都航空职业技术学院,2023,山东,本科批,综合改革,,,374,242852,57
6002,成都航空职业技术学院,2024,山东,本科批,综合改革,,,369,258648,45
,兰州资源环境职业技术大学,2025,山东,提前批,综合,,,416,363727,
,中国人民公安大学,2025,山东,提前批A类,综合,,,613,1262,
,临沂大学,2025,山东,提前批B类,综合,,,586,19752,
,三亚学院,2025,山东,普通类一段,综合,,,467,186441,
,七台河职业学院,2025,山东,普通类二段,综合,,,375,413835,
,上海财经大学,2025,山东,特殊类型批,综合,,,583,39493,
,郑州美术学院,2025,山东,艺术类本科批,艺术类,,,474,,
,成都中医药大学,2024,山东,体育类本科批,体育类,,,,,
,三亚学院,2024,山东,普通类一段,综合,,,,179543,
,七台河职业学院,2024,山东,普通类二段,综合,,,,379564,
,三亚学院,2023,山东,普通类一段,综合,,,462,182768,
,七台河职业学院,2023,山东,普通类二段,综合,,,386,375116,
,中国人民公安大学,2023,山东,本科提前批,综合,,,609,2231,
