school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
,北京工业职业技术学院,2025,山西,,<NA>,第001组,,442,,
,,2025,山西,,<NA>,第002组,,417,,
,,2025,山西,,<NA>,第003组,,399,,
,,2025,山西,,<NA>,第004组,,422,,
,,2025,山西,,<NA>,,,,,
,院校名称,2025,山西,,<NA>,专业组,,,,
,,2025,山西,,<NA>,第005组,,431,,
,,2025,山西,,<NA>,第004组(合作办学组),,289,,
,石家庄医学高等专科学校,2025,山西,,<NA>,第002组(合作办学组),,321,,
,张家口学院,2025,山西,,<NA>,第006组,,455,,
,苏州百年职业学院,2025,山西,,<NA>,第001组(合作办学组),,245,,
,,2025,山西,,<NA>,第007组,,315,,
,山西省财政税务专科学校,2025,山西,,<NA>,第001组(高本贯通组),,475,,
,,2025,山西,,<NA>,第002组(高本贯通组),,465,,
,长治职业技术学院,2025,山西,,<NA>,第008组,,204,,
,,2025,山西,,<NA>,第003组(高本贯通组),,457,,
,七台河职业学院,2024,山西,专科(高职)批,历史类,,,,,
,三亚学院,2024,山西,本科批,历史类,,,,,
,七台河职业学院,2024,山西,专科(高职)批,物理类,,,,,
,三亚学院,2024,山西,本科批,物理类,,,,,
,海南体育职业技术学院,2023,山西,专科批,体育文,,,69,,
,三亚理工职业学院,2023,山西,专科批,文科,,,180,25171,
,北京林业大学,2023,山西,国家专项计划本科批,文科,,,525,3142,
,中国刑事警察学院,2023,山西,提前一批本科,文科,,,508,1467,
,上海大学,2023,山西,本科一批A1段,文科,,,517,3142,
,上海大学,2023,山西,本科一批A段,文科,,,555,1141,
,上海对外经贸大学,2023,山西,本科一批B段,文科,,,529,2103,
,上海体育大学,2023,山西,本科二批A段,文科,,,482,8558,
,三明学院,2023,山西,本科二批B段,文科,,,418,17392,
,上海杉达学院,2023,山西,本科二批C段,文科,,,367,,
,中国人民公安大学,2023,山西,本科提前批,文科,,,525,363,
,贵州大学,2023,山西,高校专项计划本科批,文科,,,509,4819,
,三亚理工职业学院,2023,山西,专科批,理科,,,133,94352,
,南京林业大学,2023,山西,国家专项计划,理科,,,510,27801,
,华南理工大学,2023,山西,国家专项计划本科批,理科,,,591,5288,
,中国刑事警察学院,2023,山西,提前一批本科,理科,,,546,6768,
,上海海事大学,2023,山西,提前二批本科,理科,,,473,45517,
,上海大学,2023,山西,本科一批A1段,理科,,,549,12721,
,上海中医药大学,2023,山西,本科一批A段,理科,,,556,3871,
,三峡大学,2023,山西,本科一批B段,理科,,,488,15192,
,上海体育大学,2023,山西,本科二批A段,理科,,,469,47470,
,三明学院,2023,山西,本科二批B段,理科,,,401,75187,
,上海杉达学院,2023,山西,本科二批C段,理科,,,343,,
,中国人民公安大学,2023,山西,本科提前批,理科,,,572,3192,
,北京林业大学,2023,山西,高校专项计划本科批,理科,,,532,19443,
,上海邦德职业技术学院,2023,山西,专科批,艺术类,,,67,,
,湖南女子学院,2023,山西,本科二批B段,艺术类,,,210,,
,湖南科技学院,2023,山西,艺术类本科批,艺术类,,,66,,
