school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1001,清华大学,2023,广东,本科批,物理类,,,690,9053,167
1001,清华大学,2024,广东,本科批,物理类,,,683,9888,89
1001,清华大学,2023,广东,本科批,历史类,,,687,3290,190
1001,清华大学,2024,广东,本科批,历史类,,,685,3374,142
1002,北京大学,2023,广东,本科批,物理类,,,686,9521,96
1002,北京大学,2024,广东,本科批,物理类,,,683,9888,191
1002,北京大学,2023,广东,本科批,历史类,,,688,3249,129
1002,北京大学,2024,广东,本科批,历史类,,,680,3594,185
1003,复旦大学,2023,广东,本科批,物理类,,,664,12563,167
1003,复旦大学,2024,广东,本科批,物理类,,,656,13896,139
1003,复旦大学,2023,广东,本科批,历史类,,,656,4863,70
1003,复旦大学,2024,广东,本科批,历史类,,,662,4509,159
1004,上海交通大学,2023,广东,本科批,物理类,,,653,14432,95
1004,上海交通大学,2024,广东,本科批,物理类,,,663,12723,10
1004,上海交通大学,2023,广东,本科批,历史类,,,664,4397,67
1004,上海交通大学,2024,广东,本科批,历史类,,,665,4342,139
1005,浙江大学,2023,广东,本科批,物理类,,,658,13550,190
1005,浙江大学,2024,广东,本科批,物理类,,,661,13047,78
1005,浙江大学,2023,广东,本科批,历史类,,,655,4925,153
1005,浙江大学,2024,广东,本科批,历史类,,,652,5115,69
1006,南京大学,2023,广东,本科批,物理类,,,647,15565,175
1006,南京大学,2024,广东,本科批,物理类,,,653,14432,109
1006,南京大学,2023,广东,本科批,历史类,,,655,4925,82
1006,南京大学,2024,广东,本科批,历史类,,,647,5448,132
1007,中国科学技术大学,2023,广东,本科批,物理类,,,654,14251,70
1007,中国科学技术大学,2024,广东,本科批,物理类,,,643,16370,164
1007,中国科学技术大学,2023,广东,本科批,历史类,,,646,5517,107
1007,中国科学技术大学,2024,广东,本科批,历史类,,,645,5587,155
1008,华中科技大学,2023,广东,本科批,物理类,,,627,20027,118
1008,华中科技大学,2024,广东,本科批,物理类,,,627,20027,82
1008,华中科技大学,2023,广东,本科批,历史类,,,638,6102,178
1008,华中科技大学,2024,广东,本科批,历史类,,,638,6102,30
1009,武汉大学,2023,广东,本科批,物理类,,,626,20281,103
1009,武汉大学,2024,广东,本科批,物理类,,,625,20539,125
1009,武汉大学,2023,广东,本科批,历史类,,,629,6835,116
1009,武汉大学,2024,广东,本科批,历史类,,,628,6921,41
1010,中山大学,2023,广东,本科批,物理类,,,626,20281,25
1010,中山大学,2024,广东,本科批,物理类,,,624,20799,95
1010,中山大学,2023,广东,本科批,历史类,,,624,7279,68
1010,中山大学,2024,广东,本科批,历史类,,,626,7098,142
1011,西安交通大学,2023,广东,本科批,物理类,,,631,19043,108
1011,西安交通大学,2024,广东,本科批,物理类,,,628,19777,78
1011,西安交通大学,2023,广东,本科批,历史类,,,629,6835,193
1011,西安交通大学,2024,广东,本科批,历史类,,,631,6665,46
1012,北京航空航天大学,2023,广东,本科批,物理类,,,629,19529,115
1012,北京航空航天大学,2024,广东,本科批,物理类,,,618,22433,140
1012,北京航空航天大学,2023,广东,本科批,历史类,,,624,7279,200
1012,北京航空航天大学,2024,广东,本科批,历史类,,,626,7098,103
1013,同济大学,2023,广东,本科批,物理类,,,616,23006,147
1013,同济大学,2024,广东,本科批,物理类,,,620,21875,89
1013,同济大学,2023,广东,本科批,历史类,,,626,7098,195
