school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
10275,上海旅游高等专科学校,2025,广西,专科批,历史类,,,395,54488,
10301,江苏城市职业学院,2025,广西,专科批,历史类,（101）,,397,39045,
10518,汉江师范学院,2025,广西,专科批,历史类,（109）,,431,39498,
10598,广西医科大学,2025,广西,专科批,历史类,,,412,43476,
10600,广西中医药大学,2025,广西,专科批,历史类,（113）,,438,37006,
10842,三门峡职业技术学院,2025,广西,专科批,历史类,（156）,,325,85397,
10845,大连职业技术学院,2025,广西,专科批,历史类,（111）,,266,90177,
10852,上海工商职业技术学院,2025,广西,专科批,历史类,（101）,,382,63446,
10872,伊春职业学院,2025,广西,专科批,历史类,（101）,,306,74013,
10888,江西医学高等专科学校,2025,广西,专科批,历史类,（106）,,408,48902,
11050,连云港职业技术学院,2025,广西,专科批,历史类,（101）,,392,58418,
11051,镇江市高等专科学校,2025,广西,专科批,历史类,（101）,,378,62920,
11248,辽宁农业职业技术学院,2025,广西,专科批,历史类,（101）,,267,92517,
11314,漳州职业技术学院,2025,广西,专科批,历史类,（101）,,426,37823,
11315,闽西职业技术学院,2025,广西,专科批,历史类,（101）,,342,74595,
11317,黎明职业大学,2025,广西,专科批,历史类,（101）,,371,59446,
11350,广西体育高等专科学校,2025,广西,专科批,历史类,（111）,,339,61416,
11440,长春金融高等专科学校,2025,广西,专科批,历史类,（101）,,300,80796,
11500,辽宁省交通高等专科学校,2025,广西,专科批,历史类,（100）,,284,84401,
11608,广西水利电力职业技术学院,2025,广西,专科批,历史类,,,345,48902,
11773,广西职业技术学院,2025,广西,专科批,历史类,（111）,,395,43476,
11837,桂林旅游学院,2025,广西,专科批,历史类,,,309,55474,
11961,安徽第二医学院,2025,广西,专科批,历史类,（100）,,423,40357,
11968,安徽中医药高等专科学校,2025,广西,专科批,历史类,（101）,,417,35788,
12046,广州职业技术大学,2025,广西,专科批,历史类,（101）,,423,42133,
12051,湖北职业技术学院,2025,广西,专科批,历史类,（111）,,388,41669,
12063,盘锦职业技术学院,2025,广西,专科批,历史类,（101）,,207,95144,
12354,襄阳职业技术学院,2025,广西,专科批,历史类,,,418,39923,
12493,上海行健职业学院,2025,广西,专科批,历史类,（100）,,394,54982,
12593,辽宁生态工程职业学院,2025,广西,专科批,历史类,（100）,,245,109941,
12606,重庆工贸职业技术学院,2025,广西,专科批,历史类,（102）,,366,71374,
12628,福建电力职业技术学院,2025,广西,专科批,历史类,（101）,,389,59953,
12638,四川水利职业技术学院,2025,广西,专科批,历史类,（101）,,373,61416,
12671,包头轻工职业技术学院,2025,广西,专科批,历史类,（111）,,203,114720,
12726,黑龙江农业工程职业学院,2025,广西,专科批,历史类,（102）,,285,88761,
12727,黑龙江农垦职业学院,2025,广西,专科批,历史类,（101）,,316,76689,
12759,重庆工程职业技术学院,2025,广西,专科批,历史类,（102）,,385,50770,
12793,鹤壁职业技术学院,2025,广西,专科批,历史类,（111）,,330,78740,
12805,江苏电子信息职业学院,2025,广西,专科批,历史类,（101）,,365,69199,
12820,重庆建筑科技职业学院,2025,广西,专科批,历史类,（101）,,221,105016,
12861,浙江机电职业技术大学,2025,广西,专科批,历史类,（102）,,421,43476,
12864,浙江经贸职业技术学院,2025,广西,专科批,历史类,（101）,,413,36602,
12865,浙江商业职业技术学院,2025,广西,专科批,历史类,（101）,,401,40357,
12871,浙江工业职业技术学院,2025,广西,专科批,历史类,（101）,,367,71374,
12887,河北旅游职业学院,2025,广西,专科批,历史类,（101）,,218,117852,
12908,大兴安岭职业学院,2025,广西,专科批,历史类,（110）,,281,82370,
12912,上海农林职业技术学院,2025,广西,专科批,历史类,（101）,,386,55920,
12931,渤海船舶职业学院,2025,广西,专科批,历史类,（101）,,296,86386,
12942,江西应用技术职业学院,2025,广西,专科批,历史类,（100）,,420,45323,
12976,江西机电职业技术学院,2025,广西,专科批,历史类,（101）,,344,60450,
13012,山东信息职业技术学院,2025,广西,专科批,历史类,（101）,,292,86386,
13026,杭州科技职业技术学院,2025,广西,专科批,历史类,（111）,,419,42560,
13054,六盘水职业技术学院,2025,广西,专科批,历史类,（101）,,250,71901,
13071,河北交通职业技术学院,2025,广西,专科批,历史类,（101）,,333,88761,
13072,河北化工医药职业技术学院,2025,广西,专科批,历史类,（102）,,394,57399,
13136,云南能源职业技术学院,2025,广西,专科批,历史类,（101）,,344,79274,
13138,广西建设职业技术学院,2025,广西,专科批,历史类,,,334,59446,
13171,临汾职业技术学院,2025,广西,专科批,历史类,（102）,,364,72964,
13207,大连科技学院,2025,广西,专科批,历史类,（102）,,200,119153,
13424,宜春职业技术学院,2025,广西,专科批,历史类,（100）,,417,46658,
13577,海南外国语职业学院,2025,广西,专科批,历史类,（101）,,311,56420,
13637,温州商学院,2025,广西,专科批,历史类,（104）,,292,101067,
13709,广州工程技术职业学院,2025,广西,专科批,历史类,（101）,,387,60922,
13758,云南林业职业技术学院,2025,广西,专科批,历史类,（101）,,357,76689,
13758,云南林业职业技术学院,2025,广西,专科批,历史类,（102）,,367,71374,
13772,湄洲湾职业技术学院,2025,广西,专科批,历史类,（101）,,359,72964,
13775,抚州医药学院,2025,广西,专科批,历史类,,,396,42631,
13784,信阳职业技术学院,2025,广西,专科批,历史类,（101）,,381,59953,
13793,江汉艺术职业学院,2025,广西,专科批,历史类,（100）,,339,71901,
13796,武汉民政职业学院,2025,广西,专科批,历史类,（111）,,412,41669,
13821,忻州职业技术学院,2025,广西,专科批,历史类,（101）,,364,72964,
13875,海南经贸职业技术学院,2025,广西,专科批,历史类,（311）,,349,72439,
13937,湖南汽车工程职业大学,2025,广西,专科批,历史类,（101）,,375,60450,
13943,广州铁路职业技术学院,2025,广西,专科批,历史类,（101）,,438,35389,
13961,大连枫叶职业技术学院,2025,广西,专科批,历史类,（101）,,213,104716,
13973,厦门城市职业学院,2025,广西,专科批,历史类,（101）,,395,53084,
14012,曲靖健康医学院,2025,广西,专科批,历史类,,,234,59446,
14013,楚雄医药高等专科学校,2025,广西,专科批,历史类,（102）,,391,58923,
14026,广西英华国际职业学院,2025,广西,专科批,历史类,（101）,,200,111610,
14076,辽宁装备制造职业技术学院,2025,广西,专科批,历史类,（101）,,259,112784,
14117,漳州卫生职业学院,2025,广西,专科批,历史类,（111）,,390,55474,
14127,广西工程职业学院,2025,广西,专科批,历史类,（101）,,200,109256,
14128,重庆财经职业学院,2025,广西,专科批,历史类,（101）,,388,58418,
14129,贵阳职业技术学院,2025,广西,专科批,历史类,（102）,,369,54023,
14196,枣庄职业学院,2025,广西,专科批,历史类,,,359,48902,
14198,毕节职业技术学院,2025,广西,专科批,历史类,（101）,,273,109941,
14243,安阳职业技术学院,2025,广西,专科批,历史类,（101）,,355,59953,
14262,西南交通大学希望学院,2025,广西,专科批,历史类,（122）,,323,74595,
14263,东莞职业技术学院,2025,广西,专科批,历史类,（100）,,406,48902,
14272,黑龙江护理高等专科学校,2025,广西,专科批,历史类,（101）,,368,59446,
14307,河南应用技术职业学院,2025,广西,专科批,历史类,（101）,,340,83890,
14315,重庆化工职业学院,2025,广西,专科批,历史类,（100）,,348,79781,
14328,石家庄幼儿师范高等专科学校,2025,广西,专科批,历史类,,,277,104383,
