school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1215,上海旅游高等专科学校,2025,新疆,专科批,文科,,,256,,
1618,大连职业技术学院,2025,新疆,专科批,文科,,,185,23460,
1624,上海东海职业技术学院,2025,新疆,专科批,文科,,,218,,
1625,上海工商职业技术学院,2025,新疆,专科批,文科,,,156,,
1647,江西医学高等专科学校,2025,新疆,专科批,文科,,,320,14608,
1681,连云港职业技术学院,2025,新疆,专科批,文科,,,281,18247,
1682,镇江市高等专科学校,2025,新疆,专科批,文科,,,263,16990,
1738,漳州职业技术学院,2025,新疆,专科批,文科,,,301,14761,
1782,长春金融高等专科学校,2025,新疆,专科批,文科,,,220,17765,
1913,安徽第二医学院,2025,新疆,专科批,文科,,,341,12791,
1918,安徽中医药高等专科学校,2025,新疆,专科批,文科,,,327,11967,
1924,浙江交通职业技术学院,2025,新疆,专科批,文科,,,291,17601,
1927,广州职业技术大学,2025,新疆,专科批,文科,,,280,18419,
1928,江苏经贸职业技术学院,2025,新疆,专科批,文科,,,292,16268,
1944,盘锦职业技术学院,2025,新疆,专科批,文科,,,174,17601,
1959,重庆工业职业技术大学,2025,新疆,专科批,文科,,,317,14761,
1983,山东劳动职业技术学院,2025,新疆,专科批,文科,,,189,23369,
1995,襄阳职业技术学院,2025,新疆,专科批,文科,,,314,15730,
2030,上海行健职业学院,2025,新疆,专科批,文科,,,292,,
2064,上海震旦职业学院,2025,新疆,专科批,文科,,,189,,
2073,辽宁生态工程职业学院,2025,新疆,专科批,文科,,,227,22015,
2131,包头轻工职业技术学院,2025,新疆,专科批,文科,,,172,22361,
2140,无锡科技职业学院,2025,新疆,专科批,文科,,,185,23460,
2170,黑龙江农业工程职业学院,2025,新疆,专科批,文科,,,152,19119,
2171,黑龙江农垦职业学院,2025,新疆,专科批,文科,,,217,21394,
2246,江苏电子信息职业学院,2025,新疆,专科批,文科,,,255,19066,
2259,滨州职业学院,2025,新疆,专科批,文科,,,240,,
2293,浙江建设职业技术学院,2025,新疆,专科批,文科,,,265,17077,
2295,浙江经贸职业技术学院,2025,新疆,专科批,文科,,,275,15347,
2296,浙江商业职业技术学院,2025,新疆,专科批,文科,,,215,16905,
2300,浙江警官职业学院,2025,新疆,专科批,文科,,,319,,
2336,上海农林职业技术学院,2025,新疆,专科批,文科,,,180,,
2337,上海邦德职业技术学院,2025,新疆,专科批,文科,,,204,,
2350,渤海船舶职业学院,2025,新疆,专科批,文科,,,144,23441,
2360,江西应用技术职业学院,2025,新疆,专科批,文科,,,326,11865,
2475,南京铁道职业技术学院,2025,新疆,专科批,文科,,,365,10844,
2486,西安城市建设职业学院,2025,新疆,专科批,文科,,,144,20445,
2574,昆明城市学院,2025,新疆,专科批,文科,,,224,,
2696,西安交通工程学院,2025,新疆,专科批,文科,,,159,23861,
2701,海南外国语职业学院,2025,新疆,专科批,文科,,,185,,
2756,温州商学院,2025,新疆,专科批,文科,,,234,21767,
2826,广州工程技术职业学院,2025,新疆,专科批,文科,,,203,22063,
2859,台州科技职业学院,2025,新疆,专科批,文科,,,213,22224,
2887,抚州医药学院,2025,新疆,专科批,文科,,,319,13573,
2903,郑州旅游职业学院,2025,新疆,专科批,文科,,,241,21394,
2905,江汉艺术职业学院,2025,新疆,专科批,文科,,,224,21458,
2906,武汉民政职业学院,2025,新疆,专科批,文科,,,299,15071,
2971,海南经贸职业技术学院,2025,新疆,专科批,文科,,,160,,
2979,西安明德理工学院,2025,新疆,专科批,文科,,,216,22501,
3044,大连枫叶职业技术学院,2025,新疆,专科批,文科,,,201,23053,
3114,西南财经大学天府学院,2025,新疆,专科批,文科,,,203,16348,
3137,广东科贸职业学院,2025,新疆,专科批,文科,,,280,18576,
3255,乌兰察布医学高等专科学校,2025,新疆,专科批,文科,,,263,19893,
3295,东莞职业技术学院,2025,新疆,专科批,文科,,,194,16990,
3408,郑州幼儿师范高等专科学校,2025,新疆,专科批,文科,,,271,19289,
3413,河北轨道运输职业技术学院,2025,新疆,专科批,文科,,,288,17601,
3457,辽宁民族师范高等专科学校,2025,新疆,专科批,文科,,,163,23220,
3546,湖北铁道运输职业学院,2025,新疆,专科批,文科,,,298,15971,
3747,喀什职业技术学院,2025,新疆,专科批,文科,,,272,16731,
3842,海南卫生健康职业学院,2025,新疆,专科批,文科,,,267,,
3879,兰州资源环境职业技术大学,2025,新疆,专科批,文科,,,244,21215,
3881,上海闵行职业技术学院,2025,新疆,专科批,文科,,,234,,
3894,襄阳科技职业学院,2025,新疆,专科批,文科,,,177,22750,
3895,宜昌科技职业学院,2025,新疆,专科批,文科,,,214,21884,
7192,汉江师范学院,2025,新疆,专科批,文科,,,271,17330,
1624,上海东海职业技术学院,2025,新疆,专科提前批,文科,,,209,,
1647,江西医学高等专科学校,2025,新疆,专科提前批,文科,,,317,,
1724,辽宁农业职业技术学院,2025,新疆,专科提前批,文科,,,284,,
1782,长春金融高等专科学校,2025,新疆,专科提前批,文科,,,283,,
2034,上海电子信息职业技术学院,2025,新疆,专科提前批,文科,,,298,,
2064,上海震旦职业学院,2025,新疆,专科提前批,文科,,,256,,
2166,天津现代职业技术学院,2025,新疆,专科提前批,文科,,,294,,
2241,上海工商外国语职业学院,2025,新疆,专科提前批,文科,,,190,,
2336,上海农林职业技术学院,2025,新疆,专科提前批,文科,,,281,,
2418,山东信息职业技术学院,2025,新疆,专科提前批,文科,,,284,,
2458,河北交通职业技术学院,2025,新疆,专科提前批,文科,,,260,20128,
2862,无锡工艺职业技术学院,2025,新疆,专科提前批,文科,,,265,,
2887,抚州医药学院,2025,新疆,专科提前批,文科,,,321,,
2889,淄博师范高等专科学校,2025,新疆,专科提前批,文科,,,252,,
2901,河南交通职业技术学院,2025,新疆,专科提前批,文科,,,266,,
2903,郑州旅游职业学院,2025,新疆,专科提前批,文科,,,238,,
3033,延安职业技术学院,2025,新疆,专科提前批,文科,,,304,,
3114,西南财经大学天府学院,2025,新疆,专科提前批,文科,,,226,,
3226,重庆建筑工程职业学院,2025,新疆,专科提前批,文科,,,256,,
3413,河北轨道运输职业技术学院,2025,新疆,专科提前批,文科,,,317,,
3457,辽宁民族师范高等专科学校,2025,新疆,专科提前批,文科,,,274,,
3591,江苏旅游职业学院,2025,新疆,专科提前批,文科,,,264,,
3874,吉林通用航空职业技术学院,2025,新疆,专科提前批,文科,,,242,,
1015,北京建筑大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,459,,
1030,中国传媒大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,536,,
1031,中央财经大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,533,,
1032,对外经济贸易大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,555,,
1053,天津工业大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,454,,
1059,天津师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,430,,
1094,中北大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,456,,
1127,大连海事大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,509,,
1156,长春理工大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,423,,
1163,东北师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,515,,
1179,东北石油大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,400,,
1182,东北农业大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,497,,
1183,东北林业大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,485,,
1207,上海海洋大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,453,2648,
1209,华东师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,563,,
1216,华东政法大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,483,,
1229,南京工业大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,495,,
1230,常州大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,451,,
1233,江南大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,523,,
1236,南京信息工程大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,467,,
1243,南京中医药大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,466,,
1260,浙江农林大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,453,,
1270,浙江工商大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,491,,
1293,安徽财经大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,455,,
1298,厦门大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,572,,
1299,华侨大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,485,,
1327,山东大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,557,,
1331,青岛科技大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,452,,
1379,河南财经政法大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,455,,
1393,华中师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,508,,
1400,中南财经政法大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,531,,
1415,湖南师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,461,,
1486,四川师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,454,,
1499,西南财经大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,508,,
1504,西南民族大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,456,,
1560,西北政法大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,563,,
1585,石河子大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,451,,
1703,广州大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,429,,
1715,扬州大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,470,,
1769,中国石油大学（北京）,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,511,,
1849,海南师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,452,,
1894,上海政法学院,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,479,,
3680,山东大学（威海）,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,538,,
3682,西南大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,521,,
5082,浙江师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,483,,
6031,河北大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,472,,
7097,南京邮电大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,470,1926,
7114,浙江理工大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,458,,
7297,浙江理工大学科技与艺术学院,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科一批次,文科,,,331,,
1058,天津农学院,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,408,,
1060,天津职业技术师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,381,8187,
1074,河北科技大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,428,,
1099,山西师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,452,,
1102,晋中学院,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,385,9026,
1130,辽宁工业大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,377,,
1158,长春工业大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,364,,
1166,吉林师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,447,,
1168,长春师范大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,414,,
1170,吉林财经大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,357,,
1194,哈尔滨商业大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,345,,
1238,南通大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,417,,
1265,湖州师范学院,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,357,,
1296,淮南师范学院,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,376,,
1303,集美大学,2025,新疆,国家及地方专项、南疆单列、对口援疆计划本科二批次,文科,,,451,,
