school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1001,清华大学,2023,江苏,本科批,物理类,,,680,10269,197
1001,清华大学,2024,江苏,本科批,物理类,,,692,8828,62
1001,清华大学,2023,江苏,本科批,历史类,,,690,3168,196
1001,清华大学,2024,江苏,本科批,历史类,,,687,3290,191
1002,北京大学,2023,江苏,本科批,物理类,,,688,9284,43
1002,北京大学,2024,江苏,本科批,物理类,,,683,9888,62
1002,北京大学,2023,江苏,本科批,历史类,,,686,3332,185
1002,北京大学,2024,江苏,本科批,历史类,,,679,3639,35
1003,复旦大学,2023,江苏,本科批,物理类,,,666,12251,197
1003,复旦大学,2024,江苏,本科批,物理类,,,657,13722,51
1003,复旦大学,2023,江苏,本科批,历史类,,,655,4925,42
1003,复旦大学,2024,江苏,本科批,历史类,,,664,4397,36
1004,上海交通大学,2023,江苏,本科批,物理类,,,658,13550,178
1004,上海交通大学,2024,江苏,本科批,物理类,,,653,14432,64
1004,上海交通大学,2023,江苏,本科批,历史类,,,661,4566,128
1004,上海交通大学,2024,江苏,本科批,历史类,,,661,4566,137
1005,浙江大学,2023,江苏,本科批,物理类,,,649,15178,141
1005,浙江大学,2024,江苏,本科批,物理类,,,651,14800,60
1005,浙江大学,2023,江苏,本科批,历史类,,,655,4925,147
1005,浙江大学,2024,江苏,本科批,历史类,,,659,4683,114
1006,南京大学,2023,江苏,本科批,物理类,,,656,13896,103
1006,南京大学,2024,江苏,本科批,物理类,,,645,15963,162
1006,南京大学,2023,江苏,本科批,历史类,,,654,4987,106
1006,南京大学,2024,江苏,本科批,历史类,,,656,4863,26
1007,中国科学技术大学,2023,江苏,本科批,物理类,,,646,15763,53
1007,中国科学技术大学,2024,江苏,本科批,物理类,,,651,14800,75
1007,中国科学技术大学,2023,江苏,本科批,历史类,,,645,5587,150
1007,中国科学技术大学,2024,江苏,本科批,历史类,,,645,5587,189
1008,华中科技大学,2023,江苏,本科批,物理类,,,637,17656,31
1008,华中科技大学,2024,江苏,本科批,物理类,,,637,17656,132
1008,华中科技大学,2023,江苏,本科批,历史类,,,633,6499,63
1008,华中科技大学,2024,江苏,本科批,历史类,,,635,6337,138
1009,武汉大学,2023,江苏,本科批,物理类,,,629,19529,166
1009,武汉大学,2024,江苏,本科批,物理类,,,632,18804,93
