school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1001,清华大学,2023,河南,本科批,物理类,,,687,9402,72
1001,清华大学,2024,河南,本科批,物理类,,,690,9053,198
1001,清华大学,2023,河南,本科批,历史类,,,686,3332,100
1001,清华大学,2024,河南,本科批,历史类,,,686,3332,144
1002,北京大学,2023,河南,本科批,物理类,,,680,10269,104
1002,北京大学,2024,河南,本科批,物理类,,,685,9642,162
1002,北京大学,2023,河南,本科批,历史类,,,687,3290,46
1002,北京大学,2024,河南,本科批,历史类,,,682,3504,109
1003,复旦大学,2023,河南,本科批,物理类,,,664,12563,28
1003,复旦大学,2024,河南,本科批,物理类,,,656,13896,68
1003,复旦大学,2023,河南,本科批,历史类,,,654,4987,142
1003,复旦大学,2024,河南,本科批,历史类,,,657,4802,63
1004,上海交通大学,2023,河南,本科批,物理类,,,658,13550,60
1004,上海交通大学,2024,河南,本科批,物理类,,,665,12406,55
1004,上海交通大学,2023,河南,本科批,历史类,,,657,4802,126
1004,上海交通大学,2024,河南,本科批,历史类,,,663,4453,13
1005,浙江大学,2023,河南,本科批,物理类,,,658,13550,45
1005,浙江大学,2024,河南,本科批,物理类,,,653,14432,155
1005,浙江大学,2023,河南,本科批,历史类,,,658,4742,37
1005,浙江大学,2024,河南,本科批,历史类,,,656,4863,36
1006,南京大学,2023,河南,本科批,物理类,,,656,13896,33
1006,南京大学,2024,河南,本科批,物理类,,,653,14432,66
1006,南京大学,2023,河南,本科批,历史类,,,651,5180,165
1006,南京大学,2024,河南,本科批,历史类,,,649,5312,85
1007,中国科学技术大学,2023,河南,本科批,物理类,,,644,16165,96
1007,中国科学技术大学,2024,河南,本科批,物理类,,,649,15178,94
1007,中国科学技术大学,2023,河南,本科批,历史类,,,652,5115,189
1007,中国科学技术大学,2024,河南,本科批,历史类,,,648,5379,150
1008,华中科技大学,2023,河南,本科批,物理类,,,628,19777,122
1008,华中科技大学,2024,河南,本科批,物理类,,,634,18336,93
1008,华中科技大学,2023,河南,本科批,历史类,,,635,6337,11
1008,华中科技大学,2024,河南,本科批,历史类,,,629,6835,198
1009,武汉大学,2023,河南,本科批,物理类,,,634,18336,77
1009,武汉大学,2024,河南,本科批,物理类,,,631,19043,23
1009,武汉大学,2023,河南,本科批,历史类,,,630,6749,61
1009,武汉大学,2024,河南,本科批,历史类,,,635,6337,44
1010,中山大学,2023,河南,本科批,物理类,,,633,18569,119
1010,中山大学,2024,河南,本科批,物理类,,,625,20539,48
1010,中山大学,2023,河南,本科批,历史类,,,625,7188,13
1010,中山大学,2024,河南,本科批,历史类,,,635,6337,13
1011,西安交通大学,2023,河南,本科批,物理类,,,625,20539,169
1011,西安交通大学,2024,河南,本科批,物理类,,,629,19529,30
1011,西安交通大学,2023,河南,本科批,历史类,,,631,6665,177
1011,西安交通大学,2024,河南,本科批,历史类,,,626,7098,145
1012,北京航空航天大学,2023,河南,本科批,物理类,,,626,20281,91
1012,北京航空航天大学,2024,河南,本科批,物理类,,,627,20027,144
1012,北京航空航天大学,2023,河南,本科批,历史类,,,620,7656,54
1012,北京航空航天大学,2024,河南,本科批,历史类,,,621,7560,167
1013,同济大学,2023,河南,本科批,物理类,,,626,20281,174
1013,同济大学,2024,河南,本科批,物理类,,,626,20281,51
1013,同济大学,2023,河南,本科批,历史类,,,616,8052,31
