school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1096,安徽中医药高等专科学校,2025,海南,专科批,综合,（01）,,411,25123,
1209,黎明职业大学,2025,海南,专科批,综合,（01）,,487,38358,
1252,厦门城市职业学院,2025,海南,专科批,综合,（02）,,477,42296,
1252,厦门城市职业学院,2025,海南,专科批,综合,（03）,,473,44164,
1296,江西医学高等专科学校,2025,海南,专科批,综合,（01）,,490,30886,
1296,江西医学高等专科学校,2025,海南,专科批,综合,（02）,,476,40093,
1319,江西应用技术职业学院,2025,海南,专科批,综合,（01）,,493,26729,
1322,江西机电职业技术学院,2025,海南,专科批,综合,（01）,,483,39196,
1329,宜春职业技术学院,2025,海南,专科批,综合,（01）,,492,31207,
1348,抚州医药学院,2025,海南,专科批,综合,（01）,,522,26730,
1351,江西制造职业技术学院,2025,海南,专科批,综合,（01）,,480,40608,
1355,江西航空职业技术学院,2025,海南,专科批,综合,（02）,,440,38625,
1447,烟台南山学院,2025,海南,专科批,综合,（04）,,390,55635,
1519,枣庄职业学院,2025,海南,专科批,综合,,,335,40093,
1601,濮阳职业技术学院,2025,海南,专科批,综合,（01）,,443,51647,
1603,郑州电力高等专科学校,2025,海南,专科批,综合,（01）,,501,35239,
1619,鹤壁职业技术学院,2025,海南,专科批,综合,（01）,,246,64125,
1659,安阳职业技术学院,2025,海南,专科批,综合,（01）,,441,46219,
1695,郑州卫生健康职业学院,2025,海南,专科批,综合,（01）,,403,58753,
1753,汉江师范学院,2025,海南,专科批,综合,（01）,,504,32958,
1782,湖北职业技术学院,2025,海南,专科批,综合,（01）,,487,34959,
1841,江汉艺术职业学院,2025,海南,专科批,综合,（06）,,454,47483,
2053,广东水利电力职业技术学院,2025,海南,专科批,综合,（01）,,472,45188,
2053,广东水利电力职业技术学院,2025,海南,专科批,综合,（03）,,443,52071,
2053,广东水利电力职业技术学院,2025,海南,专科批,综合,（02）,,475,40608,
2071,广州职业技术大学,2025,海南,专科批,综合,（01）,,530,28948,
2071,广州职业技术大学,2025,海南,专科批,综合,（02）,,484,41975,
214,河北交通职业技术学院,2025,海南,专科批,综合,（01）,,466,46724,
2211,广西体育高等专科学校,2025,海南,专科批,综合,（02）,,454,41975,
2219,广西水利电力职业技术学院,2025,海南,专科批,综合,（01）,,476,43610,
223,廊坊职业技术学院,2025,海南,专科批,综合,（01）,,410,58122,
2303,重庆工业职业技术大学,2025,海南,专科批,综合,,,393,34670,
2303,重庆工业职业技术大学,2025,海南,专科批,综合,（02）,,506,35824,
2314,重庆工程职业技术学院,2025,海南,专科批,综合,（02）,,389,31207,
2326,重庆三峡医药高等专科学校,2025,海南,专科批,综合,（01）,,510,30886,
2329,重庆财经职业学院,2025,海南,专科批,综合,（01）,,482,32369,
2353,重庆五一职业技术学院,2025,海南,专科批,综合,（01）,,456,47233,
262,河北轨道运输职业技术学院,2025,海南,专科批,综合,（01）,,498,38086,
2679,西藏职业技术学院,2025,海南,专科批,综合,（04）,,280,67109,
2679,西藏职业技术学院,2025,海南,专科批,综合,（05）,,379,62164,
2679,西藏职业技术学院,2025,海南,专科批,综合,（02）,,352,64586,
2679,西藏职业技术学院,2025,海南,专科批,综合,（01）,,415,57318,
2679,西藏职业技术学院,2025,海南,专科批,综合,（03）,,338,65366,
323,临汾职业技术学院,2025,海南,专科批,综合,（01）,,433,43610,
367,太原幼儿师范高等专科学校,2025,海南,专科批,综合,（01）,,377,55079,
577,长春金融高等专科学校,2025,海南,专科批,综合,（01）,,433,34959,
6002,海南热带海洋学院,2025,海南,专科批,综合,（13）,,443,42296,
6009,海南政法职业学院,2025,海南,专科批,综合,,,426,45728,
6010,海南外国语职业学院,2025,海南,专科批,综合,,,420,46724,
6011,琼台师范学院,2025,海南,专科批,综合,（17）,,467,35239,
6012,海南经贸职业技术学院,2025,海南,专科批,综合,,,468,30610,
6021,海南卫生健康职业学院,2025,海南,专科批,综合,,,442,45188,
6026,三亚护理职业学院,2025,海南,专科批,综合,,,246,64899,
657,黑龙江农业工程职业学院,2025,海南,专科批,综合,（01）,,441,47729,
720,上海旅游高等专科学校,2025,海南,专科批,综合,（01）,,472,40354,
727,上海东海职业技术学院,2025,海南,专科批,综合,（01）,,394,56161,
728,上海工商职业技术学院,2025,海南,专科批,综合,（01）,,418,50363,
752,上海农林职业技术学院,2025,海南,专科批,综合,（01）,,470,36949,
810,江苏建筑职业技术学院,2025,海南,专科批,综合,（01）,,468,44416,
816,连云港职业技术学院,2025,海南,专科批,综合,（01）,,501,37236,
817,镇江市高等专科学校,2025,海南,专科批,综合,（01）,,468,43610,
13,北京邮电大学,2025,海南,国家专项计划批,综合,（01）,,703,1641,
1748,华中师范大学,2025,海南,国家专项计划批,综合,（12）,,655,4681,
2385,西南民族大学,2025,海南,国家专项计划批,综合,（07）,,603,11462,
447,沈阳建筑大学,2025,海南,国家专项计划批,综合,（01）,,598,12558,
5,北京工业大学,2025,海南,国家专项计划批,综合,（01）,,629,7578,
6001,海南大学,2025,海南,国家专项计划批,综合,（06）,,595,5768,
6001,海南大学,2025,海南,国家专项计划批,综合,（08）,,525,5904,
6001,海南大学,2025,海南,国家专项计划批,综合,（12）,,607,10923,
6001,海南大学,2025,海南,国家专项计划批,综合,（11）,,667,3660,
6001,海南大学,2025,海南,国家专项计划批,综合,（10）,,631,7322,
6001,海南大学,2025,海南,国家专项计划批,综合,（07）,,600,9132,
6001,海南大学,2025,海南,国家专项计划批,综合,（09）,,610,10420,
6003,海南师范大学,2025,海南,国家专项计划批,综合,,,599,10420,
6003,海南师范大学,2025,海南,国家专项计划批,综合,（10）,,598,10621,
6003,海南师范大学,2025,海南,国家专项计划批,综合,（12）,,599,12365,
6003,海南师范大学,2025,海南,国家专项计划批,综合,（13）,,606,11126,
6003,海南师范大学,2025,海南,国家专项计划批,综合,（11）,,610,10420,
6004,海南医科大学,2025,海南,国家专项计划批,综合,（03）,,592,12911,
6004,海南医科大学,2025,海南,国家专项计划批,综合,,,553,10923,
6004,海南医科大学,2025,海南,国家专项计划批,综合,（04）,,562,20421,
705,华东理工大学,2025,海南,国家专项计划批,综合,（01）,,640,5572,
717,上海财经大学,2025,海南,国家专项计划批,综合,（01）,,668,3587,
779,南京理工大学,2025,海南,国家专项计划批,综合,（02）,,627,7840,
779,南京理工大学,2025,海南,国家专项计划批,综合,（01）,,617,9286,
8,北京科技大学,2025,海南,国家专项计划批,综合,（01）,,616,9485,
6001,海南大学,2025,海南,地方专项计划批,综合,（13）,,621,2336,
6001,海南大学,2025,海南,地方专项计划批,综合,（15）,,544,4768,
6001,海南大学,2025,海南,地方专项计划批,综合,（19）,,656,4584,
6001,海南大学,2025,海南,地方专项计划批,综合,（18）,,673,3221,
6001,海南大学,2025,海南,地方专项计划批,综合,（17）,,679,2839,
6001,海南大学,2025,海南,地方专项计划批,综合,（14）,,623,4314,
6001,海南大学,2025,海南,地方专项计划批,综合,（16）,,619,8984,
6003,海南师范大学,2025,海南,地方专项计划批,综合,,,620,6129,
6003,海南师范大学,2025,海南,地方专项计划批,综合,（16）,,602,9286,
6003,海南师范大学,2025,海南,地方专项计划批,综合,（20）,,614,9773,
6003,海南师范大学,2025,海南,地方专项计划批,综合,（19）,,632,7178,
6003,海南师范大学,2025,海南,地方专项计划批,综合,（21）,,631,7322,
6003,海南师范大学,2025,海南,地方专项计划批,综合,（18）,,640,6238,
6003,海南师范大学,2025,海南,地方专项计划批,综合,（15）,,615,9627,
6003,海南师范大学,2025,海南,地方专项计划批,综合,（17）,,581,16028,
6004,海南医科大学,2025,海南,地方专项计划批,综合,,,602,8400,
6004,海南医科大学,2025,海南,地方专项计划批,综合,（07）,,597,12182,
10,北京化工大学,2025,海南,本科批,综合,,,673,2186,
100,中国民航大学,2025,海南,本科批,综合,（02）,,629,2713,
100,中国民航大学,2025,海南,本科批,综合,（05）,,652,4963,
100,中国民航大学,2025,海南,本科批,综合,（04）,,628,3746,
100,中国民航大学,2025,海南,本科批,综合,（03）,,649,4681,
102,天津农学院,2025,海南,本科批,综合,（01）,,561,17584,
102,天津农学院,2025,海南,本科批,综合,（02）,,527,28111,
102,天津农学院,2025,海南,本科批,综合,（03）,,575,17339,
1026,温州医科大学仁济学院,2025,海南,本科批,综合,（01）,,546,24546,
1026,温州医科大学仁济学院,2025,海南,本科批,综合,（02）,,537,26985,
1026,温州医科大学仁济学院,2025,海南,本科批,综合,（03）,,540,21656,
105,天津师范大学,2025,海南,本科批,综合,（02）,,614,6697,
105,天津师范大学,2025,海南,本科批,综合,,,619,5269,
