school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1001,清华大学,2023,湖北,本科批,物理类,,,689,9168,116
1001,清华大学,2024,湖北,本科批,物理类,,,687,9402,41
1001,清华大学,2023,湖北,本科批,历史类,,,690,3168,200
1001,清华大学,2024,湖北,本科批,历史类,,,682,3504,93
1002,北京大学,2023,湖北,本科批,物理类,,,678,10531,60
1002,北京大学,2024,湖北,本科批,物理类,,,690,9053,82
1002,北京大学,2023,湖北,本科批,历史类,,,680,3594,187
1002,北京大学,2024,湖北,本科批,历史类,,,685,3374,164
1003,复旦大学,2023,湖北,本科批,物理类,,,662,12884,56
1003,复旦大学,2024,湖北,本科批,物理类,,,663,12723,188
1003,复旦大学,2023,湖北,本科批,历史类,,,659,4683,10
1003,复旦大学,2024,湖北,本科批,历史类,,,656,4863,81
1004,上海交通大学,2023,湖北,本科批,物理类,,,656,13896,180
1004,上海交通大学,2024,湖北,本科批,物理类,,,664,12563,50
1004,上海交通大学,2023,湖北,本科批,历史类,,,655,4925,164
1004,上海交通大学,2024,湖北,本科批,历史类,,,654,4987,120
1005,浙江大学,2023,湖北,本科批,物理类,,,653,14432,161
1005,浙江大学,2024,湖北,本科批,物理类,,,655,14072,125
1005,浙江大学,2023,湖北,本科批,历史类,,,659,4683,38
1005,浙江大学,2024,湖北,本科批,历史类,,,656,4863,111
1006,南京大学,2023,湖北,本科批,物理类,,,656,13896,29
1006,南京大学,2024,湖北,本科批,物理类,,,657,13722,158
1006,南京大学,2023,湖北,本科批,历史类,,,648,5379,18
1006,南京大学,2024,湖北,本科批,历史类,,,657,4802,173
1007,中国科学技术大学,2023,湖北,本科批,物理类,,,645,15963,74
1007,中国科学技术大学,2024,湖北,本科批,物理类,,,643,16370,173
1007,中国科学技术大学,2023,湖北,本科批,历史类,,,651,5180,183
1007,中国科学技术大学,2024,湖北,本科批,历史类,,,644,5657,118
1008,华中科技大学,2023,湖北,本科批,物理类,,,636,17880,87
1008,华中科技大学,2024,湖北,本科批,物理类,,,634,18336,85
1008,华中科技大学,2023,湖北,本科批,历史类,,,635,6337,24
1008,华中科技大学,2024,湖北,本科批,历史类,,,637,6179,64
1009,武汉大学,2023,湖北,本科批,物理类,,,625,20539,140
1009,武汉大学,2024,湖北,本科批,物理类,,,635,18107,114
1009,武汉大学,2023,湖北,本科批,历史类,,,631,6665,111
1009,武汉大学,2024,湖北,本科批,历史类,,,632,6581,125
1010,中山大学,2023,湖北,本科批,物理类,,,634,18336,157
1010,中山大学,2024,湖北,本科批,物理类,,,631,19043,147
1010,中山大学,2023,湖北,本科批,历史类,,,628,6921,124
1010,中山大学,2024,湖北,本科批,历史类,,,632,6581,72
1011,西安交通大学,2023,湖北,本科批,物理类,,,625,20539,184
