school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1001,清华大学,2023,湖南,本科批,物理类,,,685,9642,94
1001,清华大学,2024,湖南,本科批,物理类,,,685,9642,61
1001,清华大学,2023,湖南,本科批,历史类,,,684,3417,119
1001,清华大学,2024,湖南,本科批,历史类,,,686,3332,91
1002,北京大学,2023,湖南,本科批,物理类,,,681,10140,133
1002,北京大学,2024,湖南,本科批,物理类,,,686,9521,121
1002,北京大学,2023,湖南,本科批,历史类,,,687,3290,116
1002,北京大学,2024,湖南,本科批,历史类,,,681,3549,28
1003,复旦大学,2023,湖南,本科批,物理类,,,654,14251,56
1003,复旦大学,2024,湖南,本科批,物理类,,,655,14072,36
1003,复旦大学,2023,湖南,本科批,历史类,,,664,4397,169
1003,复旦大学,2024,湖南,本科批,历史类,,,665,4342,168
1004,上海交通大学,2023,湖南,本科批,物理类,,,653,14432,44
1004,上海交通大学,2024,湖南,本科批,物理类,,,655,14072,16
1004,上海交通大学,2023,湖南,本科批,历史类,,,657,4802,88
1004,上海交通大学,2024,湖南,本科批,历史类,,,657,4802,136
1005,浙江大学,2023,湖南,本科批,物理类,,,661,13047,82
1005,浙江大学,2024,湖南,本科批,物理类,,,655,14072,138
1005,浙江大学,2023,湖南,本科批,历史类,,,657,4802,68
1005,浙江大学,2024,湖南,本科批,历史类,,,653,5051,101
1006,南京大学,2023,湖南,本科批,物理类,,,656,13896,76
1006,南京大学,2024,湖南,本科批,物理类,,,655,14072,143
1006,南京大学,2023,湖南,本科批,历史类,,,647,5448,121
1006,南京大学,2024,湖南,本科批,历史类,,,647,5448,59
1007,中国科学技术大学,2023,湖南,本科批,物理类,,,650,14988,117
1007,中国科学技术大学,2024,湖南,本科批,物理类,,,643,16370,131
1007,中国科学技术大学,2023,湖南,本科批,历史类,,,644,5657,80
1007,中国科学技术大学,2024,湖南,本科批,历史类,,,654,4987,102
1008,华中科技大学,2023,湖南,本科批,物理类,,,636,17880,196
1008,华中科技大学,2024,湖南,本科批,物理类,,,635,18107,131
1008,华中科技大学,2023,湖南,本科批,历史类,,,637,6179,72
1008,华中科技大学,2024,湖南,本科批,历史类,,,631,6665,176
1009,武汉大学,2023,湖南,本科批,物理类,,,635,18107,66
1009,武汉大学,2024,湖南,本科批,物理类,,,625,20539,188
1009,武汉大学,2023,湖南,本科批,历史类,,,631,6665,178
1009,武汉大学,2024,湖南,本科批,历史类,,,635,6337,144
1010,中山大学,2023,湖南,本科批,物理类,,,634,18336,19
1010,中山大学,2024,湖南,本科批,物理类,,,633,18569,46
1010,中山大学,2023,湖南,本科批,历史类,,,634,6417,100
1010,中山大学,2024,湖南,本科批,历史类,,,627,7009,149
1011,西安交通大学,2023,湖南,本科批,物理类,,,620,21875,196
1011,西安交通大学,2024,湖南,本科批,物理类,,,624,20799,149
1011,西安交通大学,2023,湖南,本科批,历史类,,,623,7372,167
1011,西安交通大学,2024,湖南,本科批,历史类,,,622,7465,93
1012,北京航空航天大学,2023,湖南,本科批,物理类,,,622,21330,14
1012,北京航空航天大学,2024,湖南,本科批,物理类,,,627,20027,61
1012,北京航空航天大学,2023,湖南,本科批,历史类,,,628,6921,131
1012,北京航空航天大学,2024,湖南,本科批,历史类,,,621,7560,174
1013,同济大学,2023,湖南,本科批,物理类,,,624,20799,63
1013,同济大学,2024,湖南,本科批,物理类,,,616,23006,57
1013,同济大学,2023,湖南,本科批,历史类,,,615,8154,36
1013,同济大学,2024,湖南,本科批,历史类,,,620,7656,14
1014,北京理工大学,2023,湖南,本科批,物理类,,,617,22717,180
1014,北京理工大学,2024,湖南,本科批,物理类,,,623,21063,117
1014,北京理工大学,2023,湖南,本科批,历史类,,,615,8154,22
1014,北京理工大学,2024,湖南,本科批,历史类,,,623,7372,25
1015,哈尔滨工业大学,2023,湖南,本科批,物理类,,,612,24195,178
1015,哈尔滨工业大学,2024,湖南,本科批,物理类,,,621,21601,80
1015,哈尔滨工业大学,2023,湖南,本科批,历史类,,,611,8575,88
1015,哈尔滨工业大学,2024,湖南,本科批,历史类,,,621,7560,11
1016,天津大学,2023,湖南,本科批,物理类,,,613,23892,128
1016,天津大学,2024,湖南,本科批,物理类,,,608,25446,107
1016,天津大学,2023,湖南,本科批,历史类,,,612,8468,142
1016,天津大学,2024,湖南,本科批,历史类,,,609,8794,58
1017,东南大学,2023,湖南,本科批,物理类,,,617,22717,186
1017,东南大学,2024,湖南,本科批,物理类,,,613,23892,20
1017,东南大学,2023,湖南,本科批,历史类,,,607,9019,162
1017,东南大学,2024,湖南,本科批,历史类,,,615,8154,162
1018,厦门大学,2023,湖南,本科批,物理类,,,613,23892,28
1018,厦门大学,2024,湖南,本科批,物理类,,,604,26762,105
1018,厦门大学,2023,湖南,本科批,历史类,,,602,9605,157
1018,厦门大学,2024,湖南,本科批,历史类,,,603,9485,58
1019,华南理工大学,2023,湖南,本科批,物理类,,,603,27101,142
1019,华南理工大学,2024,湖南,本科批,物理类,,,604,26762,105
1019,华南理工大学,2023,湖南,本科批,历史类,,,606,9133,191
1019,华南理工大学,2024,湖南,本科批,历史类,,,611,8575,142
1020,北京师范大学,2023,湖南,本科批,物理类,,,599,28502,160
1020,北京师范大学,2024,湖南,本科批,物理类,,,600,28145,199
1020,北京师范大学,2023,湖南,本科批,历史类,,,604,9366,171
1020,北京师范大学,2024,湖南,本科批,历史类,,,601,9727,101
1021,电子科技大学,2023,湖南,本科批,物理类,,,603,27101,20
1021,电子科技大学,2024,湖南,本科批,物理类,,,597,29230,139
1021,电子科技大学,2023,湖南,本科批,历史类,,,603,9485,163
1021,电子科技大学,2024,湖南,本科批,历史类,,,604,9366,30
1022,中南大学,2023,湖南,本科批,物理类,,,601,27793,188
1022,中南大学,2024,湖南,本科批,物理类,,,602,27445,74
1022,中南大学,2023,湖南,本科批,历史类,,,593,10759,146
1022,中南大学,2024,湖南,本科批,历史类,,,593,10759,96
1023,山东大学,2023,湖南,本科批,物理类,,,596,29601,192
1023,山东大学,2024,湖南,本科批,物理类,,,591,31526,13
1023,山东大学,2023,湖南,本科批,历史类,,,601,9727,41
1023,山东大学,2024,湖南,本科批,历史类,,,597,10230,78
1024,大连理工大学,2023,湖南,本科批,物理类,,,598,28864,36
1024,大连理工大学,2024,湖南,本科批,物理类,,,598,28864,46
1024,大连理工大学,2023,湖南,本科批,历史类,,,591,11034,115
1024,大连理工大学,2024,湖南,本科批,历史类,,,593,10759,70
1025,重庆大学,2023,湖南,本科批,物理类,,,592,31131,166
1025,重庆大学,2024,湖南,本科批,物理类,,,596,29601,150
1025,重庆大学,2023,湖南,本科批,历史类,,,598,10102,146
1025,重庆大学,2024,湖南,本科批,历史类,,,592,10896,38
1026,吉林大学,2023,湖南,本科批,物理类,,,583,34870,161
1026,吉林大学,2024,湖南,本科批,物理类,,,587,33156,149
1026,吉林大学,2023,湖南,本科批,历史类,,,591,11034,17
1026,吉林大学,2024,湖南,本科批,历史类,,,593,10759,185
1027,湖南大学,2023,湖南,本科批,物理类,,,587,33156,89
1027,湖南大学,2024,湖南,本科批,物理类,,,593,30741,40
1027,湖南大学,2023,湖南,本科批,历史类,,,586,11751,82
1027,湖南大学,2024,湖南,本科批,历史类,,,582,12359,196
1028,中国农业大学,2023,湖南,本科批,物理类,,,579,36673,28
1028,中国农业大学,2024,湖南,本科批,物理类,,,588,32741,158
1028,中国农业大学,2023,湖南,本科批,历史类,,,585,11900,21
1028,中国农业大学,2024,湖南,本科批,历史类,,,589,11315,80
1029,华东师范大学,2023,湖南,本科批,物理类,,,577,37609,94
1029,华东师范大学,2024,湖南,本科批,物理类,,,587,33156,34
1029,华东师范大学,2023,湖南,本科批,历史类,,,581,12516,143
1029,华东师范大学,2024,湖南,本科批,历史类,,,587,11604,60
1030,西北工业大学,2023,湖南,本科批,物理类,,,582,35312,191
1030,西北工业大学,2024,湖南,本科批,物理类,,,582,35312,126
1030,西北工业大学,2023,湖南,本科批,历史类,,,577,13163,21
1030,西北工业大学,2024,湖南,本科批,历史类,,,584,12051,179
2001,苏州大学,2023,湖南,本科批,物理类,,,577,37609,174
2001,苏州大学,2024,湖南,本科批,物理类,,,575,38569,147
2001,苏州大学,2023,湖南,本科批,历史类,,,581,12516,120
2001,苏州大学,2024,湖南,本科批,历史类,,,577,13163,185
2002,武汉理工大学,2023,湖南,本科批,物理类,,,573,39554,62
2002,武汉理工大学,2024,湖南,本科批,物理类,,,577,37609,168
2002,武汉理工大学,2023,湖南,本科批,历史类,,,573,13843,136
2002,武汉理工大学,2024,湖南,本科批,历史类,,,568,14744,158
2003,西南交通大学,2023,湖南,本科批,物理类,,,571,40563,61
2003,西南交通大学,2024,湖南,本科批,物理类,,,570,41078,47
2003,西南交通大学,2023,湖南,本科批,历史类,,,570,14377,52
2003,西南交通大学,2024,湖南,本科批,历史类,,,568,14744,167
2004,暨南大学,2023,湖南,本科批,物理类,,,569,41599,117
2004,暨南大学,2024,湖南,本科批,物理类,,,570,41078,35
2004,暨南大学,2023,湖南,本科批,历史类,,,565,15312,162
2004,暨南大学,2024,湖南,本科批,历史类,,,562,15902,73
2005,郑州大学,2023,湖南,本科批,物理类,,,556,49004,20
2005,郑州大学,2024,湖南,本科批,物理类,,,565,43750,168
2005,郑州大学,2023,湖南,本科批,历史类,,,557,16936,95
2005,郑州大学,2024,湖南,本科批,历史类,,,557,16936,46
2006,南京师范大学,2023,湖南,本科批,物理类,,,557,48390,110
2006,南京师范大学,2024,湖南,本科批,物理类,,,555,49626,197
2006,南京师范大学,2023,湖南,本科批,历史类,,,557,16936,161
2006,南京师范大学,2024,湖南,本科批,历史类,,,559,16515,168
2007,合肥工业大学,2023,湖南,本科批,物理类,,,550,52853,68
2007,合肥工业大学,2024,湖南,本科批,物理类,,,554,50255,57
2007,合肥工业大学,2023,湖南,本科批,历史类,,,550,18498,44
2007,合肥工业大学,2024,湖南,本科批,历史类,,,559,16515,21
2008,华中师范大学,2023,湖南,本科批,物理类,,,553,50892,175
2008,华中师范大学,2024,湖南,本科批,物理类,,,560,46595,14
2008,华中师范大学,2023,湖南,本科批,历史类,,,553,17812,40
2008,华中师范大学,2024,湖南,本科批,历史类,,,561,16104,187
2009,上海大学,2023,湖南,本科批,物理类,,,557,48390,147
2009,上海大学,2024,湖南,本科批,物理类,,,547,54890,47
2009,上海大学,2023,湖南,本科批,历史类,,,549,18733,71
2009,上海大学,2024,湖南,本科批,历史类,,,548,18971,28
2010,西北大学,2023,湖南,本科批,物理类,,,553,50892,120
2010,西北大学,2024,湖南,本科批,物理类,,,548,54203,89
2010,西北大学,2023,湖南,本科批,历史类,,,543,20204,168
2010,西北大学,2024,湖南,本科批,历史类,,,546,19455,138
3001,深圳大学,2023,湖南,本科批,物理类,,,545,56291,179
3001,深圳大学,2024,湖南,本科批,物理类,,,537,62262,42
3001,深圳大学,2023,湖南,本科批,历史类,,,542,20461,133
3001,深圳大学,2024,湖南,本科批,历史类,,,537,21792,45
3002,浙江工业大学,2023,湖南,本科批,物理类,,,534,64662,197
3002,浙江工业大学,2024,湖南,本科批,物理类,,,538,61483,191
3002,浙江工业大学,2023,湖南,本科批,历史类,,,529,24103,157
3002,浙江工业大学,2024,湖南,本科批,历史类,,,542,20461,172
3003,江苏大学,2023,湖南,本科批,物理类,,,536,63052,27
3003,江苏大学,2024,湖南,本科批,物理类,,,525,72428,33
3003,江苏大学,2023,湖南,本科批,历史类,,,526,25032,151
3003,江苏大学,2024,湖南,本科批,历史类,,,531,23503,44
3004,河南大学,2023,湖南,本科批,物理类,,,526,71521,43
3004,河南大学,2024,湖南,本科批,物理类,,,520,77139,42
3004,河南大学,2023,湖南,本科批,历史类,,,524,25671,91
3004,河南大学,2024,湖南,本科批,历史类,,,521,26660,184
3005,扬州大学,2023,湖南,本科批,物理类,,,520,77139,163
3005,扬州大学,2024,湖南,本科批,物理类,,,522,75219,96
3005,扬州大学,2023,湖南,本科批,历史类,,,525,25349,75
3005,扬州大学,2024,湖南,本科批,历史类,,,519,27341,130
3006,青岛大学,2023,湖南,本科批,物理类,,,518,79108,126
3006,青岛大学,2024,湖南,本科批,物理类,,,522,75219,49
3006,青岛大学,2023,湖南,本科批,历史类,,,522,26326,175
3006,青岛大学,2024,湖南,本科批,历史类,,,513,29488,65
4001,中原工学院,2023,湖南,本科批,物理类,,,501,98009,152
4001,中原工学院,2024,湖南,本科批,物理类,,,498,101785,122
4001,中原工学院,2023,湖南,本科批,历史类,,,506,32208,181
4001,中原工学院,2024,湖南,本科批,历史类,,,501,34303,186
4002,广东技术师范大学,2023,湖南,本科批,物理类,,,491,111173,181
4002,广东技术师范大学,2024,湖南,本科批,物理类,,,493,108406,171
4002,广东技术师范大学,2023,湖南,本科批,历史类,,,489,39903,149
4002,广东技术师范大学,2024,湖南,本科批,历史类,,,493,37942,22
4003,成都工业学院,2023,湖南,本科批,物理类,,,485,119905,167
4003,成都工业学院,2024,湖南,本科批,物理类,,,493,108406,162
4003,成都工业学院,2023,湖南,本科批,历史类,,,492,38423,138
4003,成都工业学院,2024,湖南,本科批,历史类,,,489,39903,60
5001,黄河科技学院,2023,湖南,本科批,物理类,,,456,172808,114
5001,黄河科技学院,2024,湖南,本科批,物理类,,,461,162255,59
5001,黄河科技学院,2023,湖南,本科批,历史类,,,464,54682,80
5001,黄河科技学院,2024,湖南,本科批,历史类,,,457,59725,133
5002,广州南方学院,2023,湖南,本科批,物理类,,,453,179466,11
5002,广州南方学院,2024,湖南,本科批,物理类,,,461,162255,169
5002,广州南方学院,2023,湖南,本科批,历史类,,,456,60482,30
5002,广州南方学院,2024,湖南,本科批,历史类,,,458,58977,72
6001,河南职业技术学院,2023,湖南,本科批,物理类,,,385,422831,82
6001,河南职业技术学院,2024,湖南,本科批,物理类,,,378,461827,180
6001,河南职业技术学院,2023,湖南,本科批,历史类,,,385,147990,131
6001,河南职业技术学院,2024,湖南,本科批,历史类,,,386,146137,190
6002,成都航空职业技术学院,2023,湖南,本科批,物理类,,,365,544042,131
6002,成都航空职业技术学院,2024,湖南,本科批,物理类,,,365,544042,194
6002,成都航空职业技术学院,2023,湖南,本科批,历史类,,,367,185675,139
6002,成都航空职业技术学院,2024,湖南,本科批,历史类,,,368,183349,141
1148,北京科技职业大学,2025,湖南,专科批,历史类,（102）,,474,38719,
1233,天津天狮学院,2025,湖南,专科批,历史类,（105）,,312,120916,
1235,天津现代职业技术学院,2025,湖南,专科批,历史类,（101）,,429,60635,
1247,天津艺术职业学院,2025,湖南,专科批,历史类,（101）,,409,65006,
1329,廊坊职业技术学院,2025,湖南,专科批,历史类,（101）,,331,113797,
1334,河北科技工程职业技术大学,2025,湖南,专科批,历史类,（103）,,406,62786,
1349,石家庄幼儿师范高等专科学校,2025,湖南,专科批,历史类,（101）,,294,126587,
1350,河北交通职业技术学院,2025,湖南,专科批,历史类,（101）,,358,88467,
1354,石家庄人民医学高等专科学校,2025,湖南,专科批,历史类,（101）,,350,100099,
1355,秦皇岛职业技术学院,2025,湖南,专科批,历史类,（101）,,369,95436,
1356,河北轨道运输职业技术学院,2025,湖南,专科批,历史类,（101）,,422,61702,
1366,河北旅游职业学院,2025,湖南,专科批,历史类,（101）,,316,119592,
1368,河北化工医药职业技术学院,2025,湖南,专科批,历史类,（101）,,365,91721,
1478,临汾职业技术学院,2025,湖南,专科批,历史类,（101）,,378,90668,
1533,呼和浩特职业技术大学,2025,湖南,专科批,历史类,（101）,,314,120266,
1610,唐山幼儿师范高等专科学校,2025,湖南,专科批,历史类,（101）,,378,68313,
1627,辽宁冶金职业技术学院,2025,湖南,专科批,历史类,（101）,,328,113374,
2148,大连科技学院,2025,湖南,专科批,历史类,（103）,,344,80685,
2153,辽宁农业职业技术学院,2025,湖南,专科批,历史类,（101）,,339,94896,
2158,辽宁省交通高等专科学校,2025,湖南,专科批,历史类,（103）,,389,79016,
2172,盘锦职业技术学院,2025,湖南,专科批,历史类,（101）,,307,122267,
2194,渤海船舶职业学院,2025,湖南,专科批,历史类,（101）,,319,80685,
2198,大连枫叶职业技术学院,2025,湖南,专科批,历史类,（101）,,212,139429,
2230,长春金融高等专科学校,2025,湖南,专科批,历史类,（101）,,361,78486,
2237,吉林电子信息职业技术学院,2025,湖南,专科批,历史类,（101）,,396,80685,
2243,吉林工业职业技术学院,2025,湖南,专科批,历史类,（101）,,330,114209,
2277,长春师范高等专科学校,2025,湖南,专科批,历史类,,,262,75666,
2327,黑龙江农业职业技术学院,2025,湖南,专科批,历史类,（101）,,326,112482,
2363,鹤岗师范高等专科学校,2025,湖南,专科批,历史类,,,297,123582,
2370,黑龙江农业工程职业学院,2025,湖南,专科批,历史类,（101）,,313,110237,
2372,黑龙江交通职业技术学院,2025,湖南,专科批,历史类,（101）,,405,55250,
2373,哈尔滨幼儿师范高等专科学校,2025,湖南,专科批,历史类,（101）,,213,129422,
