school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1213,河北交通职业技术学院,2025,甘肃,专科批F段,历史类,（001）,,379,32668,
1214,河北化工医药职业技术学院,2025,甘肃,专科批F段,历史类,（001）,,350,39236,
1250,河北正定师范高等专科学校,2025,甘肃,专科批F段,历史类,（001）,,346,38323,
1259,石家庄幼儿师范高等专科学校,2025,甘肃,专科批F段,历史类,（001）,,314,40673,
1261,河北轨道运输职业技术学院,2025,甘肃,专科批F段,历史类,（001）,,417,23051,
1267,唐山幼儿师范高等专科学校,2025,甘肃,专科批F段,历史类,（001）,,263,38522,
1318,山西林业职业技术学院,2025,甘肃,专科批F段,历史类,（001）,,280,46556,
1344,山西同文职业技术学院,2025,甘肃,专科批F段,历史类,（001）,,313,47744,
1365,太原幼儿师范高等专科学校,2025,甘肃,专科批F段,历史类,（001）,,312,47933,
1370,山西工程科技职业大学,2025,甘肃,专科批F段,历史类,（003）,,384,31059,
1413,乌兰察布医学高等专科学校,2025,甘肃,专科批F段,历史类,（001）,,375,33575,
1469,大连职业技术学院,2025,甘肃,专科批F段,历史类,（001）,,177,55439,
1482,盘锦职业技术学院,2025,甘肃,专科批F段,历史类,（001）,,213,53615,
1486,辽宁生态工程职业学院,2025,甘肃,专科批F段,历史类,（001）,,215,55984,
1496,渤海船舶职业学院,2025,甘肃,专科批F段,历史类,（001）,,355,36670,
1539,辽宁民族师范高等专科学校,2025,甘肃,专科批F段,历史类,（001）,,362,33342,
1573,长春金融高等专科学校,2025,甘肃,专科批F段,历史类,（001）,,356,28850,
1639,伊春职业学院,2025,甘肃,专科批F段,历史类,（001）,,339,35979,
1654,黑龙江农垦职业学院,2025,甘肃,专科批F段,历史类,（001）,,194,56678,
1659,大兴安岭职业学院,2025,甘肃,专科批F段,历史类,（001）,,195,51199,
1690,哈尔滨幼儿师范高等专科学校,2025,甘肃,专科批F段,历史类,（001）,,274,46134,
1716,上海旅游高等专科学校,2025,甘肃,专科批F段,历史类,,,353,37441,
1735,上海交通职业技术学院,2025,甘肃,专科批F段,历史类,（001）,,371,31059,
1786,江苏城市职业学院,2025,甘肃,专科批F段,历史类,（001）,,387,27703,
1808,江苏工程职业技术学院,2025,甘肃,专科批F段,历史类,（001）,,385,30669,
