school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1116,黎明职业大学,2025,福建,专科批,历史类,,,373,26689,
2305,北京中医药大学东方学院,2025,福建,专科批,历史类,,,402,36924,
2497,广东轻工职业技术大学,2025,福建,专科批,历史类,,,447,25562,
2517,广西农业职业技术大学,2025,福建,专科批,历史类,,,357,46919,
2520,广西外国语学院,2025,福建,专科批,历史类,,,248,38106,
2545,桂林理工大学,2025,福建,专科批,历史类,,,392,31127,
2549,桂林师范学院,2025,福建,专科批,历史类,,,287,35686,
2629,海口经济学院,2025,福建,专科批,历史类,,,263,34528,
2669,河北科技工程职业技术大学,2025,福建,专科批,历史类,,,367,44819,
2734,湖北工程学院新技术学院,2025,福建,专科批,历史类,,,346,47337,
2751,湖北师范大学文理学院,2025,福建,专科批,历史类,,,272,34528,
2776,湖南汽车工程职业大学,2025,福建,专科批,历史类,,,418,33099,
2895,江西科技学院,2025,福建,专科批,历史类,,,362,41274,
2902,江西软件职业技术大学,2025,福建,专科批,历史类,,,340,46081,
2907,江西应用科技学院,2025,福建,专科批,历史类,,,314,54362,
2908,江西职业技术大学,2025,福建,专科批,历史类,,,421,28570,
2916,景德镇艺术职业大学,2025,福建,专科批,历史类,,,293,51484,
2947,兰州石化职业技术大学,2025,福建,专科批,历史类,,,397,28068,
3004,南昌工学院,2025,福建,专科批,历史类,,,286,36430,
3020,南昌应用技术师范学院,2025,福建,专科批,历史类,,,407,35686,
3021,南昌职业大学,2025,福建,专科批,历史类,,,311,54718,
3136,三峡大学科技学院,2025,福建,专科批,历史类,,,364,41497,
3226,上海中侨职业技术大学,2025,福建,专科批,历史类,,,329,43718,
3280,四川大学锦江学院,2025,福建,专科批,历史类,,,244,41057,
3282,四川工程职业技术大学,2025,福建,专科批,历史类,,,400,26445,
3307,泰山科技学院,2025,福建,专科批,历史类,,,278,57219,
3367,文华学院,2025,福建,专科批,历史类,,,331,31901,
3378,武昌理工学院,2025,福建,专科批,历史类,,,329,39507,
3379,武昌首义学院,2025,福建,专科批,历史类,,,317,49534,
3388,武汉纺织大学外经贸学院,2025,福建,专科批,历史类,,,337,50796,
3405,武汉生物工程学院,2025,福建,专科批,历史类,,,374,35453,
3411,武汉职业技术大学,2025,福建,专科批,历史类,,,427,26689,
3454,西安信息职业大学,2025,福建,专科批,历史类,,,235,39969,
3514,新疆和田学院,2025,福建,专科批,历史类,,,438,28331,
3561,云南经济管理学院,2025,福建,专科批,历史类,,,276,48364,
7001,福建船政交通职业学院,2025,福建,专科批,历史类,,,400,25789,
7003,福建电力职业技术学院,2025,福建,专科批,历史类,,,433,26689,
7004,福建华南女子职业学院,2025,福建,专科批,历史类,,,265,44394,
7005,福建林业职业技术学院,2025,福建,专科批,历史类,,,380,29489,
7006,福建农业职业技术学院,2025,福建,专科批,历史类,,,372,24376,
