school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1032,天津市职业大学,2025,辽宁,专科批,历史类,,,434,20567,
1037,抚顺职业技术学院,2025,辽宁,专科批,历史类,,,280,28736,
1046,牡丹江大学,2025,辽宁,专科批,历史类,,,426,28310,
1074,荆州理工职业学院,2025,辽宁,专科批,历史类,,,330,36127,
1113,深圳职业技术大学,2025,辽宁,专科批,历史类,,,465,20957,
1121,私立华联学院,2025,辽宁,专科批,历史类,,,327,40282,
1238,石家庄职业技术学院,2025,辽宁,专科批,历史类,,,414,25432,
1248,辽宁农业职业技术学院,2025,辽宁,专科批,历史类,,,341,25050,
1249,辽阳职业技术学院,2025,辽宁,专科批,历史类,,,332,30276,
1250,阜新高等专科学校,2025,辽宁,专科批,历史类,,,295,23904,
1440,长春金融高等专科学校,2025,辽宁,专科批,历史类,,,358,22672,
1449,黑龙江职业学院,2025,辽宁,专科批,历史类,,,345,20196,
1500,辽宁省交通高等专科学校,2025,辽宁,专科批,历史类,,,354,18312,
164,沈阳医学院,2025,辽宁,专科批,历史类,,,479,18714,
169,鞍山师范学院,2025,辽宁,专科批,历史类,,,402,28918,
171,朝阳师范学院,2025,辽宁,专科批,历史类,,,340,22112,
1733,上海出版印刷高等专科学校,2025,辽宁,专科批,历史类,,,444,21529,
1779,辽东学院,2025,辽宁,专科批,历史类,,,448,19820,
1785,江西职业技术大学,2025,辽宁,专科批,历史类,,,408,31475,
179,抚顺师范高等专科学校,2025,辽宁,专科批,历史类,,,279,30087,
180,锦州师范高等专科学校,2025,辽宁,专科批,历史类,,,327,25432,
181,营口职业技术学院,2025,辽宁,专科批,历史类,,,319,27115,
182,铁岭师范高等专科学校,2025,辽宁,专科批,历史类,,,289,30087,
1823,长春医学高等专科学校,2025,辽宁,专科批,历史类,,,469,16120,
1824,桂林师范学院,2025,辽宁,专科批,历史类,,,340,29131,
1841,民办四川天一学院,2025,辽宁,专科批,历史类,,,321,42074,
1916,重庆电力高等专科学校,2025,辽宁,专科批,历史类,,,471,20196,
1959,鹤岗师范高等专科学校,2025,辽宁,专科批,历史类,,,320,41568,
1964,邢台医学院,2025,辽宁,专科批,历史类,,,435,24299,
1968,安徽中医药高等专科学校,2025,辽宁,专科批,历史类,,,440,14511,
1999,海南职业技术学院,2025,辽宁,专科批,历史类,,,318,35907,
2036,浙江交通职业技术学院,2025,辽宁,专科批,历史类,,,428,27321,
2040,广州民航职业技术学院,2025,辽宁,专科批,历史类,,,383,19628,
2049,吉林交通职业技术学院,2025,辽宁,专科批,历史类,,,403,26701,
2052,武汉船舶职业技术学院,2025,辽宁,专科批,历史类,,,456,23060,
2053,黑龙江建筑职业技术学院,2025,辽宁,专科批,历史类,,,379,37825,
2055,长沙航空职业技术学院,2025,辽宁,专科批,历史类,,,402,24848,
2062,日照职业技术学院,2025,辽宁,专科批,历史类,,,417,28122,
2063,盘锦职业技术学院,2025,辽宁,专科批,历史类,,,341,23484,
2064,成都航空职业技术大学,2025,辽宁,专科批,历史类,,,435,27321,
2070,曲阜远东职业技术学院,2025,辽宁,专科批,历史类,,,288,46327,
2073,安徽水利水电职业技术学院,2025,辽宁,专科批,历史类,,,395,35294,
2300,湖南大众传媒职业技术学院,2025,辽宁,专科批,历史类,,,423,27115,
2302,湖南铁道职业技术学院,2025,辽宁,专科批,历史类,,,444,21926,
2304,湖南科技职业学院,2025,辽宁,专科批,历史类,,,368,40465,
2306,长春东方职业学院,2025,辽宁,专科批,历史类,,,367,33424,
2308,海口经济学院,2025,辽宁,专科批,历史类,,,298,40465,
2324,青岛职业技术学院,2025,辽宁,专科批,历史类,,,395,24676,
2326,威海职业学院,2025,辽宁,专科批,历史类,,,379,30904,
2328,山东职业学院,2025,辽宁,专科批,历史类,,,431,26701,
2344,广西生态工程职业技术学院,2025,辽宁,专科批,历史类,,,365,39160,
2349,云南国土资源职业学院,2025,辽宁,专科批,历史类,,,326,47307,
2354,襄阳职业技术学院,2025,辽宁,专科批,历史类,,,446,25050,
