school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1001,清华大学,2023,陕西,本科一批,理工,,,691,8940,14
1001,清华大学,2024,陕西,本科一批,理工,,,684,9764,139
1001,清华大学,2023,陕西,本科一批,文史,,,684,3417,155
1001,清华大学,2024,陕西,本科一批,文史,,,692,3089,190
1002,北京大学,2023,陕西,本科一批,理工,,,685,9642,35
1002,北京大学,2024,陕西,本科一批,理工,,,685,9642,65
1002,北京大学,2023,陕西,本科一批,文史,,,680,3594,109
1002,北京大学,2024,陕西,本科一批,文史,,,680,3594,141
1003,复旦大学,2023,陕西,本科一批,理工,,,661,13047,90
1003,复旦大学,2024,陕西,本科一批,理工,,,659,13381,197
1003,复旦大学,2023,陕西,本科一批,文史,,,661,4566,172
1003,复旦大学,2024,陕西,本科一批,文史,,,662,4509,193
1004,上海交通大学,2023,陕西,本科一批,理工,,,652,14615,41
1004,上海交通大学,2024,陕西,本科一批,理工,,,654,14251,103
1004,上海交通大学,2023,陕西,本科一批,文史,,,658,4742,172
1004,上海交通大学,2024,陕西,本科一批,文史,,,655,4925,139
1005,浙江大学,2023,陕西,本科一批,理工,,,659,13381,59
1005,浙江大学,2024,陕西,本科一批,理工,,,657,13722,175
1005,浙江大学,2023,陕西,本科一批,文史,,,657,4802,23
1005,浙江大学,2024,陕西,本科一批,文史,,,654,4987,107
1006,南京大学,2023,陕西,本科一批,理工,,,648,15370,43
1006,南京大学,2024,陕西,本科一批,理工,,,656,13896,108
1006,南京大学,2023,陕西,本科一批,文史,,,656,4863,160
1006,南京大学,2024,陕西,本科一批,文史,,,655,4925,35
1007,中国科学技术大学,2023,陕西,本科一批,理工,,,652,14615,18
1007,中国科学技术大学,2024,陕西,本科一批,理工,,,653,14432,82
1007,中国科学技术大学,2023,陕西,本科一批,文史,,,644,5657,108
1007,中国科学技术大学,2024,陕西,本科一批,文史,,,653,5051,136
1008,华中科技大学,2023,陕西,本科一批,理工,,,630,19284,98
1008,华中科技大学,2024,陕西,本科一批,理工,,,632,18804,48
1008,华中科技大学,2023,陕西,本科一批,文史,,,626,7098,99
1008,华中科技大学,2024,陕西,本科一批,文史,,,627,7009,168
1009,武汉大学,2023,陕西,本科一批,理工,,,625,20539,93
1009,武汉大学,2024,陕西,本科一批,理工,,,637,17656,133
1009,武汉大学,2023,陕西,本科一批,文史,,,633,6499,161
1009,武汉大学,2024,陕西,本科一批,文史,,,632,6581,80
1010,中山大学,2023,陕西,本科一批,理工,,,627,20027,27
1010,中山大学,2024,陕西,本科一批,理工,,,632,18804,41
1010,中山大学,2023,陕西,本科一批,文史,,,629,6835,30
1010,中山大学,2024,陕西,本科一批,文史,,,635,6337,195
1011,西安交通大学,2023,陕西,本科一批,理工,,,628,19777,59
1011,西安交通大学,2024,陕西,本科一批,理工,,,622,21330,143
1011,西安交通大学,2023,陕西,本科一批,文史,,,621,7560,127
1011,西安交通大学,2024,陕西,本科一批,文史,,,621,7560,165
1012,北京航空航天大学,2023,陕西,本科一批,理工,,,625,20539,117
1012,北京航空航天大学,2024,陕西,本科一批,理工,,,622,21330,79
1012,北京航空航天大学,2023,陕西,本科一批,文史,,,625,7188,194
1012,北京航空航天大学,2024,陕西,本科一批,文史,,,623,7372,33
1013,同济大学,2023,陕西,本科一批,理工,,,617,22717,132
1013,同济大学,2024,陕西,本科一批,理工,,,618,22433,12
1013,同济大学,2023,陕西,本科一批,文史,,,618,7851,197
1013,同济大学,2024,陕西,本科一批,文史,,,620,7656,109
1014,北京理工大学,2023,陕西,本科一批,理工,,,622,21330,12
1014,北京理工大学,2024,陕西,本科一批,理工,,,622,21330,69
1014,北京理工大学,2023,陕西,本科一批,文史,,,613,8362,146
