school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
S0885,清华大学,2023,青海,本科一段,理科,,,635,,
S0837,北京大学,2023,青海,本科一批,理科,,,634,,
S0837,北京大学,2023,青海,本科一批,文科,,,605,,
S0885,清华大学,2024,青海,本科一段,理科,,,652,21,
S0837,北京大学,2024,青海,本科一批,理科,,,649,,
S0837,北京大学,2024,青海,本科一批,文科,,,619,,
S0837,北京大学,2025,青海,本科一批,理科,,,642,,
S0675,复旦大学,2025,青海,本科批,物理类,,,641,34,
S0837,北京大学,2025,青海,本科一批,文科,,,634,,
S1767,南京大学,2025,青海,本科批,物理类,,,622,109,
S0675,复旦大学,2025,青海,本科批,历史类,,,620,29,
S1767,南京大学,2025,青海,本科批,历史类,,,614,45,
S0675,复旦大学,2025,青海,本科提前批,历史类,,,610,57,
S0836,北京外国语大学,2025,青海,综合评价批,历史类,,,603,72,
S0844,北京师范大学,2025,青海,本科批,历史类,,,593,111,
S2965,西安交通大学,2025,青海,本科提前批,历史类,,,591,119,
S0675,复旦大学,2025,青海,本科提前批,物理类,,,587,388,
S1752,东南大学,2025,青海,本科批,物理类,,,584,421,
S0665,上海财经大学,2025,青海,本科批,历史类,,,579,191,
S0879,北京邮电大学,2025,青海,本科批,物理类,,,573,609,
S2628,厦门大学,2025,青海,本科批,历史类,,,569,266,
S0844,北京师范大学,2025,青海,本科批,物理类,,,565,776,
S0672,华东师范大学,2025,青海,本科提前批,历史类,,,563,315,
S2628,厦门大学,2025,青海,本科批,物理类,,,561,860,
S0813,中央财经大学,2025,青海,本科批,历史类,,,559,349,
S2965,西安交通大学,2025,青海,本科批,历史类,,,558,357,
S0972,四川大学,2025,青海,本科批,历史类,,,553,400,
S0672,华东师范大学,2025,青海,本科提前批,物理类,,,553,1090,
S2628,厦门大学,2025,青海,本科提前批,历史类,,,551,424,
S0972,四川大学,2025,青海,本科批,物理类,,,550,1180,
S2462,中南大学,2025,青海,本科批,历史类,,,549,446,
S0813,中央财经大学,2025,青海,本科批,物理类,,,548,1224,
S1261,山东大学,2025,青海,本科批,历史类,,,545,479,
S2965,西安交通大学,2025,青海,本科批,物理类,,,543,1386,
S0884,对外经济贸易大学,2025,青海,本科批,历史类,,,542,518,
S0879,北京邮电大学,2025,青海,本科提前批,物理类,,,539,1541,
S0813,中央财经大学,2025,青海,本科提前批,物理类,,,538,1575,
S0813,中央财经大学,2025,青海,本科提前批,历史类,,,538,577,
S0902,吉林大学,2025,青海,本科批,历史类,,,537,589,
S2462,中南大学,2025,青海,本科批,物理类,,,535,1697,
S0884,对外经济贸易大学,2025,青海,本科提前批,历史类,,,534,630,
S1570,深圳大学,2025,青海,本科批,历史类,,,534,630,
S1570,深圳大学,2025,青海,本科批,物理类,,,529,1922,
S0836,北京外国语大学,2025,青海,本科批,历史类,,,528,720,
S0665,上海财经大学,2025,青海,本科批,物理类,,,527,1996,
S2628,厦门大学,2025,青海,本科提前批,物理类,,,526,2036,
S0884,对外经济贸易大学,2025,青海,本科批,物理类,,,525,2074,
S1261,山东大学,2025,青海,本科批,物理类,,,524,2115,
S0624,上海外国语大学,2025,青海,本科批,历史类,,,521,837,
S0859,北京科技大学,2025,青海,本科批,物理类,,,520,2311,
S1233,中国海洋大学,2025,青海,本科批,历史类,,,518,884,
S0836,北京外国语大学,2025,青海,本科批,物理类,,,517,2450,
S1233,中国海洋大学,2025,青海,本科批,物理类,,,512,2696,
S0624,上海外国语大学,2025,青海,本科批,物理类,,,512,2696,
S1056,西南财经大学,2025,青海,本科批,历史类,,,511,1044,
S0828,北京化工大学,2025,青海,本科批,物理类,,,501,3279,
S0665,上海财经大学,2025,青海,本科提前批,物理类,,,501,3279,
S0807,中国农业大学,2025,青海,本科批,物理类,,,498,3448,
S0828,北京化工大学,2025,青海,本科提前批,物理类,,,497,3509,
S0902,吉林大学,2025,青海,本科批,物理类,,,495,3641,
S1261,山东大学,2025,青海,本科提前批,历史类,,,491,1525,
S1056,西南财经大学,2025,青海,本科批,物理类,,,490,3930,
S1233,中国海洋大学,2025,青海,本科提前批,物理类,,,488,4066,
S0859,北京科技大学,2025,青海,本科提前批,物理类,,,480,4677,
S1233,中国海洋大学,2025,青海,本科提前批,历史类,,,471,2236,
S2620,华侨大学,2025,青海,本科批,历史类,,,469,2322,
S0902,吉林大学,2025,青海,本科提前批,历史类,,,467,2405,
S1056,西南财经大学,2025,青海,本科提前批,历史类,,,466,2436,
S1261,山东大学,2025,青海,本科提前批,物理类,,,457,6535,
S1056,西南财经大学,2025,青海,本科提前批,物理类,,,445,7610,
S0902,吉林大学,2025,青海,本科提前批,物理类,,,421,10315,
S2620,华侨大学,2025,青海,本科批,物理类,,,405,12357,
