province,year,subject,score,rank
内蒙,2025,物理类,704,11
内蒙,2025,物理类,703,11
内蒙,2025,物理类,702,16
内蒙,2025,物理类,701,19
内蒙,2025,物理类,700,24
内蒙,2025,物理类,699,28
内蒙,2025,物理类,698,29
内蒙,2025,物理类,697,32
内蒙,2025,物理类,696,36
内蒙,2025,物理类,695,41
内蒙,2025,物理类,694,47
内蒙,2025,物理类,693,49
内蒙,2025,物理类,692,54
内蒙,2025,物理类,691,58
内蒙,2025,物理类,690,66
内蒙,2025,物理类,689,74
内蒙,2025,物理类,688,82
内蒙,2025,物理类,687,90
内蒙,2025,物理类,686,106
内蒙,2025,物理类,685,120
内蒙,2025,物理类,684,133
内蒙,2025,物理类,683,140
内蒙,2025,物理类,682,152
内蒙,2025,物理类,681,167
内蒙,2025,物理类,680,190
内蒙,2025,物理类,679,212
内蒙,2025,物理类,678,226
内蒙,2025,物理类,677,245
内蒙,2025,物理类,676,266
内蒙,2025,物理类,675,285
内蒙,2025,物理类,674,313
内蒙,2025,物理类,673,330
内蒙,2025,物理类,672,350
内蒙,2025,物理类,671,370
内蒙,2025,物理类,670,393
内蒙,2025,物理类,669,413
内蒙,2025,物理类,668,436
内蒙,2025,物理类,667,470
内蒙,2025,物理类,666,495
内蒙,2025,物理类,665,519
内蒙,2025,物理类,664,541
内蒙,2025,物理类,663,577
内蒙,2025,物理类,662,601
内蒙,2025,物理类,661,638
内蒙,2025,物理类,660,670
内蒙,2025,物理类,659,713
内蒙,2025,物理类,658,753
内蒙,2025,物理类,657,793
内蒙,2025,物理类,656,841
内蒙,2025,物理类,655,897
内蒙,2025,物理类,654,950
内蒙,2025,物理类,653,1003
内蒙,2025,物理类,652,1052
内蒙,2025,物理类,651,1099
内蒙,2025,物理类,650,1149
内蒙,2025,物理类,649,1218
内蒙,2025,物理类,648,1272
内蒙,2025,物理类,647,1316
内蒙,2025,物理类,646,1372
内蒙,2025,物理类,645,1424
内蒙,2025,物理类,644,1490
内蒙,2025,物理类,643,1568
内蒙,2025,物理类,642,1634
内蒙,2025,物理类,641,1697
内蒙,2025,物理类,640,1763
内蒙,2025,物理类,639,1832
内蒙,2025,物理类,638,1919
内蒙,2025,物理类,637,2001
内蒙,2025,物理类,636,2079
内蒙,2025,物理类,635,2162
内蒙,2025,物理类,634,2240
内蒙,2025,物理类,633,2330
内蒙,2025,物理类,632,2426
内蒙,2025,物理类,631,2516
内蒙,2025,物理类,630,2598
内蒙,2025,物理类,629,2702
内蒙,2025,物理类,628,2789
内蒙,2025,物理类,627,2885
内蒙,2025,物理类,626,3015
内蒙,2025,物理类,625,3111
内蒙,2025,物理类,624,3225
内蒙,2025,物理类,623,3330
内蒙,2025,物理类,622,3446
内蒙,2025,物理类,621,3548
内蒙,2025,物理类,620,3677
内蒙,2025,物理类,619,3796
内蒙,2025,物理类,618,3908
内蒙,2025,物理类,617,4025
内蒙,2025,物理类,616,4142
内蒙,2025,物理类,615,4284
内蒙,2025,物理类,614,4391
内蒙,2025,物理类,613,4517
内蒙,2025,物理类,612,4664
内蒙,2025,物理类,611,4800
内蒙,2025,物理类,610,4935
内蒙,2025,物理类,609,5059
内蒙,2025,物理类,608,5194
内蒙,2025,物理类,607,5325
内蒙,2025,物理类,606,5471
内蒙,2025,物理类,605,5599
内蒙,2025,物理类,604,5740
内蒙,2025,物理类,603,5890
内蒙,2025,物理类,602,6026
内蒙,2025,物理类,601,6184
内蒙,2025,物理类,600,6349
内蒙,2025,物理类,599,6532
内蒙,2025,物理类,598,6667
内蒙,2025,物理类,597,6818
内蒙,2025,物理类,596,7014
内蒙,2025,物理类,595,7178
内蒙,2025,物理类,594,7337
内蒙,2025,物理类,593,7499
内蒙,2025,物理类,592,7667
内蒙,2025,物理类,591,7838
内蒙,2025,物理类,590,8013
内蒙,2025,物理类,589,8198
内蒙,2025,物理类,588,8379
内蒙,2025,物理类,587,8532
内蒙,2025,物理类,586,8714
内蒙,2025,物理类,585,8884
内蒙,2025,物理类,584,9043
内蒙,2025,物理类,583,9219
内蒙,2025,物理类,582,9394
内蒙,2025,物理类,581,9574
内蒙,2025,物理类,580,9784
内蒙,2025,物理类,579,9972
内蒙,2025,物理类,578,10183
内蒙,2025,物理类,577,10380
内蒙,2025,物理类,576,10580
内蒙,2025,物理类,575,10801
内蒙,2025,物理类,574,10991
内蒙,2025,物理类,573,11189
内蒙,2025,物理类,572,11394
内蒙,2025,物理类,571,11607
内蒙,2025,物理类,570,11823
内蒙,2025,物理类,569,12033
内蒙,2025,物理类,568,12270
内蒙,2025,物理类,567,12501
内蒙,2025,物理类,566,12722
内蒙,2025,物理类,565,12932
内蒙,2025,物理类,564,13154
内蒙,2025,物理类,563,13388
内蒙,2025,物理类,562,13604
内蒙,2025,物理类,561,13809
内蒙,2025,物理类,560,14036
内蒙,2025,物理类,559,14268
内蒙,2025,物理类,558,14494
内蒙,2025,物理类,557,14710
内蒙,2025,物理类,556,14956
内蒙,2025,物理类,555,15173
内蒙,2025,物理类,554,15393
内蒙,2025,物理类,553,15607
内蒙,2025,物理类,552,15858
内蒙,2025,物理类,551,16099
内蒙,2025,物理类,550,16327
内蒙,2025,物理类,549,16605
内蒙,2025,物理类,548,16847
内蒙,2025,物理类,547,17092
内蒙,2025,物理类,546,17327
内蒙,2025,物理类,545,17590
内蒙,2025,物理类,544,17824
内蒙,2025,物理类,543,18077
内蒙,2025,物理类,542,18326
内蒙,2025,物理类,541,18582
内蒙,2025,物理类,540,18825
内蒙,2025,物理类,539,19077
内蒙,2025,物理类,538,19305
内蒙,2025,物理类,537,19553
内蒙,2025,物理类,536,19815
内蒙,2025,物理类,535,20057
内蒙,2025,物理类,534,20296
内蒙,2025,物理类,533,20532
内蒙,2025,物理类,532,20815
内蒙,2025,物理类,531,21084
内蒙,2025,物理类,530,21342
内蒙,2025,物理类,529,21608
内蒙,2025,物理类,528,21892
内蒙,2025,物理类,527,22165
内蒙,2025,物理类,526,22442
内蒙,2025,物理类,525,22719
内蒙,2025,物理类,524,23005
内蒙,2025,物理类,523,23287
内蒙,2025,物理类,522,23579
内蒙,2025,物理类,521,23867
内蒙,2025,物理类,520,24142
内蒙,2025,物理类,519,24426
内蒙,2025,物理类,518,24701
内蒙,2025,物理类,517,24966
内蒙,2025,物理类,516,25236
内蒙,2025,物理类,515,25519
内蒙,2025,物理类,514,25793
内蒙,2025,物理类,513,26090
内蒙,2025,物理类,512,26380
内蒙,2025,物理类,511,26673
内蒙,2025,物理类,510,26955
内蒙,2025,物理类,509,27236
内蒙,2025,物理类,508,27496
内蒙,2025,物理类,507,27790
内蒙,2025,物理类,506,28078
内蒙,2025,物理类,505,28376
内蒙,2025,物理类,504,28645
内蒙,2025,物理类,503,28901
内蒙,2025,物理类,502,29211
内蒙,2025,物理类,501,29488
内蒙,2025,物理类,500,29780
内蒙,2025,物理类,499,30054
内蒙,2025,物理类,498,30334
内蒙,2025,物理类,497,30626
内蒙,2025,物理类,496,30906
内蒙,2025,物理类,495,31221
内蒙,2025,物理类,494,31526
内蒙,2025,物理类,493,31838
内蒙,2025,物理类,492,32133
内蒙,2025,物理类,491,32445
内蒙,2025,物理类,490,32753
内蒙,2025,物理类,489,33044
内蒙,2025,物理类,488,33332
内蒙,2025,物理类,487,33612
内蒙,2025,物理类,486,33918
内蒙,2025,物理类,485,34211
内蒙,2025,物理类,484,34528
内蒙,2025,物理类,483,34836
内蒙,2025,物理类,482,35112
内蒙,2025,物理类,481,35426
内蒙,2025,物理类,480,35726
内蒙,2025,物理类,479,36015
内蒙,2025,物理类,478,36331
内蒙,2025,物理类,477,36606
内蒙,2025,物理类,476,36946
内蒙,2025,物理类,475,37238
内蒙,2025,物理类,474,37522
内蒙,2025,物理类,473,37836
内蒙,2025,物理类,472,38138
内蒙,2025,物理类,471,38447
内蒙,2025,物理类,470,38737
内蒙,2025,物理类,469,39041
内蒙,2025,物理类,468,39382
内蒙,2025,物理类,467,39710
内蒙,2025,物理类,466,40037
内蒙,2025,物理类,465,40336
内蒙,2025,物理类,464,40648
内蒙,2025,物理类,463,40959
内蒙,2025,物理类,462,41288
内蒙,2025,物理类,461,41608
内蒙,2025,物理类,460,41908
内蒙,2025,物理类,459,42207
内蒙,2025,物理类,458,42515
内蒙,2025,物理类,457,42820
内蒙,2025,物理类,456,43178
内蒙,2025,物理类,455,43491
内蒙,2025,物理类,454,43816
内蒙,2025,物理类,453,44142
内蒙,2025,物理类,452,44442
内蒙,2025,物理类,451,44772
内蒙,2025,物理类,450,45095
内蒙,2025,物理类,449,45369
内蒙,2025,物理类,448,45695
内蒙,2025,物理类,447,46038
内蒙,2025,物理类,446,46355
内蒙,2025,物理类,445,46700
内蒙,2025,物理类,444,47043
内蒙,2025,物理类,443,47394
内蒙,2025,物理类,442,47701
内蒙,2025,物理类,441,48019
内蒙,2025,物理类,440,48330
内蒙,2025,物理类,439,48647
内蒙,2025,物理类,438,49009
内蒙,2025,物理类,437,49381
内蒙,2025,物理类,436,49690
内蒙,2025,物理类,435,49999
内蒙,2025,物理类,434,50339
内蒙,2025,物理类,433,50667
内蒙,2025,物理类,432,50996
内蒙,2025,物理类,431,51337
内蒙,2025,物理类,430,51685
内蒙,2025,物理类,429,51996
内蒙,2025,物理类,428,52332
内蒙,2025,物理类,427,52652
内蒙,2025,物理类,426,52987
内蒙,2025,物理类,425,53326
内蒙,2025,物理类,424,53661
内蒙,2025,物理类,423,53969
