province,year,subject,score,rank
北京,2023,综合改革,400,191893
北京,2023,综合改革,405,180173
北京,2023,综合改革,410,169171
北京,2023,综合改革,415,158839
北京,2023,综合改革,420,149139
北京,2023,综合改革,425,140032
北京,2023,综合改革,430,131480
北京,2023,综合改革,435,123451
北京,2023,综合改革,440,115911
北京,2023,综合改革,445,108833
北京,2023,综合改革,450,102187
北京,2023,综合改革,455,95946
北京,2023,综合改革,460,90086
北京,2023,综合改革,465,84585
北京,2023,综合改革,470,79419
北京,2023,综合改革,475,74569
北京,2023,综合改革,480,70016
北京,2023,综合改革,485,65739
北京,2023,综合改革,490,61725
北京,2023,综合改革,495,57955
北京,2023,综合改革,500,54416
北京,2023,综合改革,505,51093
北京,2023,综合改革,510,47973
北京,2023,综合改革,515,45043
北京,2023,综合改革,520,42292
北京,2023,综合改革,525,39709
北京,2023,综合改革,530,37284
北京,2023,综合改革,535,35008
北京,2023,综合改革,540,32869
北京,2023,综合改革,545,30862
北京,2023,综合改革,550,28977
北京,2023,综合改革,555,27208
北京,2023,综合改革,560,25545
北京,2023,综合改革,565,23986
北京,2023,综合改革,570,22521
北京,2023,综合改革,575,21145
北京,2023,综合改革,580,19854
北京,2023,综合改革,585,18642
北京,2023,综合改革,590,17504
北京,2023,综合改革,595,16434
北京,2023,综合改革,600,15430
北京,2023,综合改革,605,14488
北京,2023,综合改革,610,13603
北京,2023,综合改革,615,12772
北京,2023,综合改革,620,11992
北京,2023,综合改革,625,11260
北京,2023,综合改革,630,10572
北京,2023,综合改革,635,9926
北京,2023,综合改革,640,9320
北京,2023,综合改革,645,8751
北京,2023,综合改革,650,8217
北京,2023,综合改革,655,7715
北京,2023,综合改革,660,7243
北京,2023,综合改革,665,6801
北京,2023,综合改革,670,6386
北京,2023,综合改革,675,5995
北京,2023,综合改革,680,5629
北京,2024,综合改革,400,191893
北京,2024,综合改革,405,180173
北京,2024,综合改革,410,169171
北京,2024,综合改革,415,158839
北京,2024,综合改革,420,149139
北京,2024,综合改革,425,140032
北京,2024,综合改革,430,131480
北京,2024,综合改革,435,123451
北京,2024,综合改革,440,115911
北京,2024,综合改革,445,108833
北京,2024,综合改革,450,102187
北京,2024,综合改革,455,95946
北京,2024,综合改革,460,90086
北京,2024,综合改革,465,84585
北京,2024,综合改革,470,79419
北京,2024,综合改革,475,74569
北京,2024,综合改革,480,70016
北京,2024,综合改革,485,65739
北京,2024,综合改革,490,61725
北京,2024,综合改革,495,57955
北京,2024,综合改革,500,54416
北京,2024,综合改革,505,51093
北京,2024,综合改革,510,47973
北京,2024,综合改革,515,45043
北京,2024,综合改革,520,42292
北京,2024,综合改革,525,39709
北京,2024,综合改革,530,37284
北京,2024,综合改革,535,35008
北京,2024,综合改革,540,32869
北京,2024,综合改革,545,30862
北京,2024,综合改革,550,28977
北京,2024,综合改革,555,27208
北京,2024,综合改革,560,25545
北京,2024,综合改革,565,23986
北京,2024,综合改革,570,22521
北京,2024,综合改革,575,21145
北京,2024,综合改革,580,19854
北京,2024,综合改革,585,18642
北京,2024,综合改革,590,17504
北京,2024,综合改革,595,16434
北京,2024,综合改革,600,15430
北京,2024,综合改革,605,14488
北京,2024,综合改革,610,13603
北京,2024,综合改革,615,12772
北京,2024,综合改革,620,11992
北京,2024,综合改革,625,11260
