province,year,subject,score,rank
天津,2025,综合,680,656
天津,2025,综合,679,722
天津,2025,综合,678,789
天津,2025,综合,677,861
天津,2025,综合,676,921
天津,2025,综合,675,968
天津,2025,综合,674,1031
天津,2025,综合,673,1092
天津,2025,综合,672,1151
天津,2025,综合,671,1232
天津,2025,综合,670,1301
天津,2025,综合,669,1377
天津,2025,综合,668,1454
天津,2025,综合,667,1548
天津,2025,综合,666,1645
天津,2025,综合,665,1735
天津,2025,综合,664,1828
天津,2025,综合,663,1923
天津,2025,综合,662,2027
天津,2025,综合,661,2137
天津,2025,综合,660,2251
天津,2025,综合,659,2357
天津,2025,综合,658,2463
天津,2025,综合,657,2568
天津,2025,综合,656,2696
天津,2025,综合,655,2784
天津,2025,综合,654,2914
天津,2025,综合,653,3039
天津,2025,综合,652,3179
天津,2025,综合,651,3288
天津,2025,综合,650,3422
天津,2025,综合,649,3561
天津,2025,综合,648,3695
天津,2025,综合,647,3863
天津,2025,综合,646,3995
天津,2025,综合,645,4135
天津,2025,综合,644,4287
天津,2025,综合,643,4451
天津,2025,综合,642,4611
天津,2025,综合,641,4777
天津,2025,综合,640,4928
天津,2025,综合,639,5080
天津,2025,综合,638,5224
天津,2025,综合,637,5379
天津,2025,综合,636,5535
天津,2025,综合,635,5689
天津,2025,综合,634,5859
天津,2025,综合,633,6023
天津,2025,综合,632,6207
天津,2025,综合,631,6375
天津,2025,综合,630,6564
天津,2025,综合,629,6772
天津,2025,综合,628,6950
天津,2025,综合,627,7161
天津,2025,综合,626,7354
天津,2025,综合,625,7531
天津,2025,综合,624,7725
天津,2025,综合,623,7919
天津,2025,综合,622,8141
天津,2025,综合,621,8339
天津,2025,综合,620,8532
天津,2025,综合,619,8745
天津,2025,综合,618,8963
天津,2025,综合,617,9165
天津,2025,综合,616,9379
天津,2025,综合,615,9591
天津,2025,综合,614,9791
天津,2025,综合,613,10009
天津,2025,综合,612,10251
天津,2025,综合,611,10462
天津,2025,综合,610,10681
天津,2025,综合,609,10891
天津,2025,综合,608,11105
天津,2025,综合,607,11344
天津,2025,综合,606,11588
天津,2025,综合,605,11793
天津,2025,综合,604,12046
天津,2025,综合,603,12295
天津,2025,综合,602,12510
天津,2025,综合,601,12738
天津,2025,综合,600,12965
天津,2025,综合,599,13198
天津,2025,综合,598,13411
天津,2025,综合,597,13657
天津,2025,综合,596,13904
天津,2025,综合,595,14133
天津,2025,综合,594,14378
天津,2025,综合,593,14616
天津,2025,综合,592,14879
天津,2025,综合,591,15122
天津,2025,综合,590,15350
天津,2025,综合,589,15580
天津,2025,综合,588,15802
天津,2025,综合,587,16053
天津,2025,综合,586,16306
天津,2025,综合,585,16523
天津,2025,综合,584,16781
天津,2025,综合,583,17050
天津,2025,综合,582,17292
天津,2025,综合,581,17539
天津,2025,综合,580,17773
天津,2025,综合,579,18022
天津,2025,综合,578,18257
天津,2025,综合,577,18537
天津,2025,综合,576,18798
天津,2025,综合,575,19060
天津,2025,综合,574,19332
天津,2025,综合,573,19601
天津,2025,综合,572,19855
天津,2025,综合,571,20134
天津,2025,综合,570,20413
天津,2025,综合,569,20688
