province,year,subject,score,rank
宁夏,2025,物理类,641,104
宁夏,2025,物理类,640,113
宁夏,2025,物理类,639,116
宁夏,2025,物理类,638,120
宁夏,2025,物理类,637,125
宁夏,2025,物理类,636,133
宁夏,2025,物理类,635,138
宁夏,2025,物理类,634,145
宁夏,2025,物理类,633,151
宁夏,2025,物理类,632,156
宁夏,2025,物理类,631,163
宁夏,2025,物理类,630,176
宁夏,2025,物理类,629,186
宁夏,2025,物理类,628,202
宁夏,2025,物理类,627,212
宁夏,2025,物理类,626,221
宁夏,2025,物理类,625,229
宁夏,2025,物理类,624,235
宁夏,2025,物理类,623,246
宁夏,2025,物理类,622,259
宁夏,2025,物理类,621,263
宁夏,2025,物理类,620,271
宁夏,2025,物理类,619,284
宁夏,2025,物理类,618,301
宁夏,2025,物理类,617,325
宁夏,2025,物理类,616,336
宁夏,2025,物理类,615,350
宁夏,2025,物理类,614,371
宁夏,2025,物理类,613,384
宁夏,2025,物理类,612,396
宁夏,2025,物理类,611,409
宁夏,2025,物理类,610,426
宁夏,2025,物理类,609,449
宁夏,2025,物理类,608,467
宁夏,2025,物理类,607,492
宁夏,2025,物理类,606,508
宁夏,2025,物理类,605,534
宁夏,2025,物理类,604,551
宁夏,2025,物理类,603,568
宁夏,2025,物理类,602,583
宁夏,2025,物理类,601,597
宁夏,2025,物理类,600,613
宁夏,2025,物理类,599,637
宁夏,2025,物理类,598,663
宁夏,2025,物理类,597,682
宁夏,2025,物理类,596,712
宁夏,2025,物理类,595,737
宁夏,2025,物理类,594,770
宁夏,2025,物理类,593,797
宁夏,2025,物理类,592,826
宁夏,2025,物理类,591,857
宁夏,2025,物理类,590,881
宁夏,2025,物理类,589,913
宁夏,2025,物理类,588,938
宁夏,2025,物理类,587,982
宁夏,2025,物理类,586,1005
宁夏,2025,物理类,585,1034
宁夏,2025,物理类,584,1066
宁夏,2025,物理类,583,1096
宁夏,2025,物理类,582,1133
宁夏,2025,物理类,581,1184
宁夏,2025,物理类,580,1217
宁夏,2025,物理类,579,1262
宁夏,2025,物理类,578,1303
宁夏,2025,物理类,577,1351
宁夏,2025,物理类,576,1394
宁夏,2025,物理类,575,1436
宁夏,2025,物理类,574,1472
宁夏,2025,物理类,573,1513
宁夏,2025,物理类,572,1563
宁夏,2025,物理类,571,1612
宁夏,2025,物理类,570,1656
宁夏,2025,物理类,569,1714
宁夏,2025,物理类,568,1754
