province,year,subject,score,rank
山东,2023,综合改革,400,176606
山东,2023,综合改革,405,165820
山东,2023,综合改革,410,155693
山东,2023,综合改革,415,146185
山东,2023,综合改革,420,137258
山东,2023,综合改革,425,128876
山东,2023,综合改革,430,121005
山东,2023,综合改革,435,113616
山东,2023,综合改革,440,106677
山东,2023,综合改革,445,100162
山东,2023,综合改革,450,94046
山东,2023,综合改革,455,88303
山东,2023,综合改革,460,82910
山东,2023,综合改革,465,77846
山东,2023,综合改革,470,73092
山东,2023,综合改革,475,68629
山东,2023,综合改革,480,64438
山东,2023,综合改革,485,60502
山东,2023,综合改革,490,56807
山东,2023,综合改革,495,53338
山东,2023,综合改革,500,50081
山东,2023,综合改革,505,47022
山东,2023,综合改革,510,44151
山东,2023,综合改革,515,41455
山东,2023,综合改革,520,38922
山东,2023,综合改革,525,36546
山东,2023,综合改革,530,34314
山东,2023,综合改革,535,32219
山东,2023,综合改革,540,30251
山东,2023,综合改革,545,28403
山东,2023,综合改革,550,26668
山东,2023,综合改革,555,25040
山东,2023,综合改革,560,23510
山东,2023,综合改革,565,22075
山东,2023,综合改革,570,20727
山东,2023,综合改革,575,19460
山东,2023,综合改革,580,18273
山东,2023,综合改革,585,17157
山东,2023,综合改革,590,16109
山东,2023,综合改革,595,15125
山东,2023,综合改革,600,14201
山东,2023,综合改革,605,13334
山东,2023,综合改革,610,12519
山东,2023,综合改革,615,11754
山东,2023,综合改革,620,11037
山东,2023,综合改革,625,10363
山东,2023,综合改革,630,9730
山东,2023,综合改革,635,9136
山东,2023,综合改革,640,8578
山东,2023,综合改革,645,8054
山东,2023,综合改革,650,7562
山东,2023,综合改革,655,7100
山东,2023,综合改革,660,6666
山东,2023,综合改革,665,6259
山东,2023,综合改革,670,5877
山东,2023,综合改革,675,5518
山东,2023,综合改革,680,5181
山东,2024,综合改革,400,176606
山东,2024,综合改革,405,165820
山东,2024,综合改革,410,155693
山东,2024,综合改革,415,146185
山东,2024,综合改革,420,137258
山东,2024,综合改革,425,128876
山东,2024,综合改革,430,121005
山东,2024,综合改革,435,113616
山东,2024,综合改革,440,106677
山东,2024,综合改革,445,100162
山东,2024,综合改革,450,94046
山东,2024,综合改革,455,88303
山东,2024,综合改革,460,82910
