province,year,subject,score,rank
山西,2025,,,12
山西,2025,,703,15
山西,2025,,702,16
山西,2025,,701,19
山西,2025,,700,20
山西,2025,,699,23
山西,2025,,698,25
山西,2025,,697,27
山西,2025,,696,35
山西,2025,,695,38
山西,2025,,694,45
山西,2025,,693,54
山西,2025,,692,64
山西,2025,,691,73
山西,2025,,690,84
山西,2025,,689,95
山西,2025,,688,105
山西,2025,,687,119
山西,2025,,686,125
山西,2025,,685,135
山西,2025,,684,150
山西,2025,,683,164
山西,2025,,682,183
山西,2025,,681,203
山西,2025,,680,230
山西,2025,,679,256
山西,2025,,678,279
山西,2025,,677,305
山西,2025,,676,322
山西,2025,,675,343
山西,2025,,674,368
山西,2025,,673,389
山西,2025,,672,415
山西,2025,,671,449
山西,2025,,670,478
山西,2025,,669,520
山西,2025,,668,571
山西,2025,,667,609
山西,2025,,666,644
山西,2025,,665,679
山西,2025,,664,724
山西,2025,,663,774
山西,2025,,662,823
山西,2025,,661,876
山西,2025,,660,942
山西,2025,,659,1017
山西,2025,,658,1085
山西,2025,,657,1150
山西,2025,,656,1211
山西,2025,,655,1278
山西,2025,,654,1340
山西,2025,,653,1415
山西,2025,,652,1512
山西,2025,,651,1601
山西,2025,,650,1691
山西,2025,,649,1795
山西,2025,,648,1896
山西,2025,,647,2000
山西,2025,,646,2097
山西,2025,,645,2197
山西,2025,,644,2292
山西,2025,,643,2396
山西,2025,,642,2498
山西,2025,,641,2601
山西,2025,,640,2722
山西,2025,,639,2840
山西,2025,,638,2959
山西,2025,,637,3077
山西,2025,,636,3186
山西,2025,,635,3325
山西,2025,,634,3440
山西,2025,,633,3572
山西,2025,,632,3698
山西,2025,,631,3837
山西,2025,,630,3984
山西,2025,,629,4143
山西,2025,,628,4305
山西,2025,,627,4457
山西,2025,,626,4626
山西,2025,,625,4813
山西,2025,,624,5001
山西,2025,,623,5193
山西,2025,,622,5347
山西,2025,,621,5536
山西,2025,,620,5728
山西,2025,,619,5917
山西,2025,,618,6102
山西,2025,,617,6298
山西,2025,,616,6508
山西,2025,,615,6693
山西,2025,,614,6939
山西,2025,,613,7158
山西,2025,,612,7414
山西,2025,,611,7657
山西,2025,,610,7886
山西,2025,,609,8126
山西,2025,,608,8374
山西,2025,,607,8610
山西,2025,,606,8869
山西,2025,,605,9100
山西,2025,,604,9341
山西,2025,,603,9610
山西,2025,,602,9870
山西,2025,,601,10176
山西,2025,,600,10452
山西,2025,,599,10738
山西,2025,,598,10984
山西,2025,,597,11263
山西,2025,,596,11572
山西,2025,,595,11864
山西,2025,,594,12172
山西,2025,,593,12499
山西,2025,,592,12790
山西,2025,,591,13109
山西,2025,,590,13425
