province,year,subject,score,rank
广东,2023,物理类,400,396958
广东,2023,物理类,405,372716
广东,2023,物理类,410,349954
广东,2023,物理类,415,328583
广东,2023,物理类,420,308517
广东,2023,物理类,425,289676
广东,2023,物理类,430,271986
广东,2023,物理类,435,255376
广东,2023,物理类,440,239780
广东,2023,物理类,445,225136
广东,2023,物理类,450,211388
广东,2023,物理类,455,198479
广东,2023,物理类,460,186357
广东,2023,物理类,465,174977
广东,2023,物理类,470,164291
广东,2023,物理类,475,154258
广东,2023,物理类,480,144837
广东,2023,物理类,485,135992
广东,2023,物理类,490,127688
广东,2023,物理类,495,119889
广东,2023,物理类,500,112568
广东,2023,物理类,505,105694
广东,2023,物理类,510,99239
广东,2023,物理类,515,93178
广东,2023,物理类,520,87488
广东,2023,物理类,525,82145
广东,2023,物理类,530,77129
广东,2023,物理类,535,72418
广东,2023,物理类,540,67995
广东,2023,物理类,545,63843
广东,2023,物理类,550,59944
广东,2023,物理类,555,56284
广东,2023,物理类,560,52846
广东,2023,物理类,565,49619
广东,2023,物理类,570,46589
广东,2023,物理类,575,43743
广东,2023,物理类,580,41072
广东,2023,物理类,585,38563
广东,2023,物理类,590,36209
广东,2023,物理类,595,33997
广东,2023,物理类,600,31921
广东,2023,物理类,605,29971
广东,2023,物理类,610,28142
广东,2023,物理类,615,26422
广东,2023,物理类,620,24809
广东,2023,物理类,625,23294
广东,2023,物理类,630,21871
广东,2023,物理类,635,20536
广东,2023,物理类,640,19281
广东,2023,物理类,645,18104
广东,2023,物理类,650,16998
广东,2023,物理类,655,15960
广东,2023,物理类,660,14985
广东,2023,物理类,665,14070
广东,2023,物理类,670,13210
广东,2023,物理类,675,12404
广东,2023,物理类,680,11646
广东,2024,物理类,400,396958
广东,2024,物理类,405,372716
广东,2024,物理类,410,349954
广东,2024,物理类,415,328583
广东,2024,物理类,420,308517
广东,2024,物理类,425,289676
广东,2024,物理类,430,271986
广东,2024,物理类,435,255376
广东,2024,物理类,440,239780
广东,2024,物理类,445,225136
广东,2024,物理类,450,211388
广东,2024,物理类,455,198479
广东,2024,物理类,460,186357
广东,2024,物理类,465,174977
广东,2024,物理类,470,164291
广东,2024,物理类,475,154258
广东,2024,物理类,480,144837
广东,2024,物理类,485,135992
广东,2024,物理类,490,127688
广东,2024,物理类,495,119889
广东,2024,物理类,500,112568
广东,2024,物理类,505,105694
广东,2024,物理类,510,99239
广东,2024,物理类,515,93178
广东,2024,物理类,520,87488
广东,2024,物理类,525,82145
广东,2024,物理类,530,77129
广东,2024,物理类,535,72418
广东,2024,物理类,540,67995
广东,2024,物理类,545,63843
广东,2024,物理类,550,59944
广东,2024,物理类,555,56284
广东,2024,物理类,560,52846
广东,2024,物理类,565,49619
广东,2024,物理类,570,46589
广东,2024,物理类,575,43743
广东,2024,物理类,580,41072
广东,2024,物理类,585,38563
广东,2024,物理类,590,36209
广东,2024,物理类,595,33997
广东,2024,物理类,600,31921
广东,2024,物理类,605,29971
广东,2024,物理类,610,28142
广东,2024,物理类,615,26422
广东,2024,物理类,620,24809
广东,2024,物理类,625,23294
广东,2024,物理类,630,21871
广东,2024,物理类,635,20536
广东,2024,物理类,640,19281
广东,2024,物理类,645,18104
广东,2024,物理类,650,16998
广东,2024,物理类,655,15960
广东,2024,物理类,660,14985
广东,2024,物理类,665,14070
广东,2024,物理类,670,13210
广东,2024,物理类,675,12404
广东,2024,物理类,680,11646
广东,2023,历史类,400,138934
广东,2023,历史类,405,130450
广东,2023,历史类,410,122483
广东,2023,历史类,415,115003
广东,2023,历史类,420,107980
广东,2023,历史类,425,101386
广东,2023,历史类,430,95194
广东,2023,历史类,435,89381
