province,year,subject,score,rank
新疆,2025,理科,670,9
新疆,2025,理科,669,14
新疆,2025,理科,668,19
新疆,2025,理科,667,23
新疆,2025,理科,666,30
新疆,2025,理科,665,39
新疆,2025,理科,663,47
新疆,2025,理科,662,62
新疆,2025,理科,660,77
新疆,2025,理科,656,90
新疆,2025,理科,653,105
新疆,2025,理科,651,120
新疆,2025,理科,650,137
新疆,2025,理科,649,157
新疆,2025,理科,648,179
新疆,2025,理科,647,203
新疆,2025,理科,646,226
新疆,2025,理科,645,248
新疆,2025,理科,643,272
新疆,2025,理科,642,296
新疆,2025,理科,641,316
新疆,2025,理科,640,337
新疆,2025,理科,638,359
新疆,2025,理科,637,379
新疆,2025,理科,636,404
新疆,2025,理科,635,428
新疆,2025,理科,634,449
新疆,2025,理科,633,471
新疆,2025,理科,632,491
新疆,2025,理科,631,512
新疆,2025,理科,630,532
新疆,2025,理科,629,553
新疆,2025,理科,628,578
新疆,2025,理科,627,602
新疆,2025,理科,626,626
新疆,2025,理科,625,650
新疆,2025,理科,624,677
新疆,2025,理科,623,699
新疆,2025,理科,622,721
新疆,2025,理科,621,747
新疆,2025,理科,620,768
新疆,2025,理科,619,795
新疆,2025,理科,618,823
新疆,2025,理科,617,853
新疆,2025,理科,616,882
新疆,2025,理科,615,914
新疆,2025,理科,614,940
新疆,2025,理科,613,970
新疆,2025,理科,612,1003
新疆,2025,理科,611,1029
新疆,2025,理科,610,1051
新疆,2025,理科,609,1080
新疆,2025,理科,608,1110
新疆,2025,理科,607,1143
新疆,2025,理科,606,1180
新疆,2025,理科,605,1215
新疆,2025,理科,604,1252
新疆,2025,理科,603,1283
新疆,2025,理科,602,1318
新疆,2025,理科,601,1356
新疆,2025,理科,600,1391
新疆,2025,理科,599,1426
新疆,2025,理科,598,1463
新疆,2025,理科,597,1503
新疆,2025,理科,596,1541
新疆,2025,理科,595,1581
新疆,2025,理科,594,1628
新疆,2025,理科,593,1673
新疆,2025,理科,592,1714
新疆,2025,理科,591,1761
新疆,2025,理科,590,1801
新疆,2025,理科,589,1846
新疆,2025,理科,588,1890
新疆,2025,理科,587,1931
新疆,2025,理科,586,1985
新疆,2025,理科,585,2035
新疆,2025,理科,584,2085
新疆,2025,理科,583,2136
新疆,2025,理科,582,2179
新疆,2025,理科,581,2229
新疆,2025,理科,580,2276
新疆,2025,理科,579,2327
新疆,2025,理科,578,2378
新疆,2025,理科,577,2429
新疆,2025,理科,576,2468
新疆,2025,理科,575,2523
新疆,2025,理科,574,2586
新疆,2025,理科,573,2641
新疆,2025,理科,572,2693
新疆,2025,理科,571,2749
新疆,2025,理科,570,2809
新疆,2025,理科,569,2866
新疆,2025,理科,568,2918
新疆,2025,理科,567,2980
新疆,2025,理科,566,3030
新疆,2025,理科,565,3088
新疆,2025,理科,564,3132
新疆,2025,理科,563,3188
新疆,2025,理科,562,3243
新疆,2025,理科,561,3306
新疆,2025,理科,560,3371
