province,year,subject,score,rank
江苏,2023,物理类,400,330743
江苏,2023,物理类,405,310544
江苏,2023,物理类,410,291579
江苏,2023,物理类,415,273773
江苏,2023,物理类,420,257054
江苏,2023,物理类,425,241356
江苏,2023,物理类,430,226616
江苏,2023,物理类,435,212777
江苏,2023,物理类,440,199783
江苏,2023,物理类,445,187582
江苏,2023,物理类,450,176127
江苏,2023,物理类,455,165371
江苏,2023,物理类,460,155271
江苏,2023,物理类,465,145789
江苏,2023,物理类,470,136886
江苏,2023,物理类,475,128526
江苏,2023,物理类,480,120677
江苏,2023,物理类,485,113307
江苏,2023,物理类,490,106388
江苏,2023,物理类,495,99891
江苏,2023,物理类,500,93791
江苏,2023,物理类,505,88063
江苏,2023,物理类,510,82685
江苏,2023,物理类,515,77635
江苏,2023,物理类,520,72894
江苏,2023,物理类,525,68443
江苏,2023,物理类,530,64263
江苏,2023,物理类,535,60338
江苏,2023,物理类,540,56653
江苏,2023,物理类,545,53193
江苏,2023,物理类,550,49945
江苏,2023,物理类,555,46895
江苏,2023,物理类,560,44031
江苏,2023,物理类,565,41342
江苏,2023,物理类,570,38817
江苏,2023,物理类,575,36446
江苏,2023,物理类,580,34221
江苏,2023,物理类,585,32131
江苏,2023,物理类,590,30169
江苏,2023,物理类,595,28326
江苏,2023,物理类,600,26596
江苏,2023,物理类,605,24972
江苏,2023,物理类,610,23447
江苏,2023,物理类,615,22015
江苏,2023,物理类,620,20671
江苏,2023,物理类,625,19408
江苏,2023,物理类,630,18223
江苏,2023,物理类,635,17110
江苏,2023,物理类,640,16065
江苏,2023,物理类,645,15084
江苏,2023,物理类,650,14163
江苏,2023,物理类,655,13297
江苏,2023,物理类,660,12486
江苏,2023,物理类,665,11723
江苏,2023,物理类,670,11007
江苏,2023,物理类,675,10335
江苏,2023,物理类,680,9704
江苏,2024,物理类,400,330743
江苏,2024,物理类,405,310544
江苏,2024,物理类,410,291579
江苏,2024,物理类,415,273773
江苏,2024,物理类,420,257054
江苏,2024,物理类,425,241356
江苏,2024,物理类,430,226616
江苏,2024,物理类,435,212777
江苏,2024,物理类,440,199783
江苏,2024,物理类,445,187582
江苏,2024,物理类,450,176127
江苏,2024,物理类,455,165371
江苏,2024,物理类,460,155271
江苏,2024,物理类,465,145789
江苏,2024,物理类,470,136886
江苏,2024,物理类,475,128526
江苏,2024,物理类,480,120677
江苏,2024,物理类,485,113307
江苏,2024,物理类,490,106388
江苏,2024,物理类,495,99891
江苏,2024,物理类,500,93791
江苏,2024,物理类,505,88063
江苏,2024,物理类,510,82685
江苏,2024,物理类,515,77635
江苏,2024,物理类,520,72894
江苏,2024,物理类,525,68443
江苏,2024,物理类,530,64263
江苏,2024,物理类,535,60338
江苏,2024,物理类,540,56653
江苏,2024,物理类,545,53193
江苏,2024,物理类,550,49945
江苏,2024,物理类,555,46895
江苏,2024,物理类,560,44031
江苏,2024,物理类,565,41342
江苏,2024,物理类,570,38817
江苏,2024,物理类,575,36446
江苏,2024,物理类,580,34221
江苏,2024,物理类,585,32131
江苏,2024,物理类,590,30169
江苏,2024,物理类,595,28326
江苏,2024,物理类,600,26596
江苏,2024,物理类,605,24972
江苏,2024,物理类,610,23447
江苏,2024,物理类,615,22015
江苏,2024,物理类,620,20671
江苏,2024,物理类,625,19408
江苏,2024,物理类,630,18223
江苏,2024,物理类,635,17110
江苏,2024,物理类,640,16065
江苏,2024,物理类,645,15084
江苏,2024,物理类,650,14163
江苏,2024,物理类,655,13297
江苏,2024,物理类,660,12486
江苏,2024,物理类,665,11723
江苏,2024,物理类,670,11007
江苏,2024,物理类,675,10335
江苏,2024,物理类,680,9704
江苏,2023,历史类,400,115759
江苏,2023,历史类,405,108690
江苏,2023,历史类,410,102052
江苏,2023,历史类,415,95820
江苏,2023,历史类,420,89968
江苏,2023,历史类,425,84474
江苏,2023,历史类,430,79315
江苏,2023,历史类,435,74472
江苏,2023,历史类,440,69923
江苏,2023,历史类,445,65653
江苏,2023,历史类,450,61643
江苏,2023,历史类,455,57879
江苏,2023,历史类,460,54344
江苏,2023,历史类,465,51026
江苏,2023,历史类,470,47909
江苏,2023,历史类,475,44983
江苏,2023,历史类,480,42236
江苏,2023,历史类,485,39657
江苏,2023,历史类,490,37236
