province,year,subject,score,rank
河南,2023,物理类,400,317842
河南,2023,物理类,405,298430
河南,2023,物理类,410,280205
河南,2023,物理类,415,263094
河南,2023,物理类,420,247027
河南,2023,物理类,425,231942
河南,2023,物理类,430,217777
河南,2023,物理类,435,204477
河南,2023,物理类,440,191990
河南,2023,物理类,445,180265
河南,2023,物理类,450,169257
河南,2023,物理类,455,158921
河南,2023,物理类,460,149215
河南,2023,物理类,465,140102
河南,2023,物理类,470,131546
河南,2023,物理类,475,123513
河南,2023,物理类,480,115970
河南,2023,物理类,485,108888
河南,2023,物理类,490,102238
河南,2023,物理类,495,95994
河南,2023,物理类,500,90132
河南,2023,物理类,505,84628
河南,2023,物理类,510,79460
河南,2023,物理类,515,74607
河南,2023,物理类,520,70051
河南,2023,物理类,525,65773
河南,2023,物理类,530,61756
河南,2023,物理类,535,57985
河南,2023,物理类,540,54443
河南,2023,物理类,545,51118
河南,2023,物理类,550,47996
河南,2023,物理类,555,45066
河南,2023,物理类,560,42313
河南,2023,物理类,565,39730
河南,2023,物理类,570,37303
河南,2023,物理类,575,35025
河南,2023,物理类,580,32886
河南,2023,物理类,585,30877
河南,2023,物理类,590,28992
河南,2023,物理类,595,27221
河南,2023,物理类,600,25559
河南,2023,物理类,605,23997
河南,2023,物理类,610,22533
河南,2023,物理类,615,21156
河南,2023,物理类,620,19865
河南,2023,物理类,625,18651
河南,2023,物理类,630,17512
河南,2023,物理类,635,16443
河南,2023,物理类,640,15438
河南,2023,物理类,645,14496
河南,2023,物理类,650,13610
河南,2023,物理类,655,12779
河南,2023,物理类,660,11998
河南,2023,物理类,665,11266
河南,2023,物理类,670,10577
河南,2023,物理类,675,9932
河南,2023,物理类,680,9325
河南,2024,物理类,400,317842
河南,2024,物理类,405,298430
河南,2024,物理类,410,280205
河南,2024,物理类,415,263094
河南,2024,物理类,420,247027
河南,2024,物理类,425,231942
河南,2024,物理类,430,217777
河南,2024,物理类,435,204477
河南,2024,物理类,440,191990
河南,2024,物理类,445,180265
河南,2024,物理类,450,169257
河南,2024,物理类,455,158921
河南,2024,物理类,460,149215
河南,2024,物理类,465,140102
河南,2024,物理类,470,131546
河南,2024,物理类,475,123513
河南,2024,物理类,480,115970
河南,2024,物理类,485,108888
河南,2024,物理类,490,102238
河南,2024,物理类,495,95994
河南,2024,物理类,500,90132
河南,2024,物理类,505,84628
河南,2024,物理类,510,79460
河南,2024,物理类,515,74607
河南,2024,物理类,520,70051
河南,2024,物理类,525,65773
河南,2024,物理类,530,61756
河南,2024,物理类,535,57985
河南,2024,物理类,540,54443
河南,2024,物理类,545,51118
河南,2024,物理类,550,47996
河南,2024,物理类,555,45066
河南,2024,物理类,560,42313
河南,2024,物理类,565,39730
河南,2024,物理类,570,37303
河南,2024,物理类,575,35025
河南,2024,物理类,580,32886
河南,2024,物理类,585,30877
河南,2024,物理类,590,28992
河南,2024,物理类,595,27221
河南,2024,物理类,600,25559
河南,2024,物理类,605,23997
河南,2024,物理类,610,22533
河南,2024,物理类,615,21156
河南,2024,物理类,620,19865
河南,2024,物理类,625,18651
河南,2024,物理类,630,17512
河南,2024,物理类,635,16443
河南,2024,物理类,640,15438
河南,2024,物理类,645,14496
河南,2024,物理类,650,13610
河南,2024,物理类,655,12779
河南,2024,物理类,660,11998
河南,2024,物理类,665,11266
河南,2024,物理类,670,10577
河南,2024,物理类,675,9932
河南,2024,物理类,680,9325
河南,2023,历史类,400,111243
河南,2023,历史类,405,104451
河南,2023,历史类,410,98071
河南,2023,历史类,415,92082
河南,2023,历史类,420,86459
河南,2023,历史类,425,81179
河南,2023,历史类,430,76221
河南,2023,历史类,435,71567
河南,2023,历史类,440,67196
河南,2023,历史类,445,63092
河南,2023,历史类,450,59239
河南,2023,历史类,455,55621
河南,2023,历史类,460,52225
河南,2023,历史类,465,49035
河南,2023,历史类,470,46040
河南,2023,历史类,475,43229
河南,2023,历史类,480,40589
河南,2023,历史类,485,38110
河南,2023,历史类,490,35783
河南,2023,历史类,495,33597
河南,2023,历史类,500,31546
河南,2023,历史类,505,29619
河南,2023,历史类,510,27810
河南,2023,历史类,515,26112
河南,2023,历史类,520,24517
河南,2023,历史类,525,23019
河南,2023,历史类,530,21614
河南,2023,历史类,535,20294
河南,2023,历史类,540,19055
河南,2023,历史类,545,17891
河南,2023,历史类,550,16798
河南,2023,历史类,555,15773
河南,2023,历史类,560,14809
河南,2023,历史类,565,13905
河南,2023,历史类,570,13056
河南,2023,历史类,575,12258
河南,2023,历史类,580,11509
河南,2023,历史类,585,10806
河南,2023,历史类,590,10147
河南,2023,历史类,595,9527
河南,2023,历史类,600,8945
河南,2023,历史类,605,8399
河南,2023,历史类,610,7886
河南,2023,历史类,615,7404
河南,2023,历史类,620,6952
河南,2023,历史类,625,6527
河南,2023,历史类,630,6128
河南,2023,历史类,635,5754
河南,2023,历史类,640,5403
河南,2023,历史类,645,5073
河南,2023,历史类,650,4763
河南,2023,历史类,655,4472
河南,2023,历史类,660,4199
河南,2023,历史类,665,3943
河南,2023,历史类,670,3702
河南,2023,历史类,675,3476
河南,2023,历史类,680,3263
河南,2024,历史类,400,111243
河南,2024,历史类,405,104451
河南,2024,历史类,410,98071
河南,2024,历史类,415,92082
河南,2024,历史类,420,86459
河南,2024,历史类,425,81179
河南,2024,历史类,430,76221
河南,2024,历史类,435,71567
河南,2024,历史类,440,67196
河南,2024,历史类,445,63092
河南,2024,历史类,450,59239
河南,2024,历史类,455,55621
河南,2024,历史类,460,52225
河南,2024,历史类,465,49035
河南,2024,历史类,470,46040
河南,2024,历史类,475,43229
河南,2024,历史类,480,40589
河南,2024,历史类,485,38110
河南,2024,历史类,490,35783
河南,2024,历史类,495,33597
河南,2024,历史类,500,31546
河南,2024,历史类,505,29619
