province,year,subject,score,rank
浙江,2023,综合改革,400,170157
浙江,2023,综合改革,405,159765
浙江,2023,综合改革,410,150009
浙江,2023,综合改革,415,140847
浙江,2023,综合改革,420,132246
浙江,2023,综合改革,425,124170
浙江,2023,综合改革,430,116587
浙江,2023,综合改革,435,109467
浙江,2023,综合改革,440,102782
浙江,2023,综合改革,445,96505
浙江,2023,综合改革,450,90612
浙江,2023,综合改革,455,85078
浙江,2023,综合改革,460,79882
浙江,2023,综合改革,465,75004
浙江,2023,综合改革,470,70423
浙江,2023,综合改革,475,66123
浙江,2023,综合改革,480,62085
浙江,2023,综合改革,485,58293
浙江,2023,综合改革,490,54733
浙江,2023,综合改革,495,51390
浙江,2023,综合改革,500,48252
浙江,2023,综合改革,505,45305
浙江,2023,综合改革,510,42539
浙江,2023,综合改革,515,39941
浙江,2023,综合改革,520,37501
浙江,2023,综合改革,525,35211
浙江,2023,综合改革,530,33061
浙江,2023,综合改革,535,31042
浙江,2023,综合改革,540,29146
浙江,2023,综合改革,545,27366
浙江,2023,综合改革,550,25694
浙江,2023,综合改革,555,24126
浙江,2023,综合改革,560,22652
浙江,2023,综合改革,565,21269
浙江,2023,综合改革,570,19970
浙江,2023,综合改革,575,18750
浙江,2023,综合改革,580,17605
浙江,2023,综合改革,585,16530
浙江,2023,综合改革,590,15521
浙江,2023,综合改革,595,14573
浙江,2023,综合改革,600,13682
浙江,2023,综合改革,605,12847
浙江,2023,综合改革,610,12062
浙江,2023,综合改革,615,11325
浙江,2023,综合改革,620,10634
浙江,2023,综合改革,625,9984
浙江,2023,综合改革,630,9375
浙江,2023,综合改革,635,8802
浙江,2023,综合改革,640,8264
浙江,2023,综合改革,645,7760
浙江,2023,综合改革,650,7286
浙江,2023,综合改革,655,6841
浙江,2023,综合改革,660,6423
浙江,2023,综合改革,665,6031
浙江,2023,综合改革,670,5662
浙江,2023,综合改革,675,5316
浙江,2023,综合改革,680,4991
浙江,2024,综合改革,400,170157
浙江,2024,综合改革,405,159765
浙江,2024,综合改革,410,150009
浙江,2024,综合改革,415,140847
浙江,2024,综合改革,420,132246
浙江,2024,综合改革,425,124170
浙江,2024,综合改革,430,116587
浙江,2024,综合改革,435,109467
浙江,2024,综合改革,440,102782
浙江,2024,综合改革,445,96505
浙江,2024,综合改革,450,90612
浙江,2024,综合改革,455,85078
浙江,2024,综合改革,460,79882
浙江,2024,综合改革,465,75004
浙江,2024,综合改革,470,70423
浙江,2024,综合改革,475,66123
浙江,2024,综合改革,480,62085
浙江,2024,综合改革,485,58293
浙江,2024,综合改革,490,54733
浙江,2024,综合改革,495,51390
浙江,2024,综合改革,500,48252
浙江,2024,综合改革,505,45305
浙江,2024,综合改革,510,42539
浙江,2024,综合改革,515,39941
浙江,2024,综合改革,520,37501
浙江,2024,综合改革,525,35211
浙江,2024,综合改革,530,33061
浙江,2024,综合改革,535,31042
浙江,2024,综合改革,540,29146
浙江,2024,综合改革,545,27366
浙江,2024,综合改革,550,25694
浙江,2024,综合改革,555,24126
浙江,2024,综合改革,560,22652
浙江,2024,综合改革,565,21269
浙江,2024,综合改革,570,19970
浙江,2024,综合改革,575,18750
浙江,2024,综合改革,580,17605
浙江,2024,综合改革,585,16530
浙江,2024,综合改革,590,15521
浙江,2024,综合改革,595,14573
浙江,2024,综合改革,600,13682
浙江,2024,综合改革,605,12847
浙江,2024,综合改革,610,12062
浙江,2024,综合改革,615,11325
浙江,2024,综合改革,620,10634
浙江,2024,综合改革,625,9984
浙江,2024,综合改革,630,9375
浙江,2024,综合改革,635,8802
浙江,2024,综合改革,640,8264
浙江,2024,综合改革,645,7760
浙江,2024,综合改革,650,7286
浙江,2024,综合改革,655,6841
浙江,2024,综合改革,660,6423
浙江,2024,综合改革,665,6031
浙江,2024,综合改革,670,5662
浙江,2024,综合改革,675,5316
浙江,2024,综合改革,680,4991
浙江,2024,综合,699,331
浙江,2024,综合,698,396
浙江,2024,综合,697,468
浙江,2024,综合,696,533
浙江,2024,综合,695,597
浙江,2024,综合,694,667
浙江,2024,综合,693,763
浙江,2024,综合,692,855
浙江,2024,综合,691,939
浙江,2024,综合,690,1039
