province,year,subject,score,rank
海南,2025,综合,800,105
海南,2025,综合,799,110
海南,2025,综合,798,112
海南,2025,综合,797,117
海南,2025,综合,796,121
海南,2025,综合,795,125
海南,2025,综合,794,129
海南,2025,综合,793,133
海南,2025,综合,792,138
海南,2025,综合,791,143
海南,2025,综合,790,147
海南,2025,综合,789,153
海南,2025,综合,788,158
海南,2025,综合,787,161
海南,2025,综合,786,168
海南,2025,综合,785,171
海南,2025,综合,784,178
海南,2025,综合,783,183
海南,2025,综合,782,187
海南,2025,综合,781,195
海南,2025,综合,780,199
海南,2025,综合,779,205
海南,2025,综合,778,212
海南,2025,综合,777,218
海南,2025,综合,776,225
海南,2025,综合,775,233
海南,2025,综合,774,240
海南,2025,综合,773,247
海南,2025,综合,772,255
海南,2025,综合,771,265
海南,2025,综合,770,271
海南,2025,综合,769,279
海南,2025,综合,768,287
海南,2025,综合,767,298
海南,2025,综合,766,305
海南,2025,综合,765,318
海南,2025,综合,764,323
海南,2025,综合,763,333
海南,2025,综合,762,347
海南,2025,综合,761,354
海南,2025,综合,760,369
海南,2025,综合,759,378
海南,2025,综合,758,386
海南,2025,综合,757,397
海南,2025,综合,756,410
海南,2025,综合,755,420
海南,2025,综合,754,431
海南,2025,综合,753,445
海南,2025,综合,752,455
海南,2025,综合,751,467
海南,2025,综合,750,482
海南,2025,综合,749,495
海南,2025,综合,748,511
海南,2025,综合,747,525
海南,2025,综合,746,538
海南,2025,综合,745,555
海南,2025,综合,744,575
海南,2025,综合,743,585
海南,2025,综合,742,603
海南,2025,综合,741,620
海南,2025,综合,740,639
海南,2025,综合,739,657
海南,2025,综合,738,672
海南,2025,综合,737,689
海南,2025,综合,736,709
海南,2025,综合,735,729
海南,2025,综合,734,746
海南,2025,综合,733,767
海南,2025,综合,732,791
海南,2025,综合,731,809
海南,2025,综合,730,831
海南,2025,综合,729,856
海南,2025,综合,728,873
海南,2025,综合,727,900
海南,2025,综合,726,925
海南,2025,综合,725,948
海南,2025,综合,724,971
海南,2025,综合,723,994
海南,2025,综合,722,1028
海南,2025,综合,721,1056
海南,2025,综合,720,1076
海南,2025,综合,719,1103
海南,2025,综合,718,1136
海南,2025,综合,717,1165
海南,2025,综合,716,1192
海南,2025,综合,715,1225
海南,2025,综合,714,1253
海南,2025,综合,713,1292
海南,2025,综合,712,1319
海南,2025,综合,711,1351
海南,2025,综合,710,1386
海南,2025,综合,709,1420
海南,2025,综合,708,1454
海南,2025,综合,707,1489
海南,2025,综合,706,1528
海南,2025,综合,705,1562
海南,2025,综合,704,1610
海南,2025,综合,703,1641
海南,2025,综合,702,1682
海南,2025,综合,701,1720
海南,2025,综合,700,1763
海南,2025,综合,699,1809
海南,2025,综合,698,1853
海南,2025,综合,697,1889
海南,2025,综合,696,1935
海南,2025,综合,695,1993
海南,2025,综合,694,2035
海南,2025,综合,693,2076
海南,2025,综合,692,2130
海南,2025,综合,691,2186
海南,2025,综合,690,2229
海南,2025,综合,689,2274
海南,2025,综合,688,2336
海南,2025,综合,687,2379
海南,2025,综合,686,2429
海南,2025,综合,685,2483
海南,2025,综合,684,2554
海南,2025,综合,683,2597
海南,2025,综合,682,2657
海南,2025,综合,681,2713
海南,2025,综合,680,2774
海南,2025,综合,679,2839
海南,2025,综合,678,2903
