province,year,subject,score,rank
湖南,2023,物理类,400,392393
湖南,2023,物理类,405,368429
湖南,2023,物理类,410,345929
湖南,2023,物理类,415,324804
湖南,2023,物理类,420,304969
湖南,2023,物理类,425,286345
湖南,2023,物理类,430,268858
湖南,2023,物理类,435,252439
湖南,2023,物理类,440,237022
湖南,2023,物理类,445,222547
湖南,2023,物理类,450,208957
湖南,2023,物理类,455,196196
湖南,2023,物理类,460,184214
湖南,2023,物理类,465,172964
湖南,2023,物理类,470,162401
湖南,2023,物理类,475,152484
湖南,2023,物理类,480,143172
湖南,2023,物理类,485,134428
湖南,2023,物理类,490,126219
湖南,2023,物理类,495,118510
湖南,2023,物理类,500,111273
湖南,2023,物理类,505,104478
湖南,2023,物理类,510,98098
湖南,2023,物理类,515,92107
湖南,2023,物理类,520,86482
湖南,2023,物理类,525,81200
湖南,2023,物理类,530,76242
湖南,2023,物理类,535,71586
湖南,2023,物理类,540,67213
湖南,2023,物理类,545,63109
湖南,2023,物理类,550,59254
湖南,2023,物理类,555,55636
湖南,2023,物理类,560,52238
湖南,2023,物理类,565,49049
湖南,2023,物理类,570,46053
湖南,2023,物理类,575,43240
湖南,2023,物理类,580,40600
湖南,2023,物理类,585,38120
湖南,2023,物理类,590,35793
湖南,2023,物理类,595,33606
湖南,2023,物理类,600,31554
湖南,2023,物理类,605,29626
湖南,2023,物理类,610,27818
湖南,2023,物理类,615,26118
湖南,2023,物理类,620,24524
湖南,2023,物理类,625,23026
湖南,2023,物理类,630,21619
湖南,2023,物理类,635,20300
湖南,2023,物理类,640,19060
湖南,2023,物理类,645,17896
湖南,2023,物理类,650,16803
湖南,2023,物理类,655,15776
湖南,2023,物理类,660,14813
湖南,2023,物理类,665,13908
湖南,2023,物理类,670,13058
湖南,2023,物理类,675,12261
湖南,2023,物理类,680,11512
湖南,2024,物理类,400,392393
湖南,2024,物理类,405,368429
湖南,2024,物理类,410,345929
湖南,2024,物理类,415,324804
湖南,2024,物理类,420,304969
湖南,2024,物理类,425,286345
湖南,2024,物理类,430,268858
湖南,2024,物理类,435,252439
湖南,2024,物理类,440,237022
湖南,2024,物理类,445,222547
湖南,2024,物理类,450,208957
湖南,2024,物理类,455,196196
湖南,2024,物理类,460,184214
湖南,2024,物理类,465,172964
湖南,2024,物理类,470,162401
湖南,2024,物理类,475,152484
湖南,2024,物理类,480,143172
湖南,2024,物理类,485,134428
湖南,2024,物理类,490,126219
湖南,2024,物理类,495,118510
湖南,2024,物理类,500,111273
湖南,2024,物理类,505,104478
湖南,2024,物理类,510,98098
湖南,2024,物理类,515,92107
湖南,2024,物理类,520,86482
湖南,2024,物理类,525,81200
湖南,2024,物理类,530,76242
湖南,2024,物理类,535,71586
湖南,2024,物理类,540,67213
湖南,2024,物理类,545,63109
湖南,2024,物理类,550,59254
湖南,2024,物理类,555,55636
湖南,2024,物理类,560,52238
湖南,2024,物理类,565,49049
湖南,2024,物理类,570,46053
湖南,2024,物理类,575,43240
湖南,2024,物理类,580,40600
湖南,2024,物理类,585,38120
湖南,2024,物理类,590,35793
湖南,2024,物理类,595,33606
湖南,2024,物理类,600,31554
湖南,2024,物理类,605,29626
湖南,2024,物理类,610,27818
湖南,2024,物理类,615,26118
湖南,2024,物理类,620,24524
湖南,2024,物理类,625,23026
湖南,2024,物理类,630,21619
湖南,2024,物理类,635,20300
湖南,2024,物理类,640,19060
湖南,2024,物理类,645,17896
湖南,2024,物理类,650,16803
湖南,2024,物理类,655,15776
湖南,2024,物理类,660,14813
湖南,2024,物理类,665,13908
湖南,2024,物理类,670,13058
湖南,2024,物理类,675,12261
湖南,2024,物理类,680,11512
湖南,2023,历史类,400,137336
湖南,2023,历史类,405,128950
湖南,2023,历史类,410,121074
湖南,2023,历史类,415,113680
湖南,2023,历史类,420,106738
湖南,2023,历史类,425,100220
湖南,2023,历史类,430,94099
湖南,2023,历史类,435,88353
湖南,2023,历史类,440,82957
湖南,2023,历史类,445,77891
湖南,2023,历史类,450,73134
湖南,2023,历史类,455,68667
湖南,2023,历史类,460,64474
湖南,2023,历史类,465,60537
湖南,2023,历史类,470,56839
湖南,2023,历史类,475,53368
湖南,2023,历史类,480,50109
湖南,2023,历史类,485,47049
湖南,2023,历史类,490,44176
湖南,2023,历史类,495,41478
湖南,2023,历史类,500,38945
湖南,2023,历史类,505,36566
湖南,2023,历史类,510,34333
湖南,2023,历史类,515,32236
湖南,2023,历史类,520,30268
湖南,2023,历史类,525,28419
湖南,2023,历史类,530,26683
湖南,2023,历史类,535,25054
湖南,2023,历史类,540,23524
湖南,2023,历史类,545,22088
湖南,2023,历史类,550,20738
湖南,2023,历史类,555,19472
湖南,2023,历史类,560,18283
湖南,2023,历史类,565,17166
湖南,2023,历史类,570,16118
湖南,2023,历史类,575,15134
湖南,2023,历史类,580,14209
湖南,2023,历史类,585,13341
湖南,2023,历史类,590,12527
湖南,2023,历史类,595,11761
湖南,2023,历史类,600,11044
湖南,2023,历史类,605,10369
湖南,2023,历史类,610,9735
湖南,2023,历史类,615,9141
湖南,2023,历史类,620,8583
湖南,2023,历史类,625,8058
湖南,2023,历史类,630,7566
湖南,2023,历史类,635,7104
湖南,2023,历史类,640,6670
湖南,2023,历史类,645,6263
湖南,2023,历史类,650,5880
湖南,2023,历史类,655,5521
湖南,2023,历史类,660,5184
湖南,2023,历史类,665,4867
湖南,2023,历史类,670,4570
湖南,2023,历史类,675,4291
湖南,2023,历史类,680,4029
湖南,2024,历史类,400,137336
湖南,2024,历史类,405,128950
湖南,2024,历史类,410,121074
湖南,2024,历史类,415,113680
湖南,2024,历史类,420,106738
湖南,2024,历史类,425,100220
湖南,2024,历史类,430,94099
湖南,2024,历史类,435,88353
湖南,2024,历史类,440,82957
湖南,2024,历史类,445,77891
湖南,2024,历史类,450,73134
湖南,2024,历史类,455,68667
湖南,2024,历史类,460,64474
湖南,2024,历史类,465,60537
湖南,2024,历史类,470,56839
湖南,2024,历史类,475,53368
湖南,2024,历史类,480,50109
湖南,2024,历史类,485,47049
湖南,2024,历史类,490,44176
湖南,2024,历史类,495,41478
湖南,2024,历史类,500,38945
湖南,2024,历史类,505,36566
湖南,2024,历史类,510,34333
湖南,2024,历史类,515,32236
湖南,2024,历史类,520,30268
湖南,2024,历史类,525,28419
湖南,2024,历史类,530,26683
湖南,2024,历史类,535,25054
湖南,2024,历史类,540,23524
湖南,2024,历史类,545,22088
湖南,2024,历史类,550,20738
湖南,2024,历史类,555,19472
