province,year,subject,score,rank
福建,2025,物理类,689,46
福建,2025,物理类,688,58
福建,2025,物理类,687,63
福建,2025,物理类,686,73
福建,2025,物理类,685,90
福建,2025,物理类,684,100
福建,2025,物理类,683,109
福建,2025,物理类,682,128
福建,2025,物理类,681,145
福建,2025,物理类,680,157
福建,2025,物理类,679,177
福建,2025,物理类,678,197
福建,2025,物理类,677,227
福建,2025,物理类,676,248
福建,2025,物理类,675,277
福建,2025,物理类,674,308
福建,2025,物理类,673,340
福建,2025,物理类,672,377
福建,2025,物理类,671,418
福建,2025,物理类,670,458
福建,2025,物理类,669,495
福建,2025,物理类,668,531
福建,2025,物理类,667,577
福建,2025,物理类,666,614
福建,2025,物理类,665,662
福建,2025,物理类,664,715
福建,2025,物理类,663,777
福建,2025,物理类,662,827
福建,2025,物理类,661,891
福建,2025,物理类,660,942
福建,2025,物理类,659,1024
福建,2025,物理类,658,1104
福建,2025,物理类,657,1185
福建,2025,物理类,656,1271
福建,2025,物理类,655,1362
福建,2025,物理类,654,1453
福建,2025,物理类,653,1539
福建,2025,物理类,652,1634
福建,2025,物理类,651,1719
福建,2025,物理类,650,1821
福建,2025,物理类,649,1921
福建,2025,物理类,648,2036
福建,2025,物理类,647,2159
福建,2025,物理类,646,2277
福建,2025,物理类,645,2412
福建,2025,物理类,644,2533
福建,2025,物理类,643,2663
福建,2025,物理类,642,2817
福建,2025,物理类,641,2960
福建,2025,物理类,640,3113
福建,2025,物理类,639,3258
福建,2025,物理类,638,3400
福建,2025,物理类,637,3545
福建,2025,物理类,636,3702
福建,2025,物理类,635,3867
福建,2025,物理类,634,4065
福建,2025,物理类,633,4244
福建,2025,物理类,632,4442
福建,2025,物理类,631,4611
福建,2025,物理类,630,4805
福建,2025,物理类,629,5008
福建,2025,物理类,628,5221
福建,2025,物理类,627,5412
福建,2025,物理类,626,5610
福建,2025,物理类,625,5813
福建,2025,物理类,624,6019
福建,2025,物理类,623,6240
福建,2025,物理类,622,6483
福建,2025,物理类,621,6705
福建,2025,物理类,620,6942
福建,2025,物理类,619,7186
福建,2025,物理类,618,7421
福建,2025,物理类,617,7670
福建,2025,物理类,616,7919
福建,2025,物理类,615,8194
福建,2025,物理类,614,8461
福建,2025,物理类,613,8716
福建,2025,物理类,612,9021
福建,2025,物理类,611,9314
福建,2025,物理类,610,9599
福建,2025,物理类,609,9900
福建,2025,物理类,608,10196
福建,2025,物理类,607,10504
福建,2025,物理类,606,10843
福建,2025,物理类,605,11141
福建,2025,物理类,604,11461
福建,2025,物理类,603,11774
福建,2025,物理类,602,12115
福建,2025,物理类,601,12436
福建,2025,物理类,600,12735
福建,2025,物理类,599,13078
福建,2025,物理类,598,13403
福建,2025,物理类,597,13740
福建,2025,物理类,596,14083
福建,2025,物理类,595,14450
福建,2025,物理类,594,14801
福建,2025,物理类,593,15145
福建,2025,物理类,592,15507
福建,2025,物理类,591,15883
福建,2025,物理类,590,16253
福建,2025,物理类,589,16625
福建,2025,物理类,588,17024
福建,2025,物理类,587,17424
福建,2025,物理类,586,17831
福建,2025,物理类,585,18234
福建,2025,物理类,584,18650
福建,2025,物理类,583,19062
福建,2025,物理类,582,19495
福建,2025,物理类,581,19899
福建,2025,物理类,580,20313
福建,2025,物理类,579,20738
福建,2025,物理类,578,21173
福建,2025,物理类,577,21588
福建,2025,物理类,576,22059
福建,2025,物理类,575,22544
福建,2025,物理类,574,22981
福建,2025,物理类,573,23443
福建,2025,物理类,572,23889
福建,2025,物理类,571,24364
福建,2025,物理类,570,24825
福建,2025,物理类,569,25291
福建,2025,物理类,568,25776
