province,year,subject,score,rank
贵州,2025,物理类,683,52
贵州,2025,物理类,682,54
贵州,2025,物理类,681,64
贵州,2025,物理类,680,77
贵州,2025,物理类,679,81
贵州,2025,物理类,678,93
贵州,2025,物理类,677,108
贵州,2025,物理类,676,121
贵州,2025,物理类,675,129
贵州,2025,物理类,674,153
贵州,2025,物理类,673,170
贵州,2025,物理类,672,191
贵州,2025,物理类,671,207
贵州,2025,物理类,670,231
贵州,2025,物理类,669,255
贵州,2025,物理类,668,281
贵州,2025,物理类,667,298
贵州,2025,物理类,666,320
贵州,2025,物理类,665,349
贵州,2025,物理类,664,372
贵州,2025,物理类,663,398
贵州,2025,物理类,662,431
贵州,2025,物理类,661,455
贵州,2025,物理类,660,481
贵州,2025,物理类,659,512
贵州,2025,物理类,658,547
贵州,2025,物理类,657,581
贵州,2025,物理类,656,613
贵州,2025,物理类,655,647
贵州,2025,物理类,654,690
贵州,2025,物理类,653,725
贵州,2025,物理类,652,758
贵州,2025,物理类,651,792
贵州,2025,物理类,650,840
贵州,2025,物理类,649,900
贵州,2025,物理类,648,965
贵州,2025,物理类,647,1020
贵州,2025,物理类,646,1072
贵州,2025,物理类,645,1146
贵州,2025,物理类,644,1202
贵州,2025,物理类,643,1262
贵州,2025,物理类,642,1323
贵州,2025,物理类,641,1398
贵州,2025,物理类,640,1473
贵州,2025,物理类,639,1547
贵州,2025,物理类,638,1619
贵州,2025,物理类,637,1704
贵州,2025,物理类,636,1788
贵州,2025,物理类,635,1889
贵州,2025,物理类,634,1982
贵州,2025,物理类,633,2065
贵州,2025,物理类,632,2165
贵州,2025,物理类,631,2273
贵州,2025,物理类,630,2386
贵州,2025,物理类,629,2495
贵州,2025,物理类,628,2595
贵州,2025,物理类,627,2700
贵州,2025,物理类,626,2817
贵州,2025,物理类,625,2944
贵州,2025,物理类,624,3054
贵州,2025,物理类,623,3176
贵州,2025,物理类,622,3301
贵州,2025,物理类,621,3443
贵州,2025,物理类,620,3601
贵州,2025,物理类,619,3749
贵州,2025,物理类,618,3923
贵州,2025,物理类,617,4078
贵州,2025,物理类,616,4232
贵州,2025,物理类,615,4366
贵州,2025,物理类,614,4526
贵州,2025,物理类,613,4701
贵州,2025,物理类,612,4866
贵州,2025,物理类,611,5037
贵州,2025,物理类,610,5223
贵州,2025,物理类,609,5398
贵州,2025,物理类,608,5586
贵州,2025,物理类,607,5762
贵州,2025,物理类,606,5943
贵州,2025,物理类,605,6105
贵州,2025,物理类,604,6313
贵州,2025,物理类,603,6544
贵州,2025,物理类,602,6766
贵州,2025,物理类,601,6973
贵州,2025,物理类,600,7188
贵州,2025,物理类,599,7413
贵州,2025,物理类,598,7640
贵州,2025,物理类,597,7869
贵州,2025,物理类,596,8100
贵州,2025,物理类,595,8349
贵州,2025,物理类,594,8592
贵州,2025,物理类,593,8828
贵州,2025,物理类,592,9073
贵州,2025,物理类,591,9319
贵州,2025,物理类,590,9540
贵州,2025,物理类,589,9828
贵州,2025,物理类,588,10094
贵州,2025,物理类,587,10358
贵州,2025,物理类,586,10621
贵州,2025,物理类,585,10908
贵州,2025,物理类,584,11213
贵州,2025,物理类,583,11480
贵州,2025,物理类,582,11764
贵州,2025,物理类,581,12067
贵州,2025,物理类,580,12399
贵州,2025,物理类,579,12697
贵州,2025,物理类,578,13009
贵州,2025,物理类,577,13361
贵州,2025,物理类,576,13684
贵州,2025,物理类,575,14004
贵州,2025,物理类,574,14357
贵州,2025,物理类,573,14691
贵州,2025,物理类,572,15029
贵州,2025,物理类,571,15352
贵州,2025,物理类,570,15689
贵州,2025,物理类,569,16044
贵州,2025,物理类,568,16400
贵州,2025,物理类,567,16768
贵州,2025,物理类,566,17120
贵州,2025,物理类,565,17471
贵州,2025,物理类,564,17846
贵州,2025,物理类,563,18209
贵州,2025,物理类,562,18595
贵州,2025,物理类,561,18970
贵州,2025,物理类,560,19323
贵州,2025,物理类,559,19736
贵州,2025,物理类,558,20165
贵州,2025,物理类,557,20580
贵州,2025,物理类,556,21027
贵州,2025,物理类,555,21408
贵州,2025,物理类,554,21843
贵州,2025,物理类,553,22253
贵州,2025,物理类,552,22660
贵州,2025,物理类,551,23104
贵州,2025,物理类,550,23535
贵州,2025,物理类,549,23977
贵州,2025,物理类,548,24415
贵州,2025,物理类,547,24866
贵州,2025,物理类,546,25340
贵州,2025,物理类,545,25794
贵州,2025,物理类,544,26266
贵州,2025,物理类,543,26787
贵州,2025,物理类,542,27271
贵州,2025,物理类,541,27748
贵州,2025,物理类,540,28257
贵州,2025,物理类,539,28756
贵州,2025,物理类,538,29266
贵州,2025,物理类,537,29837
贵州,2025,物理类,536,30350
贵州,2025,物理类,535,30817
贵州,2025,物理类,534,31338
贵州,2025,物理类,533,31894
贵州,2025,物理类,532,32410
贵州,2025,物理类,531,32984
贵州,2025,物理类,530,33494
贵州,2025,物理类,529,34047
贵州,2025,物理类,528,34602
贵州,2025,物理类,527,35157
贵州,2025,物理类,526,35736
贵州,2025,物理类,525,36348
贵州,2025,物理类,524,36945
贵州,2025,物理类,523,37496
贵州,2025,物理类,522,38086
贵州,2025,物理类,521,38677
贵州,2025,物理类,520,39239
贵州,2025,物理类,519,39825
贵州,2025,物理类,518,40434
贵州,2025,物理类,517,41036
贵州,2025,物理类,516,41658
贵州,2025,物理类,515,42339
贵州,2025,物理类,514,43026
贵州,2025,物理类,513,43663
贵州,2025,物理类,512,44326
贵州,2025,物理类,511,45002
贵州,2025,物理类,510,45647
贵州,2025,物理类,509,46290
贵州,2025,物理类,508,46948
贵州,2025,物理类,507,47672
贵州,2025,物理类,506,48359
贵州,2025,物理类,505,49105
贵州,2025,物理类,504,49838
贵州,2025,物理类,503,50530
贵州,2025,物理类,502,51240
贵州,2025,物理类,501,51895
贵州,2025,物理类,500,52633
贵州,2025,物理类,499,53355
贵州,2025,物理类,498,54074
贵州,2025,物理类,497,54802
贵州,2025,物理类,496,55555
贵州,2025,物理类,495,56344
贵州,2025,物理类,494,57118
贵州,2025,物理类,493,57863
贵州,2025,物理类,492,58652
贵州,2025,物理类,491,59438
贵州,2025,物理类,490,60182
贵州,2025,物理类,489,60955
贵州,2025,物理类,488,61754
贵州,2025,物理类,487,62573
贵州,2025,物理类,486,63397
贵州,2025,物理类,485,64257
贵州,2025,物理类,484,65076
贵州,2025,物理类,483,65977
贵州,2025,物理类,482,66878
贵州,2025,物理类,481,67733
贵州,2025,物理类,480,68583
贵州,2025,物理类,479,69406
贵州,2025,物理类,478,70253
贵州,2025,物理类,477,71177
贵州,2025,物理类,476,72013
贵州,2025,物理类,475,72987
贵州,2025,物理类,474,73890
贵州,2025,物理类,473,74754
贵州,2025,物理类,472,75675
贵州,2025,物理类,471,76559
贵州,2025,物理类,470,77497
贵州,2025,物理类,469,78451
贵州,2025,物理类,468,79424
贵州,2025,物理类,467,80387
贵州,2025,物理类,466,81373
贵州,2025,物理类,465,82304
贵州,2025,物理类,464,83297
贵州,2025,物理类,463,84273
贵州,2025,物理类,462,85209
贵州,2025,物理类,461,86202
贵州,2025,物理类,460,87165
贵州,2025,物理类,459,88141
贵州,2025,物理类,458,89152
贵州,2025,物理类,457,90131
贵州,2025,物理类,456,91123
贵州,2025,物理类,455,92112
贵州,2025,物理类,454,93104
贵州,2025,物理类,453,94097
贵州,2025,物理类,452,95131
贵州,2025,物理类,451,96155
贵州,2025,物理类,450,97163
贵州,2025,物理类,449,98180
贵州,2025,物理类,448,99212
贵州,2025,物理类,447,100238
贵州,2025,物理类,446,101253
贵州,2025,物理类,445,102305
贵州,2025,物理类,444,103365
贵州,2025,物理类,443,104395
贵州,2025,物理类,442,105437
贵州,2025,物理类,441,106476
贵州,2025,物理类,440,107535
贵州,2025,物理类,439,108537
贵州,2025,物理类,438,109560
贵州,2025,物理类,437,110581
贵州,2025,物理类,436,111574
贵州,2025,物理类,435,112602
贵州,2025,物理类,434,113637
贵州,2025,物理类,433,114632
贵州,2025,物理类,432,115643
贵州,2025,物理类,431,116698
贵州,2025,物理类,430,117716
贵州,2025,物理类,429,118729
贵州,2025,物理类,428,119730
贵州,2025,物理类,427,120731
贵州,2025,物理类,426,121711
贵州,2025,物理类,425,122735
贵州,2025,物理类,424,123707
贵州,2025,物理类,423,124735
贵州,2025,物理类,422,125806
贵州,2025,物理类,421,126811
贵州,2025,物理类,420,127874
贵州,2025,物理类,419,128879
贵州,2025,物理类,418,129874
贵州,2025,物理类,417,130882
贵州,2025,物理类,416,131849
贵州,2025,物理类,415,132875
