province,year,subject,score,rank
辽宁,2025,物理类,707,11
辽宁,2025,物理类,706,13
辽宁,2025,物理类,705,16
辽宁,2025,物理类,704,19
辽宁,2025,物理类,703,19
辽宁,2025,物理类,702,20
辽宁,2025,物理类,701,24
辽宁,2025,物理类,700,29
辽宁,2025,物理类,699,35
辽宁,2025,物理类,698,42
辽宁,2025,物理类,697,48
辽宁,2025,物理类,696,52
辽宁,2025,物理类,695,58
辽宁,2025,物理类,694,72
辽宁,2025,物理类,693,77
辽宁,2025,物理类,692,91
辽宁,2025,物理类,691,109
辽宁,2025,物理类,690,123
辽宁,2025,物理类,689,138
辽宁,2025,物理类,688,156
辽宁,2025,物理类,687,167
辽宁,2025,物理类,686,180
辽宁,2025,物理类,685,213
辽宁,2025,物理类,684,231
辽宁,2025,物理类,683,262
辽宁,2025,物理类,682,282
辽宁,2025,物理类,681,312
辽宁,2025,物理类,680,336
辽宁,2025,物理类,679,366
辽宁,2025,物理类,678,399
辽宁,2025,物理类,677,431
辽宁,2025,物理类,676,475
辽宁,2025,物理类,675,511
辽宁,2025,物理类,674,551
辽宁,2025,物理类,673,596
辽宁,2025,物理类,672,640
辽宁,2025,物理类,671,696
辽宁,2025,物理类,670,745
辽宁,2025,物理类,669,788
辽宁,2025,物理类,668,852
辽宁,2025,物理类,667,918
辽宁,2025,物理类,666,991
辽宁,2025,物理类,665,1048
辽宁,2025,物理类,664,1110
辽宁,2025,物理类,663,1183
辽宁,2025,物理类,662,1253
辽宁,2025,物理类,661,1330
辽宁,2025,物理类,660,1404
辽宁,2025,物理类,659,1496
辽宁,2025,物理类,658,1583
辽宁,2025,物理类,657,1679
辽宁,2025,物理类,656,1785
辽宁,2025,物理类,655,1895
辽宁,2025,物理类,654,2000
辽宁,2025,物理类,653,2108
辽宁,2025,物理类,652,2228
辽宁,2025,物理类,651,2356
辽宁,2025,物理类,650,2480
辽宁,2025,物理类,649,2609
辽宁,2025,物理类,648,2729
辽宁,2025,物理类,647,2833
辽宁,2025,物理类,646,2978
辽宁,2025,物理类,645,3122
辽宁,2025,物理类,644,3250
辽宁,2025,物理类,643,3397
辽宁,2025,物理类,642,3545
辽宁,2025,物理类,641,3709
辽宁,2025,物理类,640,3873
辽宁,2025,物理类,639,4039
辽宁,2025,物理类,638,4214
辽宁,2025,物理类,637,4398
辽宁,2025,物理类,636,4544
辽宁,2025,物理类,635,4735
辽宁,2025,物理类,634,4913
辽宁,2025,物理类,633,5103
辽宁,2025,物理类,632,5294
辽宁,2025,物理类,631,5474
辽宁,2025,物理类,630,5670
辽宁,2025,物理类,629,5882
辽宁,2025,物理类,628,6080
辽宁,2025,物理类,627,6264
辽宁,2025,物理类,626,6487
辽宁,2025,物理类,625,6708
辽宁,2025,物理类,624,6942
辽宁,2025,物理类,623,7175
辽宁,2025,物理类,622,7443
辽宁,2025,物理类,621,7691
辽宁,2025,物理类,620,7935
辽宁,2025,物理类,619,8169
辽宁,2025,物理类,618,8439
辽宁,2025,物理类,617,8681
辽宁,2025,物理类,616,8928
辽宁,2025,物理类,615,9180
辽宁,2025,物理类,614,9443
辽宁,2025,物理类,613,9728
辽宁,2025,物理类,612,10008
辽宁,2025,物理类,611,10278
辽宁,2025,物理类,610,10587
