province,year,subject,score,rank
重庆,2025,物理类,681,159
重庆,2025,物理类,680,176
重庆,2025,物理类,679,195
重庆,2025,物理类,678,217
重庆,2025,物理类,677,244
重庆,2025,物理类,676,276
重庆,2025,物理类,675,305
重庆,2025,物理类,674,330
重庆,2025,物理类,673,374
重庆,2025,物理类,672,403
重庆,2025,物理类,671,433
重庆,2025,物理类,670,470
重庆,2025,物理类,669,516
重庆,2025,物理类,668,561
重庆,2025,物理类,667,602
重庆,2025,物理类,666,643
重庆,2025,物理类,665,693
重庆,2025,物理类,664,740
重庆,2025,物理类,663,792
重庆,2025,物理类,662,844
重庆,2025,物理类,661,889
重庆,2025,物理类,660,951
重庆,2025,物理类,659,1027
重庆,2025,物理类,658,1099
重庆,2025,物理类,657,1164
重庆,2025,物理类,656,1240
重庆,2025,物理类,655,1315
重庆,2025,物理类,654,1381
重庆,2025,物理类,653,1454
重庆,2025,物理类,652,1540
重庆,2025,物理类,651,1619
重庆,2025,物理类,650,1701
重庆,2025,物理类,649,1803
重庆,2025,物理类,648,1889
重庆,2025,物理类,647,1994
重庆,2025,物理类,646,2108
重庆,2025,物理类,645,2224
重庆,2025,物理类,644,2337
重庆,2025,物理类,643,2472
重庆,2025,物理类,642,2592
重庆,2025,物理类,641,2715
重庆,2025,物理类,640,2871
重庆,2025,物理类,639,3012
重庆,2025,物理类,638,3140
重庆,2025,物理类,637,3304
重庆,2025,物理类,636,3447
重庆,2025,物理类,635,3585
重庆,2025,物理类,634,3733
重庆,2025,物理类,633,3902
重庆,2025,物理类,632,4055
重庆,2025,物理类,631,4220
重庆,2025,物理类,630,4393
重庆,2025,物理类,629,4544
重庆,2025,物理类,628,4748
重庆,2025,物理类,627,4946
重庆,2025,物理类,626,5142
重庆,2025,物理类,625,5354
重庆,2025,物理类,624,5565
重庆,2025,物理类,623,5765
重庆,2025,物理类,622,5983
重庆,2025,物理类,621,6202
重庆,2025,物理类,620,6407
重庆,2025,物理类,619,6632
重庆,2025,物理类,618,6864
重庆,2025,物理类,617,7131
重庆,2025,物理类,616,7362
重庆,2025,物理类,615,7630
重庆,2025,物理类,614,7866
重庆,2025,物理类,613,8129
重庆,2025,物理类,612,8369
重庆,2025,物理类,611,8639
重庆,2025,物理类,610,8898
重庆,2025,物理类,609,9189
重庆,2025,物理类,608,9455
重庆,2025,物理类,607,9740
重庆,2025,物理类,606,10026
重庆,2025,物理类,605,10294
重庆,2025,物理类,604,10556
重庆,2025,物理类,603,10859
重庆,2025,物理类,602,11125
重庆,2025,物理类,601,11420
重庆,2025,物理类,600,11716
重庆,2025,物理类,599,12008
重庆,2025,物理类,598,12327
重庆,2025,物理类,597,12651
重庆,2025,物理类,596,12962
重庆,2025,物理类,595,13287
重庆,2025,物理类,594,13602
重庆,2025,物理类,593,13949
重庆,2025,物理类,592,14293
重庆,2025,物理类,591,14652
重庆,2025,物理类,590,14988
重庆,2025,物理类,589,15346
重庆,2025,物理类,588,15673
重庆,2025,物理类,587,16058
重庆,2025,物理类,586,16401
重庆,2025,物理类,585,16764
重庆,2025,物理类,584,17147
重庆,2025,物理类,583,17490
重庆,2025,物理类,582,17853
重庆,2025,物理类,581,18260
重庆,2025,物理类,580,18678
重庆,2025,物理类,579,19056
重庆,2025,物理类,578,19441
重庆,2025,物理类,577,19815
重庆,2025,物理类,576,20247
重庆,2025,物理类,575,20633
重庆,2025,物理类,574,21006
重庆,2025,物理类,573,21426
重庆,2025,物理类,572,21842
重庆,2025,物理类,571,22294
重庆,2025,物理类,570,22723
重庆,2025,物理类,569,23142
重庆,2025,物理类,568,23571
重庆,2025,物理类,567,24004
重庆,2025,物理类,566,24396
重庆,2025,物理类,565,24885
重庆,2025,物理类,564,25339
重庆,2025,物理类,563,25811
重庆,2025,物理类,562,26280
重庆,2025,物理类,561,26800
重庆,2025,物理类,560,27291
重庆,2025,物理类,559,27774
重庆,2025,物理类,558,28271
重庆,2025,物理类,557,28751
重庆,2025,物理类,556,29255
重庆,2025,物理类,555,29783
重庆,2025,物理类,554,30286
重庆,2025,物理类,553,30770
重庆,2025,物理类,552,31257
重庆,2025,物理类,551,31746
重庆,2025,物理类,550,32260
重庆,2025,物理类,549,32804
重庆,2025,物理类,548,33312
重庆,2025,物理类,547,33846
重庆,2025,物理类,546,34376
重庆,2025,物理类,545,34938
重庆,2025,物理类,544,35519
重庆,2025,物理类,543,36058
重庆,2025,物理类,542,36620
重庆,2025,物理类,541,37188
重庆,2025,物理类,540,37736
重庆,2025,物理类,539,38272
重庆,2025,物理类,538,38835
重庆,2025,物理类,537,39422
重庆,2025,物理类,536,39989
重庆,2025,物理类,535,40611
重庆,2025,物理类,534,41158
重庆,2025,物理类,533,41740
重庆,2025,物理类,532,42282
重庆,2025,物理类,531,42889
重庆,2025,物理类,530,43501
重庆,2025,物理类,529,44108
重庆,2025,物理类,528,44745
重庆,2025,物理类,527,45354
重庆,2025,物理类,526,45961
重庆,2025,物理类,525,46560
重庆,2025,物理类,524,47131
重庆,2025,物理类,523,47737
重庆,2025,物理类,522,48378
重庆,2025,物理类,521,48947
重庆,2025,物理类,520,49565
重庆,2025,物理类,519,50211
重庆,2025,物理类,518,50814
重庆,2025,物理类,517,51374
重庆,2025,物理类,516,51989
重庆,2025,物理类,515,52572
重庆,2025,物理类,514,53184
重庆,2025,物理类,513,53788
重庆,2025,物理类,512,54412
重庆,2025,物理类,511,55069
重庆,2025,物理类,510,55724
重庆,2025,物理类,509,56392
重庆,2025,物理类,508,56995
重庆,2025,物理类,507,57604
重庆,2025,物理类,506,58277
重庆,2025,物理类,505,58929
重庆,2025,物理类,504,59528
重庆,2025,物理类,503,60202
重庆,2025,物理类,502,60834
重庆,2025,物理类,501,61431
重庆,2025,物理类,500,62078
重庆,2025,物理类,499,62675
重庆,2025,物理类,498,63323
重庆,2025,物理类,497,63946
重庆,2025,物理类,496,64536
重庆,2025,物理类,495,65119
重庆,2025,物理类,494,65772
重庆,2025,物理类,493,66408
重庆,2025,物理类,492,67042
重庆,2025,物理类,491,67694
重庆,2025,物理类,490,68311
重庆,2025,物理类,489,68964
重庆,2025,物理类,488,69571
重庆,2025,物理类,487,70203
重庆,2025,物理类,486,70780
重庆,2025,物理类,485,71425
重庆,2025,物理类,484,72040
重庆,2025,物理类,483,72625
重庆,2025,物理类,482,73224
重庆,2025,物理类,481,73860
重庆,2025,物理类,480,74439
重庆,2025,物理类,479,75006
重庆,2025,物理类,478,75574
重庆,2025,物理类,477,76161
重庆,2025,物理类,476,76786
重庆,2025,物理类,475,77404
重庆,2025,物理类,474,78003
重庆,2025,物理类,473,78587
重庆,2025,物理类,472,79189
重庆,2025,物理类,471,79745
重庆,2025,物理类,470,80338
重庆,2025,物理类,469,80906
重庆,2025,物理类,468,81501
