province,year,subject,score,rank
青海,2023,历史类,750,10
青海,2023,历史类,749,10
青海,2023,历史类,748,10
青海,2023,历史类,747,10
青海,2023,历史类,746,10
青海,2023,历史类,745,10
青海,2023,历史类,744,10
青海,2023,历史类,743,10
青海,2023,历史类,742,10
青海,2023,历史类,741,10
青海,2023,历史类,740,10
青海,2023,历史类,739,10
青海,2023,历史类,738,10
青海,2023,历史类,737,10
青海,2023,历史类,736,10
青海,2023,历史类,735,10
青海,2023,历史类,734,10
青海,2023,历史类,733,10
青海,2023,历史类,732,10
青海,2023,历史类,731,10
青海,2023,历史类,730,10
青海,2023,历史类,729,10
青海,2023,历史类,728,10
青海,2023,历史类,727,10
青海,2023,历史类,726,10
青海,2023,历史类,725,10
青海,2023,历史类,724,10
青海,2023,历史类,723,10
青海,2023,历史类,722,10
青海,2023,历史类,721,10
青海,2023,历史类,720,10
青海,2023,历史类,719,10
青海,2023,历史类,718,10
青海,2023,历史类,717,10
青海,2023,历史类,716,10
青海,2023,历史类,715,10
青海,2023,历史类,714,10
青海,2023,历史类,713,10
青海,2023,历史类,712,10
青海,2023,历史类,711,10
青海,2023,历史类,710,10
青海,2023,历史类,709,10
青海,2023,历史类,708,10
青海,2023,历史类,707,10
青海,2023,历史类,706,10
青海,2023,历史类,705,10
青海,2023,历史类,704,10
青海,2023,历史类,703,10
青海,2023,历史类,702,10
青海,2023,历史类,701,10
青海,2023,历史类,700,10
青海,2023,历史类,699,10
青海,2023,历史类,698,10
青海,2023,历史类,697,10
青海,2023,历史类,696,10
青海,2023,历史类,695,10
青海,2023,历史类,694,10
青海,2023,历史类,693,10
青海,2023,历史类,692,10
青海,2023,历史类,691,10
青海,2023,历史类,690,10
青海,2023,历史类,689,10
青海,2023,历史类,688,10
青海,2023,历史类,687,10
青海,2023,历史类,686,10
青海,2023,历史类,685,10
青海,2023,历史类,684,10
青海,2023,历史类,683,10
青海,2023,历史类,682,10
青海,2023,历史类,681,10
青海,2023,历史类,680,10
青海,2023,历史类,679,10
青海,2023,历史类,678,10
青海,2023,历史类,677,10
青海,2023,历史类,676,10
青海,2023,历史类,675,10
青海,2023,历史类,674,10
青海,2023,历史类,673,10
青海,2023,历史类,672,10
青海,2023,历史类,671,10
青海,2023,历史类,670,10
青海,2023,历史类,669,10
青海,2023,历史类,668,10
青海,2023,历史类,667,10
青海,2023,历史类,666,10
青海,2023,历史类,665,10
青海,2023,历史类,664,10
青海,2023,历史类,663,10
青海,2023,历史类,662,10
青海,2023,历史类,661,10
青海,2023,历史类,660,10
青海,2023,历史类,659,10
青海,2023,历史类,658,10
青海,2023,历史类,657,10
青海,2023,历史类,656,10
青海,2023,历史类,655,10
青海,2023,历史类,654,10
青海,2023,历史类,653,10
青海,2023,历史类,652,10
青海,2023,历史类,651,10
青海,2023,历史类,650,10
青海,2023,历史类,649,10
青海,2023,历史类,648,10
青海,2023,历史类,647,10
青海,2023,历史类,646,10
青海,2023,历史类,645,10
青海,2023,历史类,644,10
青海,2023,历史类,643,10
青海,2023,历史类,642,10
青海,2023,历史类,641,10
青海,2023,历史类,640,10
青海,2023,历史类,639,10
青海,2023,历史类,638,10
青海,2023,历史类,637,10
青海,2023,历史类,636,10
青海,2023,历史类,635,10
青海,2023,历史类,634,10
青海,2023,历史类,633,10
青海,2023,历史类,632,10
青海,2023,历史类,631,10
青海,2023,历史类,630,10
青海,2023,历史类,629,10
青海,2023,历史类,628,10
青海,2023,历史类,627,10
青海,2023,历史类,626,10
青海,2023,历史类,625,10
青海,2023,历史类,624,10
青海,2023,历史类,623,10
青海,2023,历史类,622,10
青海,2023,历史类,621,10
青海,2023,历史类,620,10
青海,2023,历史类,619,10
青海,2023,历史类,618,10
青海,2023,历史类,617,10
青海,2023,历史类,616,10
青海,2023,历史类,615,10
青海,2023,历史类,614,10
青海,2023,历史类,613,10
青海,2023,历史类,612,10
青海,2023,历史类,611,10
青海,2023,历史类,610,10
青海,2023,历史类,609,10
青海,2023,历史类,608,10
青海,2023,历史类,607,10
青海,2023,历史类,606,10
青海,2023,历史类,605,10
青海,2023,历史类,604,10
青海,2023,历史类,603,10
青海,2023,历史类,602,10
青海,2023,历史类,601,10
青海,2023,历史类,600,10
青海,2023,历史类,599,10
青海,2023,历史类,598,10
青海,2023,历史类,597,10
青海,2023,历史类,596,10
青海,2023,历史类,595,10
青海,2023,历史类,594,10
青海,2023,历史类,593,20
青海,2023,历史类,592,21
青海,2023,历史类,591,21
青海,2023,历史类,590,24
青海,2023,历史类,589,26
青海,2023,历史类,588,28
青海,2023,历史类,587,31
青海,2023,历史类,586,32
青海,2023,历史类,585,32
青海,2023,历史类,584,33
青海,2023,历史类,583,37
青海,2023,历史类,582,40
青海,2023,历史类,581,41
青海,2023,历史类,580,43
青海,2023,历史类,579,43
青海,2023,历史类,578,44
青海,2023,历史类,577,45
青海,2023,历史类,576,46
青海,2023,历史类,575,50
青海,2023,历史类,574,56
青海,2023,历史类,573,59
青海,2023,历史类,572,59
青海,2023,历史类,571,62
青海,2023,历史类,570,63
青海,2023,历史类,569,65
青海,2023,历史类,568,66
青海,2023,历史类,567,70
青海,2023,历史类,566,72
青海,2023,历史类,565,77
青海,2023,历史类,564,78
青海,2023,历史类,563,80
青海,2023,历史类,562,85
青海,2023,历史类,561,87
青海,2023,历史类,560,88
青海,2023,历史类,559,89
青海,2023,历史类,558,93
青海,2023,历史类,557,100
青海,2023,历史类,556,102
青海,2023,历史类,555,107
青海,2023,历史类,554,109
青海,2023,历史类,553,113
青海,2023,历史类,552,116
青海,2023,历史类,551,120
青海,2023,历史类,550,126
青海,2023,历史类,549,129
青海,2023,历史类,548,134
青海,2023,历史类,547,138
青海,2023,历史类,546,144
青海,2023,历史类,545,151
青海,2023,历史类,544,160
青海,2023,历史类,543,166
青海,2023,历史类,542,170
青海,2023,历史类,541,180
青海,2023,历史类,540,186
青海,2023,历史类,539,193
青海,2023,历史类,538,199
青海,2023,历史类,537,209
青海,2023,历史类,536,214
青海,2023,历史类,535,218
青海,2023,历史类,534,224
青海,2023,历史类,533,233
青海,2023,历史类,532,241
青海,2023,历史类,531,248
青海,2023,历史类,530,262
青海,2023,历史类,529,270
青海,2023,历史类,528,277
青海,2023,历史类,527,288
青海,2023,历史类,526,298
青海,2023,历史类,525,312
青海,2023,历史类,524,323
青海,2023,历史类,523,335
青海,2023,历史类,522,346
青海,2023,历史类,521,357
青海,2023,历史类,520,367
青海,2023,历史类,519,377
青海,2023,历史类,518,383
青海,2023,历史类,517,397
青海,2023,历史类,516,406
青海,2023,历史类,515,418
青海,2023,历史类,514,430
青海,2023,历史类,513,443
青海,2023,历史类,512,456
青海,2023,历史类,511,473
青海,2023,历史类,510,485
青海,2023,历史类,509,506
青海,2023,历史类,508,512
青海,2023,历史类,507,521
青海,2023,历史类,506,537
青海,2023,历史类,505,547
青海,2023,历史类,504,561
青海,2023,历史类,503,571
青海,2023,历史类,502,587
青海,2023,历史类,501,602
青海,2023,历史类,500,612
青海,2023,历史类,499,627
青海,2023,历史类,498,642
青海,2023,历史类,497,659
青海,2023,历史类,496,680
青海,2023,历史类,495,694
青海,2023,历史类,494,706
青海,2023,历史类,493,729
青海,2023,历史类,492,752
青海,2023,历史类,491,763
青海,2023,历史类,490,780
青海,2023,历史类,489,795
青海,2023,历史类,488,813
青海,2023,历史类,487,836
青海,2023,历史类,486,855
青海,2023,历史类,485,882
青海,2023,历史类,484,910
青海,2023,历史类,483,936
青海,2023,历史类,482,954
青海,2023,历史类,481,976
青海,2023,历史类,480,1001
青海,2023,历史类,479,1026
青海,2023,历史类,478,1049
青海,2023,历史类,477,1071
青海,2023,历史类,476,1094
青海,2023,历史类,475,1117
青海,2023,历史类,474,1147
青海,2023,历史类,473,1180
青海,2023,历史类,472,1212
青海,2023,历史类,471,1239
青海,2023,历史类,470,1267
青海,2023,历史类,469,1293
青海,2023,历史类,468,1327
青海,2023,历史类,467,1358
青海,2023,历史类,466,1398
青海,2023,历史类,465,1431
青海,2023,历史类,464,1460
青海,2023,历史类,463,1491
青海,2023,历史类,462,1521
青海,2023,历史类,461,1556
青海,2023,历史类,460,1596
青海,2023,历史类,459,1621
青海,2023,历史类,458,1654
青海,2023,历史类,457,1695
青海,2023,历史类,456,1737
青海,2023,历史类,455,1766
青海,2023,历史类,454,1816
青海,2023,历史类,453,1858
青海,2023,历史类,452,1907
青海,2023,历史类,451,1951
青海,2023,历史类,450,1995
青海,2023,历史类,449,2039
青海,2023,历史类,448,2087
青海,2023,历史类,447,2136
青海,2023,历史类,446,2177
青海,2023,历史类,445,2213
青海,2023,历史类,444,2257
青海,2023,历史类,443,2316
青海,2023,历史类,442,2365
青海,2023,历史类,441,2433
青海,2023,历史类,440,2487
青海,2023,历史类,439,2541
青海,2023,历史类,438,2592
青海,2023,历史类,437,2630
青海,2023,历史类,436,2692
青海,2023,历史类,435,2749
青海,2023,历史类,434,2808
青海,2023,历史类,433,2870
青海,2023,历史类,432,2922
青海,2023,历史类,431,2983
青海,2023,历史类,430,3054
青海,2023,历史类,429,3113
青海,2023,历史类,428,3184
青海,2023,历史类,427,3242
青海,2023,历史类,426,3316
青海,2023,历史类,425,3386
青海,2023,历史类,424,3468
青海,2023,历史类,423,3521
青海,2023,历史类,422,3590
青海,2023,历史类,421,3655
青海,2023,历史类,420,3726
青海,2023,历史类,419,3809
青海,2023,历史类,418,3890
青海,2023,历史类,417,3948
青海,2023,历史类,416,4010
青海,2023,历史类,415,4071
青海,2023,历史类,414,4148
青海,2023,历史类,413,4221
青海,2023,历史类,412,4298
青海,2023,历史类,411,4369
青海,2023,历史类,410,4459
青海,2023,历史类,409,4531
青海,2023,历史类,408,4616
青海,2023,历史类,407,4696
青海,2023,历史类,406,4770
青海,2023,历史类,405,4845
青海,2023,历史类,404,4943
青海,2023,历史类,403,5025
青海,2023,历史类,402,5114
青海,2023,历史类,401,5187
青海,2023,历史类,400,5281
青海,2023,历史类,399,5386
青海,2023,历史类,398,5481
青海,2023,历史类,397,5572
青海,2023,历史类,396,5651
青海,2023,历史类,395,5731
青海,2023,历史类,394,5831
青海,2023,历史类,393,5942
青海,2023,历史类,392,6023
青海,2023,历史类,391,6117
青海,2023,历史类,390,6225
青海,2023,历史类,389,6325
青海,2023,历史类,388,6428
青海,2023,历史类,387,6525
青海,2023,历史类,386,6618
青海,2023,历史类,385,6711
青海,2023,历史类,384,6800
青海,2023,历史类,383,6904
青海,2023,历史类,382,6990
青海,2023,历史类,381,7082
青海,2023,历史类,380,7172
青海,2023,历史类,379,7271
青海,2023,历史类,378,7363
青海,2023,历史类,377,7457
青海,2023,历史类,376,7557
青海,2023,历史类,375,7663
青海,2023,历史类,374,7751
青海,2023,历史类,373,7846
青海,2023,历史类,372,7936
青海,2023,历史类,371,8055
青海,2023,历史类,370,8167
青海,2023,历史类,369,8258
青海,2023,历史类,368,8361
青海,2023,历史类,367,8449
青海,2023,历史类,366,8560
青海,2023,历史类,365,8651
青海,2023,历史类,364,8751
青海,2023,历史类,363,8844
青海,2023,历史类,362,8943
青海,2023,历史类,361,9040
青海,2023,历史类,360,9142
青海,2023,历史类,359,9232
青海,2023,历史类,358,9313
青海,2023,历史类,357,9400
青海,2023,历史类,356,9488
青海,2023,历史类,355,9577
青海,2023,历史类,354,9667
青海,2023,历史类,353,9748
青海,2023,历史类,352,9837
青海,2023,历史类,351,9923
青海,2023,历史类,350,10025
青海,2023,历史类,349,10113
青海,2023,历史类,348,10203
青海,2023,历史类,347,10273
青海,2023,历史类,346,10370
青海,2023,历史类,345,10457
青海,2023,历史类,344,10534
青海,2023,历史类,343,10618
青海,2023,历史类,342,10721
青海,2023,历史类,341,10799
青海,2023,历史类,340,10892
青海,2023,历史类,339,10976
青海,2023,历史类,338,11084
青海,2023,历史类,337,11173
青海,2023,历史类,336,11247
青海,2023,历史类,335,11331
青海,2023,历史类,334,11415
青海,2023,历史类,333,11500
青海,2023,历史类,332,11588
青海,2023,历史类,331,11654
青海,2023,历史类,330,11740
青海,2023,历史类,329,11810
青海,2023,历史类,328,11886
青海,2023,历史类,327,11967
青海,2023,历史类,326,12037
青海,2023,历史类,325,12119
青海,2023,历史类,324,12187
青海,2023,历史类,323,12276
青海,2023,历史类,322,12349
青海,2023,历史类,321,12419
青海,2023,历史类,320,12490
青海,2023,历史类,319,12565
青海,2023,历史类,318,12635
青海,2023,历史类,317,12714
青海,2023,历史类,316,12798
青海,2023,历史类,315,12870
青海,2023,历史类,314,12948
青海,2023,历史类,313,13012
青海,2023,历史类,312,13069
青海,2023,历史类,311,13145
青海,2023,历史类,310,13219
青海,2023,历史类,309,13281
青海,2023,历史类,308,13334
青海,2023,历史类,307,13389
青海,2023,历史类,306,13452
青海,2023,历史类,305,13519
青海,2023,历史类,304,13591
青海,2023,历史类,303,13652
青海,2023,历史类,302,13714
青海,2023,历史类,301,13775
青海,2023,历史类,300,13838
青海,2023,历史类,299,13905
青海,2023,历史类,298,13959
青海,2023,历史类,297,14018
青海,2023,历史类,296,14066
青海,2023,历史类,295,14114
青海,2023,历史类,294,14165
青海,2023,历史类,293,14218
青海,2023,历史类,292,14272
青海,2023,历史类,291,14324
青海,2023,历史类,290,14377
青海,2023,历史类,289,14420
青海,2023,历史类,288,14464
青海,2023,历史类,287,14515
青海,2023,历史类,286,14563
青海,2023,历史类,285,14628
青海,2023,历史类,284,14670
青海,2023,历史类,283,14717
青海,2023,历史类,282,14767
青海,2023,历史类,281,14809
青海,2023,历史类,280,14847
青海,2023,历史类,279,14896
青海,2023,历史类,278,14929
青海,2023,历史类,277,14984
青海,2023,历史类,276,15026
青海,2023,历史类,275,15070
青海,2023,历史类,274,15107
青海,2023,历史类,273,15154
青海,2023,历史类,272,15188
青海,2023,历史类,271,15229
青海,2023,历史类,270,15255
青海,2023,历史类,269,15289
青海,2023,历史类,268,15327
青海,2023,历史类,267,15367
青海,2023,历史类,266,15395
青海,2023,历史类,265,15431
青海,2023,历史类,264,15455
青海,2023,历史类,263,15486
青海,2023,历史类,262,15523
青海,2023,历史类,261,15551
青海,2023,历史类,260,15580
青海,2023,历史类,259,15612
青海,2023,历史类,258,15639
青海,2023,历史类,257,15681
青海,2023,历史类,256,15724
青海,2023,历史类,255,15764
青海,2023,历史类,254,15799
青海,2023,历史类,253,15837
青海,2023,历史类,252,15868
青海,2023,历史类,251,15899
青海,2023,历史类,250,15931
青海,2023,历史类,249,15965
青海,2023,历史类,248,15989
青海,2023,历史类,247,16023
青海,2023,历史类,246,16055
青海,2023,历史类,245,16091
青海,2023,历史类,244,16126
青海,2023,历史类,243,16155
青海,2023,历史类,242,16176
青海,2023,历史类,241,16208
青海,2023,历史类,240,16231
青海,2023,历史类,239,16247
青海,2023,历史类,238,16278
青海,2023,历史类,237,16307
青海,2023,历史类,236,16332
青海,2023,历史类,235,16362
青海,2023,历史类,234,16398
青海,2023,历史类,233,16425
青海,2023,历史类,232,16452
青海,2023,历史类,231,16474
青海,2023,历史类,230,16500
青海,2023,历史类,229,16521
青海,2023,历史类,228,16552
青海,2023,历史类,227,16577
青海,2023,历史类,226,16603
青海,2023,历史类,225,16635
青海,2023,历史类,224,16660
青海,2023,历史类,223,16683
青海,2023,历史类,222,16708
青海,2023,历史类,221,16729
青海,2023,历史类,220,16754
青海,2023,历史类,219,16779
青海,2023,历史类,218,16807
青海,2023,历史类,217,16817
青海,2023,历史类,216,16837
青海,2023,历史类,215,16845
青海,2023,历史类,214,16867
青海,2023,历史类,213,16890
青海,2023,历史类,212,16905
青海,2023,历史类,211,16922
青海,2023,历史类,210,16941
青海,2023,历史类,209,16960
青海,2023,历史类,208,16977
青海,2023,历史类,207,16994
青海,2023,历史类,206,17006
青海,2023,历史类,205,17021
青海,2023,历史类,204,17037
青海,2023,历史类,203,17053
青海,2023,历史类,202,17064
青海,2023,历史类,201,17079
青海,2023,历史类,200,17100
青海,2023,历史类,199,17118
青海,2023,历史类,198,17130
青海,2023,历史类,197,17139
青海,2023,历史类,196,17152
青海,2023,历史类,195,17157
青海,2023,历史类,194,17166
青海,2023,历史类,193,17181
青海,2023,历史类,192,17194
青海,2023,历史类,191,17201
青海,2023,历史类,190,17219
青海,2023,历史类,189,17229
青海,2023,历史类,188,17242
青海,2023,历史类,187,17251
青海,2023,历史类,186,17262
青海,2023,历史类,185,17271
青海,2023,历史类,184,17279
青海,2023,历史类,183,17288
青海,2023,历史类,182,17294
青海,2023,历史类,181,17302
青海,2023,历史类,180,17311
青海,2023,历史类,179,17321
青海,2023,历史类,178,17325
青海,2023,历史类,177,17330
青海,2023,历史类,176,17334
青海,2023,历史类,175,17340
青海,2023,历史类,174,17345
青海,2023,历史类,173,17350
青海,2023,历史类,172,17356
青海,2023,历史类,171,17361
青海,2023,历史类,170,17369
青海,2023,历史类,169,17375
青海,2023,历史类,168,17383
青海,2023,历史类,167,17389
青海,2023,历史类,166,17395
青海,2023,历史类,165,17397
青海,2023,历史类,164,17401
青海,2023,历史类,163,17402
青海,2023,历史类,162,17404
青海,2023,历史类,161,17406
青海,2023,历史类,160,17407
青海,2023,历史类,159,17412
青海,2023,历史类,158,17418
青海,2023,历史类,157,17420
青海,2023,历史类,156,17425
青海,2023,历史类,155,17428
青海,2023,历史类,154,17428
青海,2023,历史类,153,17433
青海,2023,历史类,152,17436
青海,2023,历史类,151,17439
青海,2023,历史类,150,17441
青海,2023,历史类,149,17443
青海,2023,历史类,148,17444
青海,2023,历史类,147,17449
青海,2023,历史类,146,17455
青海,2023,历史类,145,17459
青海,2023,历史类,144,17461
青海,2023,历史类,143,17462
青海,2023,历史类,142,17463
青海,2023,历史类,141,17465
青海,2023,历史类,140,17465
青海,2023,历史类,139,17466
青海,2023,历史类,138,17467
青海,2023,历史类,137,17468
青海,2023,历史类,136,17472
青海,2023,历史类,135,17473
青海,2023,历史类,134,17474
青海,2023,历史类,133,17474
青海,2023,历史类,132,17474
青海,2023,历史类,131,17475
青海,2023,历史类,130,17475
青海,2023,历史类,129,17476
青海,2023,历史类,128,17476
青海,2023,历史类,127,17476
青海,2023,历史类,126,17477
青海,2023,历史类,125,17478
青海,2023,历史类,124,17479
青海,2023,历史类,123,17479
