id,name,province,level,type,category,tags
S0001,三亚学院,北京,本科,,,
S0002,三亚学院,浙江,本科,,,
S0003,三峡大学,北京,本科,,,
S0004,三峡大学,浙江,本科,,,
S0005,三峡大学科技学院,北京,本科,,,
S0006,三峡大学科技学院,浙江,本科,,,
S0007,三峡电力职业学院,浙江,本科,,,
S0008,三明学院,浙江,本科,,,
S0009,三江学院,浙江,本科,,,
S0010,上海东海职业技术学院,浙江,本科,,,
S0011,上海中侨职业技术大学,浙江,本科,,,
S0012,上海中医药大学,北京,本科,,,
S0013,上海中医药大学,浙江,本科,,,
S0014,上海交通大学,北京,本科,公办,综合,985
S0015,上海交通大学,四川,本科,公办,综合,985
S0016,上海交通大学,山东,本科,公办,综合,985
S0017,上海交通大学,广东,本科,公办,综合,985
S0018,上海交通大学,江苏,本科,公办,综合,985
S0019,上海交通大学,河北,本科,公办,综合,985
S0020,上海交通大学,河南,本科,公办,综合,985
S0021,上海交通大学,浙江,本科,公办,综合,985
S0022,上海交通大学,湖北,本科,公办,综合,985
S0023,上海交通大学,湖南,本科,公办,综合,985
S0024,上海交通大学,陕西,本科,公办,综合,985
S0025,上海交通大学医学院,北京,本科,,,
S0026,上海交通大学医学院,浙江,本科,,,
S0027,上海交通职业技术学院,浙江,本科,,,
S0028,上海体育大学,北京,本科,,,
S0029,上海体育大学,浙江,本科,,,
S0030,上海健康医学院,浙江,本科,,,
S0031,上海兴伟学院,浙江,本科,,,
S0032,上海农林职业技术学院,浙江,本科,,,
S0033,上海出版印刷高等专科学校,浙江,本科,,,
S0034,上海南湖职业技术学院,浙江,本科,,,
S0035,上海商学院,北京,本科,,,
S0036,上海商学院,浙江,本科,,,
S0037,上海城建职业学院,浙江,本科,,,
S0038,上海外国语大学,北京,本科,,,
S0039,上海外国语大学,浙江,本科,,,
S0040,上海外国语大学贤达经济人文学院,浙江,本科,,,
S0041,上海大学,北京,本科,公办,综合,211
S0042,上海大学,四川,本科,公办,综合,211
S0043,上海大学,山东,本科,公办,综合,211
S0044,上海大学,广东,本科,公办,综合,211
S0045,上海大学,江苏,本科,公办,综合,211
S0046,上海大学,河北,本科,公办,综合,211
S0047,上海大学,河南,本科,公办,综合,211
S0048,上海大学,浙江,本科,公办,综合,211
S0049,上海大学,湖北,本科,公办,综合,211
S0050,上海大学,湖南,本科,公办,综合,211
S0051,上海大学,陕西,本科,公办,综合,211
S0052,上海对外经贸大学,北京,本科,,,
S0053,上海对外经贸大学,浙江,本科,,,
S0054,上海工商外国语职业学院,浙江,本科,,,
S0055,上海工商职业技术学院,浙江,本科,,,
S0056,上海工程技术大学,浙江,本科,,,
S0057,上海工艺美术职业学院,浙江,本科,,,
S0058,上海师范大学,北京,本科,,,
S0059,上海师范大学,浙江,本科,,,
S0060,上海师范大学天华学院,北京,本科,,,
S0061,上海师范大学天华学院,浙江,本科,,,
S0062,上海应用技术大学,浙江,本科,,,
S0063,上海建桥学院,浙江,本科,,,
S0064,上海建设管理职业技术学院,浙江,本科,,,
S0065,上海思博职业技术学院,浙江,本科,,,
S0066,上海戏剧学院,北京,本科,,,
S0067,上海戏剧学院,浙江,本科,,,
S0068,上海政法学院,北京,本科,,,
S0069,上海政法学院,浙江,本科,,,
S0070,上海旅游高等专科学校,浙江,本科,,,
S0071,上海杉达学院,浙江,本科,,,
S0072,上海民航职业技术学院,浙江,本科,,,
S0073,上海济光职业技术学院,浙江,本科,,,
S0074,上海浦东职业技术学院,浙江,本科,,,
S0075,上海海事大学,北京,本科,,,
S0076,上海海事大学,浙江,本科,,,
S0077,上海海关学院,北京,本科,,,
S0078,上海海关学院,浙江,本科,,,
S0079,上海海洋大学,北京,本科,,,
S0080,上海海洋大学,浙江,本科,,,
S0081,上海理工大学,北京,本科,,,
S0082,上海理工大学,浙江,本科,,,
S0083,上海电力大学,北京,本科,,,
S0084,上海电力大学,浙江,本科,,,
S0085,上海电子信息职业技术学院,浙江,本科,,,
S0086,上海电影艺术职业学院,浙江,本科,,,
S0087,上海电机学院,浙江,本科,,,
S0088,上海科学技术职业学院,浙江,本科,,,
S0089,上海科技大学,北京,本科,,,
S0090,上海立信会计金融学院,北京,本科,,,
S0091,上海立信会计金融学院,浙江,本科,,,
S0092,上海立达学院,北京,本科,,,
S0093,上海立达学院,浙江,本科,,,
S0094,上海第二工业大学,浙江,本科,,,
S0095,上海纽约大学,北京,本科,,,
S0096,上海行健职业学院,浙江,本科,,,
S0097,上海视觉艺术学院,浙江,本科,,,
S0098,上海财经大学,北京,本科,,,
S0099,上海财经大学,浙江,本科,,,
S0100,上海财经大学浙江学院,浙江,本科,,,
S0101,上海邦德职业技术学院,浙江,本科,,,
S0102,上海闵行职业技术学院,浙江,本科,,,
S0103,上海震旦职业学院,浙江,本科,,,
S0104,上海音乐学院,北京,本科,,,
S0105,上饶卫生健康职业学院,浙江,本科,,,
S0106,上饶师范学院,北京,本科,,,
S0107,上饶师范学院,浙江,本科,,,
S0108,上饶幼儿师范高等专科学校,浙江,本科,,,
S0109,东北农业大学,北京,本科,,,
S0110,东北农业大学,浙江,本科,,,
S0111,东北大学,北京,本科,,,
S0112,东北大学,浙江,本科,,,
S0113,东北大学秦皇岛分校,北京,本科,,,
S0114,东北大学秦皇岛分校,浙江,本科,,,
S0115,东北师范大学,北京,本科,,,
S0116,东北师范大学,浙江,本科,,,
S0117,东北林业大学,北京,本科,,,
S0118,东北林业大学,浙江,本科,,,
S0119,东北电力大学,北京,本科,,,
S0120,东北电力大学,浙江,本科,,,
S0121,东北石油大学,北京,本科,,,
S0122,东北石油大学,浙江,本科,,,
S0123,东北财经大学,北京,本科,,,
S0124,东北财经大学,浙江,本科,,,
S0125,东华大学,北京,本科,,,
S0126,东华大学,浙江,本科,,,
S0127,东华理工大学,北京,本科,,,
S0128,东华理工大学,浙江,本科,,,
S0129,东南大学,北京,本科,公办,综合,985
S0130,东南大学,四川,本科,公办,综合,985
S0131,东南大学,山东,本科,公办,综合,985
S0132,东南大学,广东,本科,公办,综合,985
S0133,东南大学,江苏,本科,公办,综合,985
S0134,东南大学,河北,本科,公办,综合,985
S0135,东南大学,河南,本科,公办,综合,985
S0136,东南大学,浙江,本科,公办,综合,985
S0137,东南大学,湖北,本科,公办,综合,985
S0138,东南大学,湖南,本科,公办,综合,985
S0139,东南大学,陕西,本科,公办,综合,985
S0140,东南大学成贤学院,浙江,本科,,,
S0141,东莞城市学院,浙江,本科,,,
S0142,东莞理工学院,北京,本科,,,
S0143,东莞理工学院,浙江,本科,,,
S0144,中北大学,北京,本科,,,
S0145,中北大学,浙江,本科,,,
S0146,中华女子学院,北京,本科,,,
S0147,中华女子学院,浙江,本科,,,
S0148,中南大学,北京,本科,公办,综合,985
S0149,中南大学,四川,本科,公办,综合,985
S0150,中南大学,山东,本科,公办,综合,985
S0151,中南大学,广东,本科,公办,综合,985
S0152,中南大学,江苏,本科,公办,综合,985
S0153,中南大学,河北,本科,公办,综合,985
S0154,中南大学,河南,本科,公办,综合,985
S0155,中南大学,浙江,本科,公办,综合,985
S0156,中南大学,湖北,本科,公办,综合,985
S0157,中南大学,湖南,本科,公办,综合,985
S0158,中南大学,陕西,本科,公办,综合,985
S0159,中南林业科技大学,北京,本科,,,
S0160,中南林业科技大学,浙江,本科,,,
S0161,中南林业科技大学涉外学院,浙江,本科,,,
S0162,中南民族大学,北京,本科,,,
S0163,中南民族大学,浙江,本科,,,
S0164,中南财经政法大学,北京,本科,,,
S0165,中南财经政法大学,浙江,本科,,,
S0166,中原工学院,北京,本科,公办,理工,普通
S0167,中原工学院,四川,本科,公办,理工,普通
S0168,中原工学院,山东,本科,公办,理工,普通
S0169,中原工学院,广东,本科,公办,理工,普通
S0170,中原工学院,江苏,本科,公办,理工,普通
S0171,中原工学院,河北,本科,公办,理工,普通
S0172,中原工学院,河南,本科,公办,理工,普通
S0173,中原工学院,浙江,本科,公办,理工,普通
S0174,中原工学院,湖北,本科,公办,理工,普通
S0175,中原工学院,湖南,本科,公办,理工,普通
S0176,中原工学院,陕西,本科,公办,理工,普通
S0177,中国人民公安大学,北京,本科,,,
S0178,中国人民公安大学,浙江,本科,,,
S0179,中国人民大学,北京,本科,,,
S0180,中国人民大学,浙江,本科,,,
S0181,中国人民大学(苏州校区),北京,本科,,,
S0182,中国人民大学(苏州校区),浙江,本科,,,
S0183,中国人民警察大学,北京,本科,,,
S0184,中国人民警察大学,浙江,本科,,,
S0185,中国传媒大学,北京,本科,,,
S0186,中国传媒大学,浙江,本科,,,
S0187,中国农业大学,北京,本科,公办,农林,985
S0188,中国农业大学,四川,本科,公办,农林,985
S0189,中国农业大学,山东,本科,公办,农林,985
S0190,中国农业大学,广东,本科,公办,农林,985
S0191,中国农业大学,江苏,本科,公办,农林,985
S0192,中国农业大学,河北,本科,公办,农林,985
S0193,中国农业大学,河南,本科,公办,农林,985
S0194,中国农业大学,浙江,本科,公办,农林,985
S0195,中国农业大学,湖北,本科,公办,农林,985
S0196,中国农业大学,湖南,本科,公办,农林,985
S0197,中国农业大学,陕西,本科,公办,农林,985
S0198,中国刑事警察学院,北京,本科,,,
S0199,中国劳动关系学院,北京,本科,,,
S0200,中国劳动关系学院,浙江,本科,,,
S0201,中国医科大学,北京,本科,,,
S0202,中国医科大学,浙江,本科,,,
S0203,中国地质大学(北京),北京,本科,,,
S0204,中国地质大学(北京),浙江,本科,,,
S0205,中国地质大学(武汉),北京,本科,,,
S0206,中国地质大学(武汉),浙江,本科,,,
S0207,中国戏曲学院,北京,本科,,,
S0208,中国戏曲学院,浙江,本科,,,
S0209,中国政法大学,北京,本科,,,
S0210,中国政法大学,浙江,本科,,,
S0211,中国民用航空飞行学院,北京,本科,,,
S0212,中国民用航空飞行学院,浙江,本科,,,
S0213,中国民航大学,北京,本科,,,
S0214,中国民航大学,浙江,本科,,,
S0215,中国海洋大学,北京,本科,,,
S0216,中国海洋大学,浙江,本科,,,
S0217,中国消防救援学院,北京,本科,,,
S0218,中国石油大学(北京),北京,本科,,,
S0219,中国石油大学(北京),浙江,本科,,,
S0220,中国石油大学(北京)克拉 玛依校区,北京,本科,,,
S0221,中国石油大学(北京)克拉玛依校区,浙江,本科,,,
S0222,中国石油大学(华东),北京,本科,,,
S0223,中国石油大学(华东),浙江,本科,,,
S0224,中国矿业大学,北京,本科,,,
S0225,中国矿业大学,浙江,本科,,,
S0226,中国矿业大学(北京),北京,本科,,,
S0227,中国矿业大学(北京),浙江,本科,,,
S0228,中国社会科学院大学,北京,本科,,,
S0229,中国社会科学院大学,浙江,本科,,,
S0230,中国科学技术大学,北京,本科,公办,理工,985
S0231,中国科学技术大学,四川,本科,公办,理工,985
S0232,中国科学技术大学,山东,本科,公办,理工,985
S0233,中国科学技术大学,广东,本科,公办,理工,985
S0234,中国科学技术大学,江苏,本科,公办,理工,985
S0235,中国科学技术大学,河北,本科,公办,理工,985
S0236,中国科学技术大学,河南,本科,公办,理工,985
S0237,中国科学技术大学,浙江,本科,公办,理工,985
S0238,中国科学技术大学,湖北,本科,公办,理工,985
S0239,中国科学技术大学,湖南,本科,公办,理工,985
S0240,中国科学技术大学,陕西,本科,公办,理工,985
S0241,中国科学院大学,北京,本科,,,
S0242,中国科学院大学,浙江,本科,,,
S0243,中国美术学院,北京,本科,,,
S0244,中国美术学院,浙江,本科,,,
S0245,中国药科大学,北京,本科,,,
S0246,中国药科大学,浙江,本科,,,
S0247,中国计量大学,北京,本科,,,
S0248,中国计量大学,浙江,本科,,,
S0249,中国计量大学现代科技学院,浙江,本科,,,
S0250,中央司法警官学院,北京,本科,,,
